strategyA,strategyB,sideA,sideB,type,entryA_ts,entryB_ts,exitA_ts,exitB_ts,exit_first_ts,overlap_start_et,overlap_end_et,overlap_minutes,pnlA,pnlB,joint_pnl,tradeA_id,tradeB_id
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745415600000,1774015260000,1745415600000,1774015306000,1745415600000,2026-03-20 10:01:00,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001021
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745586300000,1774015260000,1745586300000,1774015306000,1745586300000,2026-03-20 10:01:00,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001021
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774015440000,1745415600000,1774018440000,1745415600000,2026-03-20 10:04:00,2025-04-23 09:40:00,0.00,255,-1035,-780,gex-flip-ivpct:T000040,gex-lt-3m:T000858
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774015440000,1745586300000,1774018440000,1745586300000,2026-03-20 10:04:00,2025-04-25 09:05:00,0.00,60,-1035,-975,gex-flip-ivpct:T000041,gex-lt-3m:T000858
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745415600000,1774015994000,1745415600000,1774016068000,1745415600000,2026-03-20 10:13:14,2025-04-23 09:40:00,0.00,255,-395,-140,gex-flip-ivpct:T000040,gex-level-fade:T001022
gex-flip-ivpct,gex-level-fade,long,long,confluence,1745586300000,1774015994000,1745586300000,1774016068000,1745586300000,2026-03-20 10:13:14,2025-04-25 09:05:00,0.00,60,-395,-335,gex-flip-ivpct:T000041,gex-level-fade:T001022
gex-level-fade,gex-lt-3m,long,long,confluence,1774015994000,1774015440000,1774016068000,1774018440000,1774016068000,2026-03-20 10:13:14,2026-03-20 10:14:28,1.23,-395,-1035,-1430,gex-level-fade:T001022,gex-lt-3m:T000858
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774020660000,1745415600000,1774026060000,1745415600000,2026-03-20 11:31:00,2025-04-23 09:40:00,0.00,255,415,670,gex-flip-ivpct:T000040,gex-lt-3m:T000859
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774020660000,1745586300000,1774026060000,1745586300000,2026-03-20 11:31:00,2025-04-25 09:05:00,0.00,60,415,475,gex-flip-ivpct:T000041,gex-lt-3m:T000859
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774035960000,1745415600000,1774036500000,1745415600000,2026-03-20 15:46:00,2025-04-23 09:40:00,0.00,255,1070,1325,gex-flip-ivpct:T000040,gex-lt-3m:T000860
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774035960000,1745586300000,1774036500000,1745586300000,2026-03-20 15:46:00,2025-04-25 09:05:00,0.00,60,1070,1130,gex-flip-ivpct:T000041,gex-lt-3m:T000860
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774264560000,1745415600000,1774264620000,1745415600000,2026-03-23 07:16:00,2025-04-23 09:40:00,0.00,255,-1020,-765,gex-flip-ivpct:T000040,gex-lt-3m:T000861
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745586300000,1774264560000,1745586300000,1774264620000,1745586300000,2026-03-23 07:16:00,2025-04-25 09:05:00,0.00,60,-1020,-960,gex-flip-ivpct:T000041,gex-lt-3m:T000861
gex-flip-ivpct,gex-lt-3m,long,long,confluence,1745415600000,1774266360000,1745415600000,1774266420000,1745415600000,2026-03-23 07:46:00,2025-04-23 09:40:00,0.00,255,-1035,-780,gex-flip-ivpct:T000040,gex-lt-3m:T000862
