date,quarter,kind,dir,entry,pen,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-14,2025Q1,RN2,1,5897.25,5.27,-0.48,5896.77,5890.5,5907.38,stop,-7.25,-1.074,6.75,3.25,7.25
2025-01-14,2025Q1,RN2,1,5897.5,4.52,-0.73,5896.77,5891.25,5906.88,target,9.38,1.5,6.25,10.0,0.25
2025-01-14,2025Q1,RN2,1,5899.25,4.52,-2.48,5896.77,5891.25,5911.25,stop,-8.5,-1.062,8.0,1.25,8.5
2025-01-15,2025Q1,RN1,1,5959.0,4.85,-1.65,5957.35,5951.5,5970.25,target,11.25,1.5,7.5,11.25,0.75
2025-01-15,2025Q1,RN3,-1,5977.0,4.62,-1.38,5978.38,5984.0,5966.5,stop,-7.5,-1.071,7.0,5.75,7.0
2025-01-15,2025Q1,RN0,-1,5980.25,5.16,-0.84,5981.09,5987.25,5969.75,stop,-7.5,-1.071,7.0,3.25,7.5
2025-01-16,2025Q1,RN1,1,5977.0,6.26,-0.49,5976.51,5969.25,5988.62,target,11.62,1.5,7.75,11.75,2.0
2025-01-16,2025Q1,RN0,-1,5987.25,4.3,-2.45,5989.7,5995.0,5975.62,stop,-8.25,-1.065,7.75,1.75,7.75
2025-01-16,2025Q1,RN0,-1,5989.25,5.8,-0.45,5989.7,5996.5,5978.38,target,10.88,1.5,7.25,11.0,1.0
2025-01-16,2025Q1,RN4,-1,5995.0,5.21,-0.29,5995.29,6001.5,5985.25,stop,-7.0,-1.077,6.5,0.25,6.75
2025-01-17,2025Q1,RN0,-1,6026.75,5.64,-0.61,6027.36,6034.0,6015.88,stop,-7.75,-1.069,7.25,9.0,7.25
2025-01-20,2025Q1,RN4,-1,6073.75,4.43,-0.07,6073.82,6079.25,6065.5,target,8.25,1.5,5.5,8.25,1.25
2025-01-21,2025Q1,RN2,1,6050.0,6.28,-0.22,6049.78,6042.5,6061.25,target,11.25,1.5,7.5,11.25,0.5
2025-01-21,2025Q1,RN1,-1,6061.5,4.81,-1.69,6063.19,6069.0,6050.25,stop,-8.0,-1.067,7.5,2.0,7.75
2025-01-21,2025Q1,RN3,-1,6079.75,5.25,-0.5,6080.25,6086.5,6069.62,timeout,-1.75,-0.259,6.75,5.5,3.0
2025-01-22,2025Q1,RN3,1,6132.25,4.85,-0.65,6131.6,6125.75,6142.0,stop,-7.0,-1.077,6.5,1.0,6.5
