trade_date,rth_open,on_high,on_low,pd_high,pd_low,pd_close,roll,symbol
2023-03-22,12872.75,12886.5,12809.25,12898.25,12712.5,12877.25,0,NQM3
2023-03-23,12855.0,12858.0,12694.25,13082.0,12696.0,12699.0,0,NQM3
2023-03-24,12826.75,12920.25,12753.5,13031.0,12733.5,12847.25,0,NQM3
2023-03-27,12919.25,12984.5,12848.75,12896.0,12728.0,12894.5,0,NQM3
2023-03-28,12776.25,12833.5,12751.25,12965.25,12765.5,12799.75,0,NQM3
2023-03-29,12887.25,12890.0,12742.0,12777.25,12634.25,12732.5,0,NQM3
2023-03-30,13064.75,13074.75,12931.5,12994.0,12854.5,12969.0,0,NQM3
2023-03-31,13092.0,13138.75,13057.5,13111.75,13011.25,13085.25,0,NQM3
2023-04-03,13210.0,13275.5,13179.5,13311.5,13080.25,13301.5,0,NQM3
2023-04-04,13284.75,13348.75,13226.5,13278.75,13154.0,13268.5,0,NQM3
2023-04-05,13173.75,13247.25,13172.75,13326.75,13168.25,13223.5,0,NQM3
2023-04-06,13012.5,13079.75,12985.25,13182.0,13006.0,13079.5,0,NQM3
2023-04-07,,13192.25,13122.0,13191.0,12953.25,13171.25,0,NQM3
2023-04-10,13043.75,13203.25,13036.75,,,,0,NQM3
2023-04-11,13159.25,13208.75,13125.5,13164.75,12967.5,13164.5,0,NQM3
2023-04-12,13157.0,13241.75,13038.5,13160.5,13053.5,13076.5,0,NQM3
2023-04-13,13027.75,13038.0,12925.5,13180.5,12937.75,12958.5,0,NQM3
2023-04-14,13139.25,13217.25,13101.0,13228.0,13019.75,13209.75,0,NQM3
2023-04-17,13162.5,13218.0,13156.25,13255.0,13058.0,13181.0,0,NQM3
2023-04-18,13280.0,13298.75,13160.25,13206.0,13076.75,13189.5,0,NQM3
2023-04-19,13085.25,13186.75,13065.0,13297.75,13138.0,13189.25,0,NQM3
2023-04-20,13051.5,13165.75,13025.0,13226.75,13080.5,13182.75,0,NQM3
2023-04-21,13057.75,13107.75,13005.0,13200.0,13021.75,13077.0,0,NQM3
2023-04-24,13077.5,13099.5,13014.25,13122.0,12982.5,13088.25,0,NQM3
2023-04-25,12988.25,13059.5,12966.75,13134.0,12967.25,13059.25,0,NQM3
2023-04-26,12950.25,12996.5,12885.25,13015.5,12806.0,12808.5,0,NQM3
2023-04-27,13040.75,13048.0,12936.0,13012.25,12863.75,12882.5,0,NQM3
2023-04-28,13220.25,13236.0,13169.0,13253.25,13013.5,13231.25,0,NQM3
2023-05-01,13300.75,13370.25,13285.25,13324.25,13172.25,13323.75,0,NQM3
2023-05-02,13301.0,13334.75,13267.75,13363.5,13258.75,13304.0,0,NQM3
2023-05-03,13198.75,13231.5,13157.0,13313.25,13110.25,13184.75,0,NQM3
2023-05-04,13082.75,13173.0,13044.25,13314.0,13092.5,13100.0,0,NQM3
2023-05-05,13139.25,13157.5,13055.75,13131.25,13001.75,13048.0,0,NQM3
2023-05-08,13301.0,13335.0,13287.75,13359.0,13124.25,13324.0,0,NQM3
2023-05-09,13281.0,13347.0,13269.0,13368.0,13254.5,13354.5,0,NQM3
2023-05-10,13366.5,13408.5,13202.75,13317.5,13250.5,13266.25,0,NQM3
2023-05-11,13427.25,13467.5,13403.5,13446.75,13262.25,13410.5,0,NQM3
2023-05-12,13468.0,13494.25,13444.75,13470.25,13361.5,13447.25,0,NQM3
2023-05-15,13416.75,13447.5,13350.0,13487.25,13310.5,13397.5,0,NQM3
2023-05-16,13436.0,13492.0,13426.25,13480.0,13351.5,13472.0,0,NQM3
2023-05-17,13525.0,13526.5,13474.25,13554.5,13434.5,13482.25,0,NQM3
2023-05-18,13653.75,13683.25,13628.25,13669.0,13475.5,13644.75,0,NQM3
2023-05-19,13898.25,13960.25,13877.5,13901.25,13652.75,13889.75,0,NQM3
2023-05-22,13848.0,13879.25,13794.25,13929.0,13814.25,13858.25,0,NQM3
2023-05-23,13831.0,13979.25,13825.0,13946.75,13847.0,13905.0,0,NQM3
2023-05-24,13643.25,13755.75,13627.75,13878.0,13710.0,13725.5,0,NQM3
2023-05-25,13954.75,13976.0,13803.0,13705.75,13566.5,13652.75,0,NQM3
2023-05-26,14018.5,14044.75,13924.5,14031.25,13851.25,13978.25,0,NQM3
2023-05-29,14378.25,14459.75,14367.5,14368.5,14014.75,14333.0,0,NQM3
2023-05-30,14510.0,14570.0,14378.5,14412.25,14368.0,14404.75,0,NQM3
2023-05-31,14330.0,14429.0,14315.0,14559.5,14336.75,14397.0,0,NQM3
2023-06-01,14298.0,14336.5,14248.25,14412.25,14251.25,14301.75,0,NQM3
2023-06-02,14543.25,14565.0,14473.0,14528.25,14252.0,14473.25,0,NQM3
2023-06-05,14568.25,14579.5,14512.75,14627.75,14468.25,14579.5,0,NQM3
2023-06-06,14561.0,14615.0,14556.5,14694.75,14543.5,14587.25,0,NQM3
2023-06-07,14592.25,14614.25,14536.75,14623.75,14504.5,14583.75,0,NQM3
2023-06-08,14338.0,14372.0,14256.75,14675.0,14305.5,14331.75,0,NQM3
2023-06-09,14561.75,14564.75,14460.25,14523.5,14328.0,14499.75,0,NQM3
