week_monday,open,high,low,close,n_bars,symbol
2024-01-15,16961.75,17471.25,16689.25,17462.75,6660,NQH4
2024-01-22,17466.0,17793.5,17409.5,17504.75,6900,NQH4
2024-01-29,17502.0,17775.5,17221.5,17687.0,6899,NQH4
2024-02-05,17696.0,18071.0,17554.25,18038.25,6899,NQH4
2024-02-12,18040.0,18121.5,17542.0,17721.5,6893,NQH4
2024-02-19,17729.25,18144.75,17372.75,17960.75,6660,NQH4
2024-02-26,17961.5,18372.75,17826.0,18321.0,6900,NQH4
2024-03-04,18336.0,18436.5,17832.5,18056.0,6900,NQH4
2024-03-11,18056.0,18068.25,17973.75,17984.75,240,NQH4
2024-03-18,18073.5,18709.0,18053.25,18563.75,6900,NQM4
2024-03-25,18567.0,18619.0,18378.5,18465.0,5520,NQM4
2024-04-01,18503.0,18612.0,18051.5,18311.0,6900,NQM4
2024-04-08,18348.25,18518.75,18053.5,18172.5,6898,NQM4
2024-04-15,18151.0,18350.75,17113.25,17179.25,6900,NQM4
2024-04-22,17228.25,17901.5,17148.5,17836.75,6900,NQM4
2024-04-29,17864.75,18050.25,17386.25,18025.5,6899,NQM4
2024-05-06,18047.5,18348.0,17983.75,18239.25,6895,NQM4
2024-05-13,18238.0,18760.75,18165.5,18633.75,6899,NQM4
2024-05-20,18633.5,19023.25,18621.5,18870.75,6898,NQM4
2024-05-27,18874.75,18980.5,18241.25,18570.75,6660,NQM4
2024-06-03,18590.25,19155.0,18435.75,19030.25,6899,NQM4
2024-06-10,19025.0,19699.5,18974.25,19696.25,6899,NQM4
2024-06-17,19695.0,19725.5,19670.0,19701.0,180,NQM4
2024-06-24,20014.75,20273.25,19726.0,19966.5,6900,NQU4
2024-07-01,19970.0,20639.5,19811.75,20591.5,6431,NQU4
2024-07-08,20591.5,20983.75,20335.0,20539.75,6899,NQU4
2024-07-15,20580.0,20797.0,19654.0,19701.5,6900,NQU4
2024-07-22,19749.0,20084.75,18883.25,19175.75,6900,NQU4
2024-07-29,19171.75,19717.0,18385.75,18513.25,6898,NQU4
2024-08-05,18390.0,18674.5,17351.0,18602.5,6900,NQU4
2024-08-12,18590.0,19683.0,18515.0,19604.0,6900,NQU4
2024-08-19,19629.0,20025.25,19525.25,19776.75,6898,NQU4
2024-08-26,19787.75,19846.25,19140.25,19594.5,6899,NQU4
2024-09-02,19599.0,19683.0,18339.75,18377.5,6659,NQU4
2024-09-09,18400.0,19577.25,18386.0,19503.5,6899,NQU4
2024-09-16,19498.0,19546.5,19442.0,19453.25,419,NQU4
2024-09-23,20040.0,20538.0,19953.0,20193.0,6900,NQZ4
2024-09-30,20198.5,20331.75,19818.0,20202.25,6900,NQZ4
2024-10-07,20220.0,20508.25,19902.5,20413.25,6900,NQZ4
2024-10-14,20432.5,20680.0,20206.25,20484.25,6899,NQZ4
2024-10-21,20496.25,20707.25,20079.0,20476.0,6899,NQZ4
2024-10-28,20525.5,20788.5,20008.5,20170.25,6900,NQZ4
2024-11-04,20138.0,21265.0,20013.0,21226.75,6900,NQZ4
2024-11-11,21249.75,21340.75,20405.25,20503.25,6900,NQZ4
2024-11-18,20504.0,20905.75,20382.5,20878.75,6900,NQZ4
2024-11-25,20935.0,21081.0,20675.0,20991.25,6435,NQZ4
2024-12-02,20995.25,21669.25,20940.0,21634.0,6899,NQZ4
2024-12-09,21649.0,21908.0,21352.75,21760.5,6899,NQZ4
2024-12-16,21780.25,22142.5,21762.0,22124.25,1260,NQZ4
2024-12-23,21566.0,22111.25,21476.75,21719.75,5294,NQH5
2024-12-30,21711.0,21742.75,20983.75,21493.0,5519,NQH5
2025-01-06,21532.25,21896.75,20874.75,20997.75,6450,NQH5
2025-01-13,21027.5,21682.5,20694.0,21589.0,6900,NQH5
2025-01-20,21600.0,22093.5,21377.75,21907.75,6660,NQH5
2025-01-27,21771.0,21966.0,20763.75,21571.0,6900,NQH5
2025-02-03,21200.0,21968.0,20943.0,21575.25,6900,NQH5
2025-02-10,21463.25,22225.0,21418.0,22203.5,6899,NQH5
