week_monday,open,high,low,close,n_bars,symbol
2024-02-19,429.02,440.59,421.64,436.16,3286,QQQ
2024-02-26,436.29,446.57,433.56,445.32,3989,QQQ
2024-03-04,446.39,448.64,433.66,439.39,4117,QQQ
2024-03-11,438.72,444.45,432.75,433.91,4189,QQQ
2024-03-18,435.51,449.34,433.33,446.05,4002,QQQ
2024-03-25,445.64,447.44,441.93,444.04,3309,QQQ
2024-04-01,447.1,447.53,434.5,440.57,4047,QQQ
2024-04-08,441.23,446.33,434.96,437.66,4091,QQQ
2024-04-15,440.73,442.39,413.07,414.39,4298,QQQ
2024-04-22,416.62,432.54,413.95,431.03,4400,QQQ
2024-04-29,432.72,436.47,420.63,436.05,4194,QQQ
2024-05-06,435.53,444.3,435.53,441.6,3908,QQQ
2024-05-13,442.98,454.69,440.14,451.64,3841,QQQ
2024-05-20,452.4,461.52,451.78,457.83,3912,QQQ
2024-05-27,459.09,460.55,443.06,451.35,3283,QQQ
2024-06-03,452.72,465.74,447.9,462.2,3940,QQQ
2024-06-10,462.59,479.56,461.5,479.53,4002,QQQ
2024-06-17,480.04,488.65,478.15,480.91,3235,QQQ
2024-06-24,480.5,487.19,473.55,479.57,3974,QQQ
2024-07-01,479.47,496.6,476.26,495.64,2974,QQQ
2024-07-08,495.9,505.21,490.0,494.85,4032,QQQ
2024-07-15,496.87,501.02,473.95,474.98,4229,QQQ
2024-07-22,477.98,484.43,455.64,462.86,4444,QQQ
2024-07-29,464.49,475.55,444.48,447.73,4441,QQQ
2024-08-05,431.76,452.05,420.0,450.49,4565,QQQ
2024-08-12,452.09,476.42,448.56,475.15,4099,QQQ
2024-08-19,474.75,485.52,473.25,479.96,4012,QQQ
2024-08-26,481.0,481.45,464.56,476.1,4114,QQQ
2024-09-02,476.81,476.85,446.0,446.74,3475,QQQ
2024-09-09,452.87,476.53,449.84,474.9,4270,QQQ
2024-09-16,475.12,486.23,469.89,481.7,4170,QQQ
2024-09-23,482.59,494.2,480.17,486.1,4103,QQQ
2024-09-30,486.77,489.38,477.4,487.07,4141,QQQ
2024-10-07,485.56,494.46,479.8,492.51,4077,QQQ
2024-10-14,493.66,498.83,487.57,494.62,4083,QQQ
2024-10-21,493.57,500.28,485.04,494.9,4102,QQQ
2024-10-28,498.73,501.9,483.75,488.4,4234,QQQ
2024-11-04,487.91,514.91,484.25,514.02,3978,QQQ
2024-11-11,515.61,516.73,494.49,496.75,3931,QQQ
2024-11-18,499.8,506.97,494.21,506.48,4081,QQQ
2024-11-25,508.18,511.45,501.93,510.18,3026,QQQ
2024-12-02,509.27,526.71,508.62,525.92,3816,QQQ
2024-12-09,527.5,533.16,519.17,529.65,3918,QQQ
2024-12-16,530.91,539.15,505.4,518.51,4133,QQQ
2024-12-23,520.95,531.24,516.12,522.94,2934,QQQ
2024-12-30,521.36,521.72,505.71,518.1,3180,QQQ
2025-01-06,521.26,527.91,503.92,506.65,3245,QQQ
2025-01-13,502.14,523.62,499.58,521.45,4062,QQQ
2025-01-20,523.09,533.83,520.06,529.62,3240,QQQ
2025-01-27,513.48,531.51,502.3,521.96,4138,QQQ
2025-02-03,513.32,532.09,511.05,522.66,4125,QQQ
2025-02-10,525.59,538.84,521.32,538.3,3939,QQQ
2025-02-17,540.61,541.2,525.46,525.6,3099,QQQ
2025-02-24,528.4,529.38,496.94,507.94,4260,QQQ
2025-03-03,508.86,513.05,480.6,491.35,4266,QQQ
2025-03-10,488.69,489.13,466.44,478.6,4530,QQQ
2025-03-17,476.76,485.85,472.41,481.48,4363,QQQ
2025-03-24,485.2,494.5,466.67,467.25,4373,QQQ
2025-03-31,464.18,483.21,419.69,422.92,4531,QQQ
2025-04-07,402.9,468.41,402.39,454.08,4639,QQQ
