week_monday,open,high,low,close,n_bars,symbol
2024-05-27,530.28,531.25,518.365,528.0,2987,SPY
2024-06-03,527.54,536.89,522.6,533.27,3493,SPY
2024-06-10,533.45,544.12,532.05,543.07,3569,SPY
2024-06-17,543.16,550.77,541.61,544.7,2854,SPY
2024-06-24,545.17,550.28,542.25,544.89,3486,SPY
2024-07-01,544.84,555.05,542.45,553.99,2595,SPY
2024-07-08,554.33,563.67,554.19,559.53,3487,SPY
2024-07-15,561.4,565.15,547.91,548.5,3749,SPY
2024-07-22,550.67,556.74,537.45,544.16,3821,SPY
2024-07-29,545.17,554.86,528.61,531.65,3876,SPY
2024-08-05,521.24,534.51,507.83,532.57,4177,SPY
2024-08-12,534.2,555.01,530.96,554.38,3560,SPY
2024-08-19,554.15,563.17,553.31,562.05,3319,SPY
2024-08-26,562.81,564.19,553.39,563.59,3506,SPY
2024-09-02,564.13,564.39,537.86,538.68,3349,SPY
2024-09-09,543.97,563.03,539.94,561.73,3798,SPY
2024-09-16,562.12,572.88,559.9,567.5,3737,SPY
2024-09-23,568.34,575.0,567.6,571.3,3655,SPY
2024-09-30,571.57,574.38,565.27,572.59,3590,SPY
2024-10-07,570.9,580.33,565.83,578.3,3603,SPY
2024-10-14,580.01,586.3,578.55,584.68,3558,SPY
2024-10-21,584.35,584.83,574.42,578.73,3587,SPY
2024-10-28,582.11,583.32,568.44,571.36,3805,SPY
2024-11-04,571.85,599.63,567.89,597.94,3732,SPY
2024-11-11,599.63,600.97,583.86,586.05,3560,SPY
2024-11-18,586.78,596.15,581.91,595.86,3660,SPY
2024-11-25,598.16,603.35,595.2,603.14,2758,SPY
2024-12-02,601.59,609.07,601.24,607.62,3274,SPY
2024-12-09,608.5,608.5,602.14,603.75,3345,SPY
2024-12-16,604.67,607.775,577.73,590.2,3651,SPY
2024-12-23,592.8,602.48,587.67,595.05,2511,SPY
2024-12-30,593.42,593.85,580.5,591.48,2823,SPY
2025-01-06,593.73,599.7,578.56,580.03,2925,SPY
2025-01-13,576.54,599.36,575.03,597.47,3620,SPY
2025-01-20,599.26,610.78,598.68,607.82,2913,SPY
2025-01-27,596.91,609.96,589.88,601.82,3663,SPY
2025-02-03,593.63,608.12,590.5,600.89,3731,SPY
2025-02-10,602.74,610.99,598.25,609.98,3539,SPY
2025-02-17,611.64,613.23,599.47,599.92,2839,SPY
2025-02-24,602.66,603.77,582.43,593.43,3758,SPY
2025-03-03,594.05,597.58,565.63,575.5,3841,SPY
2025-03-10,572.74,573.23,549.68,561.67,4093,SPY
2025-03-17,559.98,570.95,558.03,564.77,3749,SPY
2025-03-24,569.3,576.41,553.74,554.09,3811,SPY
2025-03-31,552.21,570.79,502.21,505.0,4210,SPY
2025-04-07,491.09,547.11,481.8,534.11,4495,SPY
2025-04-14,541.57,544.45,520.3,527.05,3370,SPY
2025-04-21,520.8,551.68,508.46,550.64,4139,SPY
2025-04-28,548.77,568.38,541.52,566.92,3914,SPY
2025-05-05,563.26,570.31,556.04,564.9,3855,SPY
2025-05-12,578.58,594.5,577.03,590.65,3961,SPY
2025-05-19,587.49,596.05,573.31,578.94,3983,SPY
2025-05-26,588.12,598.3,583.26,589.35,3214,SPY
2025-06-02,586.11,600.82,585.06,598.97,3759,SPY
2025-06-09,599.55,606.3,595.49,597.04,3893,SPY
2025-06-16,600.32,604.45,592.86,594.86,3262,SPY
2025-06-23,595.34,616.39,588.79,614.12,3917,SPY
2025-06-30,617.2,626.27,615.04,625.01,2870,SPY
2025-07-07,622.83,626.87,617.88,623.18,3668,SPY
2025-07-14,621.47,629.47,618.05,627.63,3746,SPY
2025-07-21,629.15,637.57,626.19,637.21,3621,SPY
2025-07-28,639.23,641.44,619.29,622.15,3921,SPY
2025-08-04,624.49,638.29,621.72,638.13,3900,SPY
2025-08-11,637.31,647.02,634.66,643.03,3645,SPY
2025-08-18,642.97,646.5,632.94,645.33,3665,SPY
2025-08-25,644.42,649.79,641.33,645.29,3626,SPY
2025-09-01,640.74,652.21,634.92,646.26,3113,SPY
2025-09-08,648.18,659.13,647.22,657.45,3701,SPY
2025-09-15,658.64,665.1,654.3,663.27,3871,SPY
2025-09-22,661.82,667.34,654.405,661.53,3694,SPY
2025-09-29,664.6,672.67,660.96,669.48,3759,SPY
2025-10-06,670.62,674.06,646.52,646.85,3710,SPY
2025-10-13,663.07,670.23,651.42,665.25,4016,SPY
2025-10-20,667.12,678.46,663.3,677.25,3746,SPY
2025-10-27,682.69,689.7,679.24,682.14,3885,SPY
2025-11-03,683.67,685.79,661.21,672.01,3887,SPY
2025-11-10,676.82,685.75,663.265,672.65,3741,SPY
2025-11-17,676.14,676.16,649.45,659.77,3976,SPY
2025-11-24,663.5,684.3,659.52,683.59,2927,SPY
2025-12-01,679.72,688.39,677.97,685.89,3538,SPY
2025-12-08,686.53,691.24,679.175,681.98,3640,SPY
2025-12-15,684.12,685.87,671.2,681.03,3743,SPY
2025-12-22,682.43,691.65,682.37,689.99,2476,SPY
2025-12-29,688.5,689.19,679.82,683.12,2704,SPY
2026-01-05,684.81,695.3,684.35,694.02,3546,SPY
2026-01-12,689.02,697.3,686.13,691.75,3635,SPY
2026-01-19,680.75,691.125,675.88,688.06,3094,SPY
2026-01-26,689.39,698.34,684.83,691.36,3690,SPY
