week_monday,open,high,low,close,n_bars,symbol
2023-12-18,4770.5,4830.75,4743.25,4799.25,7962,ESH4
2023-12-25,4800.25,4841.5,4796.75,4812.75,6122,ESH4
2024-01-01,4818.0,4828.0,4702.0,4735.5,7007,ESH4
2024-01-08,4735.75,4838.0,4715.25,4811.25,8336,ESH4
2024-01-15,4812.0,4874.25,4746.25,4869.75,8236,ESH4
2024-01-22,4872.5,4934.25,4872.5,4912.75,8882,ESH4
2024-01-29,4908.75,4997.75,4866.0,4972.75,9529,ESH4
2024-02-05,4976.0,5048.5,4937.75,5042.0,9211,ESH4
2024-02-12,5042.5,5066.5,4936.5,5014.5,12119,ESH4
2024-02-19,5016.5,5123.5,4959.0,5094.75,11620,ESH4
2024-02-26,5095.0,5149.25,5060.0,5138.75,21128,ESH4
2024-03-04,5142.0,5193.0,5063.0,5132.0,69104,ESH4
2024-03-11,5132.5,5132.5,5106.5,5120.75,4804,ESH4
2024-03-18,5185.75,5322.75,5181.75,5289.75,8086,ESM4
2024-03-25,5290.5,5321.0,5263.0,5304.25,6132,ESM4
2024-04-01,5314.25,5333.5,5191.5,5255.75,8372,ESM4
2024-04-08,5263.25,5285.0,5150.0,5166.5,8670,ESM4
2024-04-15,5166.5,5213.25,4963.5,5003.5,9435,ESM4
2024-04-22,5014.25,5146.5,5006.0,5131.75,8670,ESM4
2024-04-29,5140.25,5166.75,5036.25,5161.5,8732,ESM4
2024-05-06,5166.75,5264.0,5155.75,5241.5,8199,ESM4
2024-05-13,5240.5,5349.0,5216.75,5327.75,8461,ESM4
2024-05-20,5329.25,5368.25,5273.5,5320.75,9590,ESM4
2024-05-27,5321.75,5339.0,5205.5,5299.25,10970,ESM4
2024-06-03,5299.5,5385.5,5246.75,5353.5,26700,ESM4
2024-06-10,5351.5,5454.5,5334.5,5435.75,71293,ESM4
2024-06-17,5500.0,5588.0,5489.75,5536.5,68228,ESU4
2024-06-24,5538.5,5585.0,5510.25,5532.25,7883,ESU4
