QQQ   270319C00935000	3
QQQ   260508C00661000	340
QQQ   260731C00650000	13
QQQ   260507P00689000	
QQQ   260630P00482000	5
QQQ   270917P00595000	76
QQQ   260512C00622000	
QQQ   260930P00745000	2
QQQ   260918P00820000	
QQQ   270331P00598000	1
QQQ   280616P00775000	149
QQQ   280616P00631000	1
QQQ   260505C00683000	2161
QQQ   260515P00646000	522
QQQ   270319P00755000	104
QQQ   260821C00785000	93
QQQ   260731P00470000	14
QQQ   260731P00696000	
QQQ   260717P00505000	548
QQQ   260930C00675000	447
QQQ   260918C00750000	6304
QQQ   271217P00845000	
QQQ   260515C00576000	250
QQQ   270319C00685000	137
QQQ   260529P00617000	344
QQQ   260529P00535000	1140
QQQ   261016P00680000	114
QQQ   270617C00930000	76
QQQ   260605P00555000	182
QQQ   260605P00637000	76
QQQ   260717C00579000	61
QQQ   260717C00435000	2
QQQ   270331P00735000	32
QQQ   271217C00775000	2220
QQQ   260507C00612000	2
QQQ   260630C00693000	6
QQQ   281215C00525000	19
QQQ   260930P00495000	529
QQQ   260529C00465000	
QQQ   260529C00547000	5
QQQ   260522P00335000	535
QQQ   260918P00570000	72158
QQQ   260605C00485000	
QQQ   260605C00567000	
QQQ   270331C00665000	256
QQQ   260618C00319780	30
QQQ   271217P00900000	
QQQ   270617P00750000	57
QQQ   260505P00640000	4655
QQQ   271217P00595000	1293
QQQ   280121C00940000	602
QQQ   260507P00576000	23
QQQ   281215P00345000	1
QQQ   261218P00820000	
QQQ   271217C00830000	708
QQQ   270617C00680000	3079
QQQ   270115P00435000	797
QQQ   260512C00653000	
QQQ   260930P00550000	6593
QQQ   260630C00830000	1
QQQ   260529C00602000	133
QQQ   270331P00485000	43
QQQ   260605C00622000	7
QQQ   260515P00677000	183
QQQ   260515P00533000	271
QQQ   261218C00750000	7455
QQQ   260508P00594000	284
QQQ   270115C00365000	33
QQQ   280121P00760000	
QQQ   260930C00480000	38
QQQ   260522C00628000	89
QQQ   271217P00650000	1721
QQQ   260630P00650000	3092
QQQ   260529P00648000	526
QQQ   260529P00566000	221
QQQ   260605P00586000	21
QQQ   260605P00668000	90
QQQ   280121C00690000	233
QQQ   261218P00570000	3174
QQQ   271217C00580000	461
QQQ   260507C00643000	3
QQQ   260630C00580000	1791
QQQ   260529C00578000	100
QQQ   260605C00598000	1
QQQ   260511C00604000	2
QQQ   270331C00552000	
QQQ   260515C00600000	33666
QQQ   260512P00610000	163
QQQ   260514P00628000	81
QQQ   270917P00900000	
QQQ   260505P00671000	4275
QQQ   260717C00603000	43
QQQ   260512C00684000	265
QQQ   260512C00540000	
QQQ   260529C00633000	244
QQQ   270917C00830000	268
QQQ   260529C00715000	3904
QQQ   260522P00503000	
QQQ   260513P00690000	
QQQ   260605C00735000	130
QQQ   260605C00653000	117
QQQ   260515P00564000	1031
QQQ   260515P00420000	2316
QQQ   260717P00567000	299
QQQ   260522C00659000	278
QQQ   260522C00515000	45
QQQ   260507P00600000	351
QQQ   260515C00350000	6
QQQ   260630P00681000	
QQQ   260612P00638000	27
