id,entryTime,exitTime,side,levelType,levelPrice,entryPrice,barsHeld,exitReason,pnl_pts,mfe_pts,mae_pts,won,entry_gamma_flip,entry_gamma_flip_dist_raw,entry_total_gex,entry_gamma_imbalance,entry_regime,entry_in_dir_wall,entry_in_dir_wall_dist,entry_in_dir_wall_strength,entry_opp_wall,entry_opp_wall_dist,entry_opp_wall_strength,entry_iv,entry_skew,snapshots_during_trade,gamma_flip_drift_raw,gamma_flip_drift_signed_dir,in_dir_wall_strength_pct_change,opp_wall_strength_pct_change,in_dir_wall_move_raw,opp_wall_move_raw,total_gex_change_pct,gamma_imbalance_change,regime_changed,exit_regime,iv_change,skew_change
T000192,2025-03-31T13:36:00.000Z,2025-03-31T14:29:14.000Z,long,S2,19073.7400,19052.5000,53.0000,trailing_stop,4.7500,115.5000,75.7500,1.0000,,,-5509226866.1905,-0.9044,strong_negative,18864.1400,188.3600,596635304.7018,21798.5600,2746.0600,15450103.2943,[object Object],-0.0575,3.0000,,,-0.0871,0.0043,-192.3500,-222.2700,0.0276,0.0098,0.0000,strong_negative,0.0415,-0.0687
T000193,2025-03-31T14:30:00.000Z,2025-03-31T15:07:46.000Z,long,S3,19045.2300,19059.7500,37.0000,take_profit,119.7500,119.0000,0.0000,1.0000,,,-5132722943.2128,-0.9146,strong_negative,19087.5700,-27.8200,678910294.5303,21577.2600,2517.5100,15471954.6072,[object Object],-0.0790,3.0000,,,-0.0200,0.0039,-3.0800,-3.4900,0.0143,0.0042,0.0000,strong_negative,-0.0203,0.0272
T000194,2025-03-31T15:36:00.000Z,2025-03-31T16:35:00.000Z,long,S4,19208.3900,19214.0000,60.0000,max_hold_time,59.2500,72.2500,39.7500,1.0000,,,-4653076413.6919,-0.8967,negative,19083.9300,130.0700,562167267.8467,21573.1400,2359.1400,15476598.3794,[object Object],-0.0487,4.0000,,,-0.0343,-0.0001,1.4500,1.6400,0.0058,0.0069,0.0000,negative,-0.0193,-0.0220
T000195,2025-03-31T16:46:00.000Z,2025-03-31T17:45:00.000Z,long,S1,19265.6500,19265.2500,60.0000,max_hold_time,-40.0000,42.5000,56.2500,0.0000,,,-4689442722.8017,-0.8985,negative,19265.6500,-0.4000,566945086.1535,21778.5600,2513.3100,15458533.7000,[object Object],-0.0194,4.0000,,,-0.0084,-0.0039,-181.4700,-205.1400,0.0077,0.0018,0.0000,negative,0.0085,-0.0662
T000196,2025-03-31T17:58:00.000Z,2025-03-31T18:10:58.000Z,long,S4,19208.6400,19232.2500,12.0000,take_profit,120.2500,120.0000,14.0000,1.0000,,,-4653118474.1274,-0.8967,negative,19084.1800,148.0700,562166118.1339,21573.4200,2341.1700,15398665.2440,[object Object],-0.0105,1.0000,,,-0.1121,0.2911,2.5200,-1034.4700,0.0629,-0.0205,0.0000,negative,0.0098,0.0273
T000197,2025-04-01T14:14:00.000Z,2025-04-01T14:38:45.000Z,long,S2,19286.3900,19296.7500,24.0000,take_profit,119.7500,118.7500,35.5000,1.0000,,,-4410540227.0901,-0.8123,negative,19079.0100,217.7400,570765547.8725,20115.9100,819.1600,44208539.8921,[object Object],-0.0331,2.0000,,,-0.1903,0.0305,207.3000,-0.0900,0.2207,0.0573,0.0000,negative,0.0320,0.0450
T000198,2025-04-01T14:53:00.000Z,2025-04-01T15:50:36.000Z,long,S1,19492.3600,19485.0000,57.0000,take_profit,119.7500,119.2500,13.2500,1.0000,,,-2988195068.5567,-0.7768,negative,19492.3600,-7.3600,489375312.2448,20529.1900,1044.1900,55923786.5682,[object Object],-0.0272,4.0000,,,-0.1085,0.2172,0.9300,0.9800,0.1569,0.0247,0.0000,negative,-0.0010,-0.0560
T000199,2025-04-01T16:44:00.000Z,2025-04-01T17:43:00.000Z,long,S1,19492.9700,19504.2500,60.0000,max_hold_time,31.5000,90.5000,6.7500,1.0000,,,-3066492785.4616,-0.7861,negative,19492.9700,11.2800,495659020.6339,20529.8300,1025.5800,53829895.1036,[object Object],-0.0852,4.0000,,,-0.0226,0.0670,196.9300,207.4100,0.0460,0.0165,0.0000,negative,-0.0388,0.0175
T000200,2025-04-02T13:36:00.000Z,2025-04-02T13:46:15.000Z,long,S3,19458.8400,19437.2500,10.0000,take_profit,120.2500,119.0000,0.2500,1.0000,17784.1700,1653.0800,-4257840353.5677,-0.6852,negative,19677.3900,-240.1400,1089966071.0012,20514.7200,1077.4700,86467433.3805,[object Object],-0.0891,1.0000,-167.6800,167.6800,0.0008,-0.0016,-185.5400,-193.4300,-0.0021,-0.0006,0.0000,negative,-0.0199,0.0541
T000201,2025-04-02T15:24:00.000Z,2025-04-02T16:23:00.000Z,long,S1,19681.4900,19674.7500,60.0000,max_hold_time,69.0000,76.0000,63.2500,1.0000,17997.2500,1677.5000,-2747591449.1385,-0.5665,negative,19681.4900,-6.7400,773727385.5636,20519.0000,844.2500,123013199.5891,[object Object],-0.0457,4.0000,-5.8800,5.8800,-0.1980,0.2560,-6.4400,-6.7100,0.2204,0.0316,0.0000,negative,0.0334,0.0703
