trade_id,side,levelType,entryTime,exitTime,snap_ts,bars_elapsed,bars_remaining,frac_elapsed,won,pnl_pts,mfe_pts,mae_pts,exit_reason,regime,gamma_flip,gamma_flip_dist,total_gex,gamma_imbalance,in_dir_wall,in_dir_wall_dist,in_dir_wall_strength,opp_wall,opp_wall_dist,opp_wall_strength,regime_changed_since_entry,in_dir_wall_strength_pct_change,opp_wall_strength_pct_change,total_gex_change_pct,gamma_imbalance_change,gamma_flip_drift_signed_dir
T000393,short,R1,2025-07-15T18:07:00.000Z,2025-07-15T19:06:00.000Z,2025-07-15T19:00:00.000Z,53.0000,6.0000,0.8983,1.0000,70.7500,90.7500,5.2500,max_hold_time,positive,23064.8200,109.9300,4016256130.4165,0.5971,23189.0400,14.2900,1292797195.3744,22899.1800,275.5700,216250845.6885,0.0000,-0.2033,0.4336,-0.1800,-0.1058,2161.8400
T000394,long,S1,2025-07-16T14:44:00.000Z,2025-07-16T15:20:23.000Z,2025-07-16T14:45:00.000Z,1.0000,35.0000,0.0275,0.0000,-81.0000,51.2500,77.7500,stop_loss,neutral,22770.1600,224.3400,997147575.9889,0.2473,22977.1700,17.3300,360203980.3531,23184.1700,189.6700,676915328.7780,1.0000,0.1405,-0.0476,-0.1876,-0.0582,1.9700
T000394,long,S1,2025-07-16T14:44:00.000Z,2025-07-16T15:20:23.000Z,2025-07-16T15:00:00.000Z,16.0000,20.0000,0.4398,0.0000,-81.0000,51.2500,77.7500,stop_loss,positive,23185.7500,-191.2500,1870021014.2756,0.4392,22937.3300,57.1700,207506509.1591,23185.7500,191.2500,831996062.8580,0.0000,-0.3430,0.1705,0.5236,0.1337,-413.6200
T000394,long,S1,2025-07-16T14:44:00.000Z,2025-07-16T15:20:23.000Z,2025-07-16T15:15:00.000Z,31.0000,5.0000,0.8520,0.0000,-81.0000,51.2500,77.7500,stop_loss,neutral,22770.2700,224.2300,819971763.8025,0.2022,22977.2700,17.2300,390612058.1927,23184.2800,189.7800,648698684.3102,1.0000,0.2368,-0.0873,-0.3319,-0.1032,1.8600
T000395,long,S2,2025-07-16T15:23:00.000Z,2025-07-16T15:33:03.000Z,2025-07-16T15:30:00.000Z,7.0000,3.0000,0.6965,1.0000,4.7500,82.2500,0.0000,trailing_stop,neutral,21116.3500,1795.6500,-534258257.6900,0.2121,22896.7400,15.2600,549132832.8786,23186.5800,274.5800,504175676.4468,0.0000,0.4058,-0.2228,-1.6516,0.0099,1653.9200
T000396,long,S3,2025-07-16T15:53:00.000Z,2025-07-16T16:52:00.000Z,2025-07-16T16:00:00.000Z,7.0000,52.0000,0.1186,1.0000,113.2500,115.0000,3.5000,max_hold_time,neutral,22772.8300,144.6700,803456258.1365,0.1983,22979.8500,-62.3500,393073391.2026,23186.8800,269.3800,646122370.7846,0.0000,0.0778,-0.0401,-0.1759,-0.0434,-0.6900
T000396,long,S3,2025-07-16T15:53:00.000Z,2025-07-16T16:52:00.000Z,2025-07-16T16:15:00.000Z,22.0000,37.0000,0.3729,1.0000,113.2500,115.0000,3.5000,max_hold_time,neutral,22771.5100,145.9900,825007545.2022,0.2038,22978.5200,-61.0200,390237217.8182,23185.5400,268.0400,648698684.3102,0.0000,0.0700,-0.0362,-0.1538,-0.0379,0.6300
T000396,long,S3,2025-07-16T15:53:00.000Z,2025-07-16T16:52:00.000Z,2025-07-16T16:30:00.000Z,37.0000,22.0000,0.6271,1.0000,113.2500,115.0000,3.5000,max_hold_time,positive,22771.5900,145.9100,1057413836.1285,0.2631,22978.6000,-61.1000,347607086.1555,23185.6200,268.1200,687198613.5193,1.0000,-0.0469,0.0210,0.0846,0.0215,0.5500
T000396,long,S3,2025-07-16T15:53:00.000Z,2025-07-16T16:52:00.000Z,2025-07-16T16:45:00.000Z,52.0000,7.0000,0.8814,1.0000,113.2500,115.0000,3.5000,max_hold_time,positive,23187.3600,-269.8600,1902316460.1691,0.4552,22938.9200,-21.4200,200401681.4061,23187.3600,269.8600,840746601.2640,1.0000,-0.4505,0.2491,0.9512,0.2135,-415.2200
T000397,long,S1,2025-07-17T13:34:00.000Z,2025-07-17T14:33:00.000Z,2025-07-17T13:45:00.000Z,11.0000,48.0000,0.1864,1.0000,94.7500,101.5000,8.0000,max_hold_time,positive,22768.7300,305.0200,2699247241.7602,0.6708,23141.3100,-67.5600,112939813.7810,23389.6900,315.9400,539150369.4222,0.0000,-0.5199,0.0557,0.2089,0.1283,-1904.4600
