date,day_of_week,rth_close,overnight_return,direction,overnight_range,max_up,max_down,gex_regime,total_gex,gf_dist,s1_dist,r1_dist,lt_sentiment,evening_ret,dead_zone_ret,european_ret,premarket_ret
2024-09-30,Monday,20270.25,-18.25,DOWN,118.50,61.50,57.00,positive,1.30,-206.02,1579.94,496.76,BULLISH,12.75,4.25,18.00,-18.00
2024-10-01,Tuesday,19978.25,-35.25,DOWN,132.00,32.50,99.50,negative,-1.34,,878.82,1197.21,BULLISH,-42.50,-12.75,24.00,-2.75
2024-10-02,Wednesday,20010.00,-97.75,DOWN,216.00,58.00,158.00,neutral,0.18,-1377.06,719.71,538.35,BEARISH,-0.25,-115.50,-28.25,2.25
2024-10-03,Thursday,19988.00,239.50,UP,322.25,275.75,46.50,neutral,-0.63,1942.38,895.62,349.54,BULLISH,18.00,32.75,-13.50,224.00
2024-10-07,Monday,19999.00,104.50,UP,204.25,107.75,96.50,negative,-1.15,1965.44,919.38,324.94,BEARISH,-42.75,-5.00,40.00,85.25
2024-10-08,Tuesday,20300.00,-17.75,DOWN,104.75,0.75,104.00,positive,2.01,-25.85,1218.59,233.26,BEARISH,-20.25,-42.25,12.00,39.00
2024-10-09,Wednesday,20458.25,-99.00,DOWN,156.25,20.25,136.00,positive,3.19,1997.45,1375.18,284.22,BULLISH,4.75,-7.75,-24.50,-59.50
2024-10-10,Thursday,20429.50,-89.25,DOWN,128.75,38.75,90.00,positive,3.04,1986.28,1355.16,96.14,BULLISH,17.25,-25.50,-67.00,-20.50
2024-10-14,Monday,20621.75,9.75,RANGE,87.50,29.25,58.25,positive,3.95,1976.63,1552.98,105.18,BEARISH,-6.75,-24.50,-27.50,49.75
2024-10-15,Tuesday,20343.50,9.75,RANGE,92.50,55.00,37.50,neutral,0.86,1906.80,239.63,174.88,BULLISH,17.25,40.00,-31.75,-6.25
2024-10-16,Wednesday,20346.25,227.00,UP,318.00,248.50,69.50,neutral,0.56,1912.58,1281.80,168.76,BULLISH,-14.00,28.25,150.00,80.00
2024-10-17,Thursday,20364.00,102.25,UP,187.75,144.50,43.25,positive,1.86,-146.91,267.45,146.91,BEARISH,21.25,-1.25,44.25,16.25
2024-10-21,Monday,20520.50,-118.00,DOWN,183.75,23.50,160.25,positive,1.57,1479.63,435.20,186.00,BULLISH,-20.50,-63.00,-22.50,-28.00
2024-10-22,Tuesday,20539.75,-105.50,DOWN,118.75,2.75,116.00,positive,1.50,1912.79,454.20,167.00,BULLISH,8.50,-23.25,-19.25,-54.50
2024-10-23,Wednesday,20218.25,154.50,UP,160.50,210.25,-49.75,neutral,-0.66,,140.62,480.34,BULLISH,-4.25,33.75,50.00,0.00
2024-10-24,Thursday,20380.00,111.25,UP,148.00,132.00,16.00,neutral,0.73,-568.34,301.06,319.94,BULLISH,-7.75,8.00,30.75,71.75
2024-10-28,Monday,20500.50,10.25,UP,103.75,54.25,49.50,positive,1.10,1879.59,224.40,189.40,BULLISH,-6.00,-1.00,19.00,-16.00
2024-10-29,Tuesday,20695.00,-33.50,DOWN,148.75,93.50,55.25,positive,2.95,1878.61,421.40,406.10,BULLISH,15.00,-35.50,9.75,-60.50
2024-10-30,Wednesday,20534.50,-169.50,DOWN,208.75,-38.75,247.50,neutral,-0.63,,259.85,153.92,BEARISH,-55.50,-33.00,-74.50,47.50
2024-10-31,Thursday,20011.25,57.50,UP,129.50,135.25,-5.75,negative,-2.89,,-48.85,669.27,BULLISH,2.75,46.50,-25.50,-28.00
2024-11-04,Monday,20085.25,67.00,UP,129.50,86.00,43.50,negative,-1.75,1905.81,863.27,583.54,BULLISH,-54.75,42.00,31.50,2.50
2024-11-05,Tuesday,20341.25,344.50,UP,407.75,390.00,17.75,neutral,0.08,1957.33,501.59,325.06,BULLISH,29.00,258.25,79.75,-42.00
2024-11-06,Wednesday,20893.75,112.75,UP,159.00,126.75,32.25,positive,3.87,32.33,617.62,427.54,BEARISH,-49.50,76.25,-9.25,65.25
2024-11-07,Thursday,21221.75,-35.75,DOWN,141.50,41.50,100.00,positive,4.50,1396.15,1180.45,59.22,BEARISH,0.00,6.00,-6.75,-39.25
2024-11-11,Monday,21220.25,-6.25,RANGE,121.00,29.25,91.75,positive,3.30,2058.66,76.43,47.46,BEARISH,-7.50,-4.25,-24.25,30.00
2024-11-12,Tuesday,21185.00,-26.50,DOWN,142.25,58.50,83.75,positive,2.63,2021.92,39.53,84.37,BEARISH,-33.75,-27.00,58.50,-18.25
