date,label,move,rel_bucket,cx_bid_behind,cx_ask_behind,cx_at_bbo,add_sz
2025-12-29,ev1,-44.75,12,548,457,5465,0
2025-12-29,ev1,-44.75,13,287,263,3909,0
2025-12-29,ev1,-44.75,14,245,274,3275,0
2025-12-29,ev1,-44.75,15,391,374,3871,0
2025-12-29,ev1,-44.75,16,336,348,3699,0
2025-12-29,ev1,-44.75,17,295,515,3654,0
2026-01-02,ct10,-8.25,-36,144,111,1118,0
2026-01-02,ct10,-8.25,-35,109,126,1052,0
2026-01-02,ct10,-8.25,-34,100,176,1246,0
2026-01-02,ct10,-8.25,-33,139,200,1421,0
2026-01-02,ct10,-8.25,-32,104,125,1130,0
2026-01-02,ct10,-8.25,-31,89,109,936,0
2026-01-02,ct10,-8.25,-30,167,194,1334,0
2026-01-02,ct10,-8.25,-29,92,88,1065,0
2026-01-02,ct10,-8.25,-28,104,132,1101,0
2026-01-02,ct10,-8.25,-27,95,74,1055,0
2026-01-02,ct10,-8.25,-26,74,68,1118,0
2026-01-02,ct10,-8.25,-25,103,100,1162,0
2026-01-02,ct10,-8.25,-24,164,181,1708,0
2026-01-02,ct10,-8.25,-23,112,154,1623,0
2026-01-02,ct10,-8.25,-22,81,64,978,0
2026-01-02,ct10,-8.25,-21,85,78,1167,0
2026-01-02,ct10,-8.25,-20,135,112,1698,0
2026-01-02,ct10,-8.25,-19,92,117,1097,0
2026-01-02,ct10,-8.25,-18,100,142,1466,0
2026-01-02,ct10,-8.25,-17,91,96,805,0
2026-01-02,ct10,-8.25,-16,86,99,1154,0
2026-01-02,ct10,-8.25,-15,156,189,1516,0
2026-01-02,ct10,-8.25,-14,100,121,1335,0
2026-01-02,ct10,-8.25,-13,69,89,788,0
2026-01-02,ct10,-8.25,-12,116,119,1097,0
2026-01-02,ct10,-8.25,-11,79,113,986,0
2026-01-02,ct10,-8.25,-10,76,83,850,0
2026-01-02,ct10,-8.25,-9,59,77,664,0
2026-01-02,ct10,-8.25,-8,51,80,661,0
2026-01-02,ct10,-8.25,-7,185,134,1283,0
2026-01-02,ct10,-8.25,-6,145,119,1530,0
2026-01-02,ct10,-8.25,-5,159,138,1568,0
2026-01-02,ct10,-8.25,-4,249,184,1457,0
2026-01-02,ct10,-8.25,-3,151,112,1130,0
2026-01-02,ct10,-8.25,-2,104,84,943,0
2026-01-02,ct10,-8.25,-1,156,77,923,0
2026-01-02,ct10,-8.25,0,205,126,1120,0
2026-01-02,ct10,-8.25,1,112,95,1293,0
2026-01-02,ct10,-8.25,2,168,158,1453,0
2026-01-02,ct10,-8.25,3,211,195,1604,0
2026-01-02,ct10,-8.25,4,104,113,1423,0
2026-01-02,ct10,-8.25,5,82,73,905,0
2026-01-02,ct10,-8.25,6,136,164,1519,0
2026-01-02,ct10,-8.25,7,102,106,1051,0
2026-01-02,ct10,-8.25,8,112,102,1411,0
2026-01-02,ct10,-8.25,9,129,119,1171,0
2026-01-02,ct10,-8.25,10,181,238,1628,0
2026-01-02,ct10,-8.25,11,128,137,1011,0
2026-01-02,ct10,-8.25,12,169,145,1281,0
2026-01-02,ct10,-8.25,13,118,120,1076,0
2026-01-02,ct10,-8.25,14,66,66,815,0
2026-01-02,ct10,-8.25,15,129,106,1120,0
2026-01-02,ct10,-8.25,16,136,103,1188,0
2026-01-02,ct10,-8.25,17,111,135,1068,0
2026-01-02,ct11,-6.0,-36,222,185,2066,0
2026-01-02,ct11,-6.0,-35,143,110,1457,0
2026-01-02,ct11,-6.0,-34,159,132,1500,0
2026-01-02,ct11,-6.0,-33,199,162,1413,0
2026-01-02,ct11,-6.0,-32,109,126,1431,0
2026-01-02,ct11,-6.0,-31,125,107,990,0
2026-01-02,ct11,-6.0,-30,182,187,1531,0
2026-01-02,ct11,-6.0,-29,238,193,1867,0
2026-01-02,ct11,-6.0,-28,263,199,1662,0
2026-01-02,ct11,-6.0,-27,215,302,1915,0
2026-01-02,ct11,-6.0,-26,156,208,1308,0
2026-01-02,ct11,-6.0,-25,107,102,864,0
2026-01-02,ct11,-6.0,-24,123,108,1088,0
2026-01-02,ct11,-6.0,-23,116,100,898,0
2026-01-02,ct11,-6.0,-22,132,89,1112,0
2026-01-02,ct11,-6.0,-21,116,92,1228,0
2026-01-02,ct11,-6.0,-20,185,187,1293,0
2026-01-02,ct11,-6.0,-19,152,132,1572,0
2026-01-02,ct11,-6.0,-18,126,121,1475,0
2026-01-02,ct11,-6.0,-17,112,106,1221,0
2026-01-02,ct11,-6.0,-16,101,101,1016,0
2026-01-02,ct11,-6.0,-15,150,98,1347,0
2026-01-02,ct11,-6.0,-14,112,97,917,0
2026-01-02,ct11,-6.0,-13,113,123,1124,0
2026-01-02,ct11,-6.0,-12,165,144,1651,0
2026-01-02,ct11,-6.0,-11,164,132,1097,0
2026-01-02,ct11,-6.0,-10,125,96,969,0
2026-01-02,ct11,-6.0,-9,103,96,1115,0
2026-01-02,ct11,-6.0,-8,151,114,879,0
2026-01-02,ct11,-6.0,-7,106,105,742,0
2026-01-02,ct11,-6.0,-6,82,107,835,0
2026-01-02,ct11,-6.0,-5,139,130,1337,0
2026-01-02,ct11,-6.0,-4,166,130,1223,0
2026-01-02,ct11,-6.0,-3,115,96,873,0
2026-01-02,ct11,-6.0,-2,103,70,544,0
2026-01-02,ct11,-6.0,-1,83,82,712,0
2026-01-02,ct11,-6.0,0,80,88,959,0
2026-01-02,ct11,-6.0,1,135,137,1444,0
2026-01-02,ct11,-6.0,2,143,104,1248,0
2026-01-02,ct11,-6.0,3,110,85,1067,0
2026-01-02,ct11,-6.0,4,213,328,1809,0
2026-01-02,ct11,-6.0,5,139,149,1429,0
2026-01-02,ct11,-6.0,6,267,200,1731,0
2026-01-02,ct11,-6.0,7,121,157,1698,0
2026-01-02,ct11,-6.0,8,140,109,1581,0
2026-01-02,ct11,-6.0,9,100,104,1357,0
2026-01-02,ct11,-6.0,10,124,148,1319,0
2026-01-02,ct11,-6.0,11,148,118,1063,0
2026-01-02,ct11,-6.0,12,134,152,1279,0
2026-01-02,ct11,-6.0,13,167,115,1280,0
2026-01-02,ct11,-6.0,14,134,106,1432,0
2026-01-02,ct11,-6.0,15,142,125,1310,0
2026-01-02,ct11,-6.0,16,76,66,1078,0
2026-01-02,ct11,-6.0,17,103,89,1110,0
2026-01-02,ct12,-6.0,-36,339,272,3068,0
2026-01-02,ct12,-6.0,-35,343,279,3782,0
2026-01-02,ct12,-6.0,-34,387,317,3726,0
2026-01-02,ct12,-6.0,-33,256,333,3102,0
2026-01-02,ct12,-6.0,-32,328,257,3330,0
2026-01-02,ct12,-6.0,-31,533,363,3282,0
2026-01-02,ct12,-6.0,-30,338,290,3454,0
2026-01-02,ct12,-6.0,-29,565,407,3736,0
2026-01-02,ct12,-6.0,-28,248,219,2781,0
2026-01-02,ct12,-6.0,-27,316,307,2586,0
2026-01-02,ct12,-6.0,-26,458,329,2890,0
2026-01-02,ct12,-6.0,-25,275,266,2678,0
2026-01-02,ct12,-6.0,-24,291,311,2730,0
2026-01-02,ct12,-6.0,-23,379,350,3267,0
2026-01-02,ct12,-6.0,-22,228,326,3418,0
2026-01-02,ct12,-6.0,-21,282,301,2946,0
2026-01-02,ct12,-6.0,-20,252,221,2990,0
2026-01-02,ct12,-6.0,-19,227,214,2437,0
2026-01-02,ct12,-6.0,-18,385,476,4454,0
2026-01-02,ct12,-6.0,-17,452,451,4000,0
2026-01-02,ct12,-6.0,-16,271,266,3219,0
2026-01-02,ct12,-6.0,-15,168,171,2521,0
2026-01-02,ct12,-6.0,-14,244,170,2137,0
2026-01-02,ct12,-6.0,-13,215,211,2011,0
2026-01-02,ct12,-6.0,-12,396,291,3533,0
2026-01-02,ct12,-6.0,-11,298,287,3170,0
