date,tod,session,sym,move,dir,tier,ev_vol,ev_path,ev_range,ev_net,impact,pre_vol,pre_path,pre_net,impact_pre,fwd60,fwd300,fwd900
2025-10-21,857,rth,NQZ5,-5.0,0,0,649.0,35.25,11.25,-5.0,54.314,810.0,55.0,-4.0,67.901,-4.5,7.0,12.0
2025-02-14,857,rth,NQH5,-2.0,0,0,315.0,24.0,5.75,-2.0,76.19,1241.0,40.5,-5.0,32.635,-6.5,-7.5,-30.5
2026-01-14,857,rth,NQH6,-8.75,0,0,460.0,42.75,13.0,-8.75,92.935,924.0,101.25,5.5,109.578,10.75,18.0,22.5
2025-07-15,857,rth,NQU5,-3.25,0,0,478.0,22.5,4.0,-3.25,47.071,1285.0,45.25,0.5,35.214,5.5,6.25,0.25
2025-09-24,857,rth,NQZ5,-3.5,0,0,455.0,24.5,6.25,-3.5,53.846,2253.0,58.25,5.25,25.854,6.75,1.5,2.75
2025-08-04,860,rth,NQU5,8.0,0,0,651.0,27.75,10.0,8.0,42.627,732.0,48.75,2.25,66.598,-1.75,-0.75,-0.25
2025-08-18,860,rth,NQU5,-3.5,0,0,421.0,26.0,7.25,-3.5,61.758,1083.0,46.25,0.25,42.705,1.5,13.75,17.0
2025-07-14,860,rth,NQU5,2.75,0,0,486.0,22.25,6.25,2.75,45.782,745.0,36.75,-5.5,49.329,-0.25,2.75,7.0
2025-03-24,860,rth,NQM5,-1.5,0,0,547.0,35.75,7.5,-1.5,65.356,983.0,54.75,-4.25,55.697,7.75,1.5,-3.0
2025-10-31,860,rth,NQZ5,7.5,0,0,841.0,46.25,16.5,7.5,54.994,971.0,86.5,1.25,89.083,10.75,17.75,7.25
2025-01-30,862,rth,NQH5,1.5,0,0,421.0,31.5,7.25,1.5,74.822,1254.0,80.5,-0.5,64.195,0.0,-3.75,0.75
2025-07-30,862,rth,NQU5,4.0,0,0,506.0,29.5,8.0,4.0,58.3,948.0,58.5,-1.25,61.709,6.25,13.0,13.0
2026-01-20,862,rth,NQH6,-3.0,0,0,1002.0,39.75,12.0,-3.0,39.671,1283.0,108.25,-5.75,84.373,-5.75,-9.75,-27.75
2025-12-12,862,rth,NQZ5,-7.75,0,0,1089.0,40.0,9.75,-7.75,36.731,2198.0,96.25,-0.75,43.79,-2.0,-10.5,7.0
2025-03-26,862,rth,NQM5,3.25,0,0,1039.0,39.75,15.0,3.25,38.258,1331.0,87.75,1.0,65.928,6.5,-1.75,-14.0
2025-07-08,871,rth,NQU5,4.5,0,0,1028.0,38.25,13.25,4.5,37.208,1386.0,59.0,-10.5,42.569,0.5,5.5,-2.0
2025-01-24,871,rth,NQH5,-1.5,0,0,615.0,39.75,9.5,-1.5,64.634,2254.0,76.25,-7.5,33.829,-5.5,1.0,7.25
2025-06-04,871,rth,NQM5,0.0,0,0,537.0,30.75,5.25,0.0,57.263,2403.0,63.75,2.0,26.529,0.25,2.5,7.0
2025-05-16,871,rth,NQM5,-5.75,0,0,656.0,30.75,11.0,-5.75,46.875,1256.0,69.25,3.75,55.135,0.5,1.25,23.25
2025-05-08,871,rth,NQM5,7.25,0,0,637.0,37.5,9.75,7.25,58.87,1061.0,77.25,4.25,72.809,8.75,24.25,26.0
2025-11-10,873,rth,NQZ5,-1.25,0,0,605.0,25.75,4.5,-1.25,42.562,1222.0,57.75,-4.0,47.259,-3.75,5.75,13.0
2025-01-16,873,rth,NQH5,-3.75,0,0,635.0,45.25,9.5,-3.75,71.26,1047.0,68.75,-0.25,65.664,7.5,21.5,19.25
2025-03-14,873,rth,NQH5,0.0,0,0,604.0,33.0,6.75,0.0,54.636,1992.0,89.75,14.75,45.055,2.25,18.5,29.25
