date,quarter,kind,dir,entry,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2025-05-20,2025Q2,gamma_flip,1,21438.25,203.9,21642.15,21404.0,21489.62,stop,-35.75,-1.044,34.25,3.25,36.25
2025-05-20,2025Q2,gamma_flip,-1,21465.5,483.3,20982.22,21478.25,21446.38,target,19.12,1.5,12.75,19.25,5.25
2025-05-21,2025Q2,gamma_flip,-1,21534.75,553.1,20981.68,21546.25,21517.5,stop,-13.0,-1.13,11.5,6.5,13.5
2025-05-23,2025Q2,put_wall,1,21019.0,-216.5,20802.53,20983.0,21073.0,eod,21.0,0.583,36.0,34.5,9.25
2025-05-27,2025Q2,gamma_flip,-1,21433.0,24.1,21408.87,21447.0,21412.0,stop,-15.5,-1.107,14.0,4.0,17.0
2025-05-28,2025Q2,gamma_flip,1,21439.0,173.0,21611.98,21429.0,21454.0,stop,-11.5,-1.15,10.0,8.25,13.0
2025-06-02,2025Q2,gamma_flip,-1,21514.25,30.2,21484.0,21534.0,21484.62,stop,-21.25,-1.076,19.75,8.25,20.75
2025-06-12,2025Q2,put_wall,1,21850.0,17.3,21867.26,21839.25,21866.12,target,16.12,1.5,10.75,16.75,1.75
2025-06-12,2025Q2,put_wall,-1,21934.5,66.2,21868.26,21953.0,21906.75,stop,-20.0,-1.081,18.5,6.5,19.5
2025-06-17,2025Q2,gamma_flip,1,22060.0,142.2,22202.24,22022.0,22117.0,target,57.0,1.5,38.0,57.0,13.5
2025-06-23,2025Q2,gamma_flip,1,21998.0,834.5,22832.45,21959.0,22056.5,stop,-40.5,-1.038,39.0,20.0,39.25
2025-06-25,2025Q2,gamma_flip,1,22420.0,-4.4,22415.57,22384.5,22473.25,timeout,31.25,0.88,35.5,31.5,12.5
2025-06-30,2025Q2,call_wall,-1,22810.0,-11.2,22821.2,22845.25,22757.12,stop,-36.75,-1.043,35.25,29.0,37.0
2025-06-30,2025Q2,call_wall,-1,22829.25,8.8,22820.48,22852.25,22794.75,target,34.5,1.5,23.0,42.75,4.75
2025-06-30,2025Q2,call_wall,1,22836.75,-15.2,22821.56,22797.5,22895.62,timeout,11.25,0.287,39.25,30.75,7.25
2025-06-30,2025Q2,call_wall,-1,22839.75,18.1,22821.66,22846.0,22830.38,target,9.38,1.5,6.25,11.75,1.75
2025-06-30,2025Q2,call_wall,1,22849.75,177.9,23027.69,22828.0,22882.38,stop,-23.25,-1.069,21.75,16.75,22.5
2025-07-01,2025Q3,gamma_flip,-1,22735.5,126.5,22609.0,22753.5,22708.5,target,27.0,1.5,18.0,27.0,10.75
2025-07-01,2025Q3,gamma_flip,1,22744.75,72.3,22817.01,22716.75,22786.75,stop,-29.5,-1.054,28.0,1.5,28.0
2025-07-02,2025Q3,gamma_flip,-1,22810.75,205.1,22605.61,22835.75,22773.25,stop,-26.5,-1.06,25.0,9.75,26.0
2025-07-02,2025Q3,call_wall,1,22822.75,406.6,23229.34,22806.5,22847.12,timeout,13.75,0.846,16.25,22.25,13.25
