date,quarter,kind,dir,entry,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2025-03-12,2025Q1,R2,-1,19677.5,77.5,19600.0,19707.0,19633.25,stop,-31.0,-1.051,29.5,18.75,29.75
2025-03-12,2025Q1,R3,-1,19724.5,24.5,19700.0,19731.0,19714.75,target,9.75,1.5,6.5,10.5,3.25
2025-03-12,2025Q1,R3,-1,19754.25,54.2,19700.0,19777.25,19719.75,stop,-24.5,-1.065,23.0,20.25,23.5
2025-03-13,2025Q1,R0,1,19202.0,-2.0,19200.0,19166.0,19256.0,target,54.0,1.5,36.0,54.75,18.75
2025-03-13,2025Q1,R1,1,19250.0,50.0,19300.0,19238.75,19266.88,target,16.88,1.5,11.25,17.25,9.5
2025-03-14,2025Q1,R1,-1,19645.0,45.0,19600.0,19670.5,19606.75,stop,-27.0,-1.059,25.5,5.25,25.5
2025-03-17,2025Q1,R0,1,19689.0,11.0,19700.0,19652.5,19743.75,target,54.75,1.5,36.5,54.75,34.25
2025-03-17,2025Q1,R1,1,19689.0,111.0,19800.0,19652.5,19743.75,target,54.75,1.5,36.5,54.75,34.25
2025-03-17,2025Q1,R0,-1,19715.25,15.2,19700.0,19724.5,19701.38,target,13.88,1.5,9.25,15.25,3.25
2025-03-17,2025Q1,R1,-1,19840.25,40.2,19800.0,19859.0,19812.12,stop,-20.25,-1.08,18.75,25.5,18.75
2025-03-17,2025Q1,R2,-1,19917.25,17.2,19900.0,19943.25,19878.25,stop,-27.5,-1.058,26.0,1.25,26.0
2025-03-18,2025Q1,R0,-1,19713.75,13.8,19700.0,19753.75,19653.75,target,60.0,1.5,40.0,61.0,9.25
2025-03-18,2025Q1,R0,-1,19722.5,22.5,19700.0,19739.75,19696.62,stop,-18.75,-1.087,17.25,11.0,17.5
2025-03-19,2025Q1,R0,-1,19832.25,32.2,19800.0,19842.75,19816.5,stop,-12.0,-1.143,10.5,7.75,12.5
2025-03-19,2025Q1,R1,-1,19907.5,7.5,19900.0,19941.5,19856.5,target,51.0,1.5,34.0,52.75,2.25
2025-03-19,2025Q1,R1,-1,19929.25,29.2,19900.0,19962.5,19879.38,stop,-34.75,-1.045,33.25,16.25,40.75
2025-03-20,2025Q1,R1,1,19888.5,11.5,19900.0,19855.25,19938.38,target,49.88,1.5,33.25,50.0,24.0
2025-03-20,2025Q1,R2,1,19888.5,111.5,20000.0,19855.25,19938.38,target,49.88,1.5,33.25,50.0,24.0
2025-03-21,2025Q1,R0,-1,19740.75,40.8,19700.0,19777.5,19685.62,stop,-38.25,-1.041,36.75,45.5,41.25
2025-03-21,2025Q1,R1,-1,19860.5,60.5,19800.0,19900.25,19800.88,timeout,-13.25,-0.333,39.75,59.25,39.5
2025-03-24,2025Q1,R0,-1,20308.75,8.8,20300.0,20342.5,20258.12,stop,-35.25,-1.044,33.75,34.0,36.75
2025-03-25,2025Q1,R0,1,20402.75,-2.8,20400.0,20366.75,20456.75,target,54.0,1.5,36.0,55.5,8.0
2025-03-25,2025Q1,R0,1,20413.75,-13.8,20400.0,20375.25,20471.5,stop,-40.0,-1.039,38.5,1.5,44.75
2025-03-26,2025Q1,R0,1,20085.75,14.2,20100.0,20076.0,20100.38,stop,-11.25,-1.154,9.75,1.25,11.0
2025-03-26,2025Q1,R1,1,20190.5,9.5,20200.0,20161.5,20234.0,stop,-30.5,-1.052,29.0,27.5,33.25
2025-03-27,2025Q1,R1,-1,20112.0,12.0,20100.0,20124.0,20094.0,stop,-13.5,-1.125,12.0,0.5,14.25
2025-03-28,2025Q1,R0,1,19483.0,17.0,19500.0,19472.25,19499.12,stop,-12.25,-1.14,10.75,0.5,15.0
2025-03-28,2025Q1,R1,1,19593.25,6.8,19600.0,19571.75,19625.5,stop,-23.0,-1.07,21.5,16.0,31.25
2025-03-31,2025Q1,R3,-1,19332.5,32.5,19300.0,19340.5,19320.5,stop,-9.5,-1.188,8.0,1.75,9.0
2025-03-31,2025Q1,R4,-1,19422.5,22.5,19400.0,19427.5,19415.0,stop,-6.5,-1.3,5.0,3.5,6.0
2025-04-01,2025Q2,R3,-1,19640.75,40.8,19600.0,19648.0,19629.88,target,10.88,1.5,7.25,13.5,1.5
2025-04-02,2025Q2,R2,-1,19625.5,25.5,19600.0,19643.75,19598.12,target,27.38,1.5,18.25,29.25,9.75
2025-04-02,2025Q2,R3,1,19645.0,55.0,19700.0,19632.0,19664.5,stop,-14.5,-1.115,13.0,4.75,18.0
2025-04-02,2025Q2,R4,1,19645.0,155.0,19800.0,19632.0,19664.5,stop,-14.5,-1.115,13.0,4.75,18.0
2025-04-02,2025Q2,R3,-1,19716.25,16.2,19700.0,19727.0,19700.12,stop,-12.25,-1.14,10.75,1.25,10.75
2025-04-02,2025Q2,R3,-1,19723.25,23.2,19700.0,19732.75,19709.0,stop,-11.0,-1.158,9.5,11.0,12.75
2025-04-03,2025Q2,R1,1,18754.0,46.0,18800.0,18743.25,18770.12,stop,-12.25,-1.14,10.75,15.0,14.0
2025-04-03,2025Q2,R2,1,18754.0,146.0,18900.0,18743.25,18770.12,stop,-12.25,-1.14,10.75,15.0,14.0
2025-04-03,2025Q2,R1,1,18776.5,23.5,18800.0,18750.75,18815.12,target,38.62,1.5,25.75,39.25,7.0
2025-04-03,2025Q2,R2,1,18873.25,26.8,18900.0,18868.0,18881.12,stop,-6.75,-1.286,5.25,0.0,8.0
2025-04-04,2025Q2,R0,1,17575.0,25.0,17600.0,17570.0,17582.5,target,7.5,1.5,5.0,7.75,4.25
2025-04-04,2025Q2,R2,1,17730.75,69.2,17800.0,17716.0,17752.88,target,22.12,1.5,14.75,23.25,9.0
2025-04-04,2025Q2,R2,-1,17817.5,17.5,17800.0,17829.25,17799.88,target,17.62,1.5,11.75,20.25,11.5
2025-04-07,2025Q2,R7,1,17339.25,60.8,17400.0,17316.0,17374.12,stop,-24.75,-1.065,23.25,30.0,25.0
2025-04-07,2025Q2,R9,1,17482.25,117.8,17600.0,17473.0,17496.12,stop,-10.75,-1.162,9.25,0.5,9.5
2025-04-08,2025Q2,R5,1,17560.0,40.0,17600.0,17544.0,17584.0,stop,-17.5,-1.094,16.0,2.25,18.5
2025-04-08,2025Q2,R5,1,17590.0,10.0,17600.0,17555.0,17642.5,stop,-36.5,-1.043,35.0,22.0,35.0
2025-04-08,2025Q2,R5,-1,17607.75,7.8,17600.0,17642.75,17555.25,stop,-36.5,-1.043,35.0,27.75,37.0
2025-04-08,2025Q2,R10,1,18088.75,11.2,18100.0,18055.25,18139.0,target,50.25,1.5,33.5,56.75,13.75
2025-04-08,2025Q2,R11,-1,18208.25,8.2,18200.0,18231.5,18173.38,stop,-24.75,-1.065,23.25,24.25,25.5
2025-04-08,2025Q2,R12,-1,18337.5,37.5,18300.0,18352.0,18315.75,stop,-16.0,-1.103,14.5,4.5,15.75
2025-04-09,2025Q2,R1,-1,17463.0,63.0,17400.0,17475.0,17445.0,stop,-13.5,-1.125,12.0,6.75,13.0
2025-04-09,2025Q2,R2,-1,17541.25,41.2,17500.0,17580.25,17482.75,stop,-40.5,-1.038,39.0,13.0,41.0
2025-04-10,2025Q2,R6,1,18595.5,4.5,18600.0,18558.0,18651.75,target,56.25,1.5,37.5,56.5,14.5
2025-04-10,2025Q2,R7,1,18595.5,104.5,18700.0,18558.0,18651.75,target,56.25,1.5,37.5,56.5,14.5
2025-04-11,2025Q2,R5,-1,18815.5,15.5,18800.0,18832.25,18790.38,target,25.12,1.5,16.75,29.25,4.75
2025-04-14,2025Q2,R1,-1,18959.25,59.2,18900.0,18986.25,18918.75,stop,-28.5,-1.056,27.0,15.5,27.5
2025-04-14,2025Q2,R2,-1,19020.75,20.8,19000.0,19048.25,18979.5,stop,-29.0,-1.055,27.5,15.0,27.5
2025-04-14,2025Q2,R3,1,19095.5,4.5,19100.0,19063.5,19143.5,stop,-33.5,-1.047,32.0,26.75,33.75
2025-04-15,2025Q2,R1,-1,19050.25,50.2,19000.0,19081.0,19004.12,stop,-32.25,-1.049,30.75,12.0,31.0
