date,quarter,tod,dir,exc,entry,stop,target,outcome,pnl,R,risk,mfe,mae
2026-01-22,2026Q1,649,-1,122.0,25639.0,25662.75,25603.38,target,35.62,1.5,23.75,37.0,0.0
2026-01-22,2026Q1,662,-1,122.0,25623.5,25662.75,25564.62,stop,-40.75,-1.038,39.25,10.25,40.5
2026-01-22,2026Q1,735,-1,60.5,25682.0,25704.0,25649.0,stop,-23.5,-1.068,22.0,25.25,23.25
2026-01-22,2026Q1,767,-1,58.0,25708.25,25714.5,25698.88,stop,-7.75,-1.24,6.25,8.0,8.0
2026-01-22,2026Q1,786,-1,66.8,25714.5,25727.5,25695.0,target,19.5,1.5,13.0,20.25,6.25
2026-01-22,2026Q1,831,1,40.5,25694.75,25679.0,25718.38,stop,-17.25,-1.095,15.75,5.5,15.75
2026-01-22,2026Q1,860,-1,43.8,25701.75,25714.75,25682.25,stop,-14.5,-1.115,13.0,1.75,13.5
2026-01-23,2026Q1,656,-1,207.2,25821.0,25830.0,25807.5,stop,-10.5,-1.167,9.0,8.25,9.75
2026-01-23,2026Q1,676,-1,172.0,25812.75,25849.75,25757.25,timeout,21.25,0.574,37.0,51.75,16.75
2026-01-23,2026Q1,906,1,55.2,25724.5,25715.5,25738.0,stop,-10.5,-1.167,9.0,7.0,19.75
2026-01-23,2026Q1,923,1,81.8,25723.25,25687.25,25777.25,eod,9.5,0.264,36.0,9.75,27.25
2026-01-26,2026Q1,646,-1,83.5,25868.0,25890.5,25834.25,stop,-24.0,-1.067,22.5,4.75,23.0
2026-01-26,2026Q1,659,-1,95.5,25881.25,25902.5,25849.38,stop,-22.75,-1.071,21.25,30.5,28.25
2026-01-26,2026Q1,684,-1,64.5,25892.0,25902.5,25876.25,stop,-12.0,-1.143,10.5,7.0,17.5
2026-01-26,2026Q1,700,-1,94.5,25903.25,25932.5,25859.38,stop,-30.75,-1.051,29.25,15.25,33.25
2026-01-26,2026Q1,739,-1,85.8,25914.25,25940.5,25874.88,target,39.38,1.5,26.25,40.25,13.25
2026-01-26,2026Q1,758,-1,48.5,25910.25,25940.5,25864.88,timeout,-2.75,-0.091,30.25,36.75,22.0
2026-01-26,2026Q1,833,-1,58.8,25899.75,25936.25,25845.0,timeout,12.25,0.336,36.5,15.25,14.0
2026-01-26,2026Q1,838,-1,58.8,25901.0,25936.25,25848.12,timeout,20.75,0.589,35.25,22.75,12.75
2026-01-26,2026Q1,913,1,42.2,25879.25,25867.5,25896.88,stop,-13.25,-1.128,11.75,3.5,12.75
2026-01-27,2026Q1,629,-1,157.5,26043.0,26078.75,25989.38,stop,-37.25,-1.042,35.75,4.25,36.0
2026-01-27,2026Q1,640,-1,162.5,26084.0,26095.25,26067.12,stop,-12.75,-1.133,11.25,6.25,11.25
2026-01-27,2026Q1,661,-1,77.0,26081.75,26102.5,26050.62,stop,-22.25,-1.072,20.75,8.5,20.75
2026-01-27,2026Q1,681,-1,68.8,26101.0,26110.75,26086.38,target,14.62,1.5,9.75,14.75,1.75
2026-01-27,2026Q1,724,1,31.8,26077.5,26071.0,26087.25,stop,-8.0,-1.231,6.5,0.5,6.75
2026-01-27,2026Q1,742,1,52.5,26066.75,26046.25,26097.5,stop,-22.0,-1.073,20.5,25.25,28.75
2026-01-27,2026Q1,824,-1,53.8,26081.25,26095.75,26059.5,stop,-16.0,-1.103,14.5,1.75,16.5
2026-01-27,2026Q1,866,-1,28.2,26089.5,26101.75,26071.12,stop,-13.75,-1.122,12.25,11.75,15.5
2026-01-27,2026Q1,869,1,25.0,26092.75,26068.75,26128.75,timeout,0.0,0.0,24.0,21.5,15.0
2026-01-27,2026Q1,906,-1,27.0,26086.25,26103.75,26060.0,stop,-19.0,-1.086,17.5,2.5,18.75
2026-01-27,2026Q1,910,-1,25.5,26095.5,26103.75,26083.12,stop,-9.75,-1.182,8.25,0.75,9.5
2026-01-27,2026Q1,915,-1,34.0,26105.25,26115.75,26089.5,target,15.75,1.5,10.5,16.5,9.0
2026-01-28,2026Q1,577,1,74.2,26221.0,26209.75,26237.88,target,16.88,1.5,11.25,19.75,0.5
2026-01-28,2026Q1,664,1,103.8,26181.25,26155.5,26219.88,stop,-27.25,-1.058,25.75,17.25,26.75
2026-01-28,2026Q1,880,1,82.8,26144.75,26108.75,26198.75,target,54.0,1.5,36.0,54.75,19.5
2026-01-28,2026Q1,916,-1,99.5,26190.5,26216.25,26151.88,target,38.62,1.5,25.75,40.5,20.0
2026-01-29,2026Q1,585,1,276.5,25951.0,25921.5,25995.25,stop,-31.0,-1.051,29.5,1.0,33.0
2026-01-29,2026Q1,645,1,398.5,25633.25,25605.75,25674.5,stop,-29.0,-1.055,27.5,10.0,28.25
2026-01-29,2026Q1,694,-1,178.2,25680.25,25718.25,25623.25,stop,-39.5,-1.039,38.0,12.75,38.25
2026-01-29,2026Q1,820,-1,142.5,25876.75,25895.5,25848.62,target,28.12,1.5,18.75,28.75,2.25
2026-01-29,2026Q1,826,-1,142.5,25857.0,25895.5,25799.25,stop,-40.0,-1.039,38.5,37.0,41.25
2026-01-29,2026Q1,860,-1,84.5,25875.75,25902.5,25835.62,target,40.12,1.5,26.75,40.5,12.75
2026-01-30,2026Q1,776,1,111.2,25714.0,25682.0,25762.0,stop,-33.5,-1.047,32.0,9.5,32.25
2026-01-30,2026Q1,790,1,130.8,25676.75,25661.0,25700.38,stop,-17.25,-1.095,15.75,4.5,15.75
2026-02-02,2026Q1,608,-1,313.0,25824.75,25837.25,25806.0,stop,-14.0,-1.12,12.5,7.75,13.25
2026-02-02,2026Q1,713,-1,97.2,25871.75,25904.25,25823.0,stop,-34.0,-1.046,32.5,2.5,33.5
2026-02-02,2026Q1,784,-1,44.2,25934.75,25945.75,25918.25,target,16.5,1.5,11.0,16.75,1.75
2026-02-02,2026Q1,935,1,91.2,25854.75,25817.75,25910.25,eod,-8.5,-0.23,37.0,11.0,12.5
2026-02-03,2026Q1,699,1,153.0,25509.0,25474.5,25560.75,stop,-36.0,-1.043,34.5,17.75,37.0
2026-02-03,2026Q1,804,1,140.0,25337.0,25322.0,25359.5,stop,-16.5,-1.1,15.0,2.0,17.5
2026-02-04,2026Q1,703,1,247.0,24986.5,24979.0,24997.75,stop,-9.0,-1.2,7.5,5.5,9.25
2026-02-04,2026Q1,710,1,258.2,24946.5,24936.25,24961.88,stop,-11.75,-1.146,10.25,2.0,11.25
2026-02-04,2026Q1,762,1,258.8,24817.5,24794.75,24851.62,target,34.12,1.5,22.75,34.25,8.75
2026-02-04,2026Q1,881,-1,192.0,25021.0,25029.75,25007.88,stop,-10.25,-1.171,8.75,2.25,9.0
2026-02-04,2026Q1,896,-1,246.8,25097.5,25114.5,25072.0,stop,-18.5,-1.088,17.0,1.25,17.25
2026-02-05,2026Q1,615,1,410.8,24583.5,24546.0,24639.75,target,56.25,1.5,37.5,59.5,3.5
2026-02-05,2026Q1,626,1,410.8,24569.5,24546.0,24604.75,target,35.25,1.5,23.5,36.75,11.25
2026-02-05,2026Q1,690,-1,265.0,24793.0,24812.25,24764.12,stop,-20.75,-1.078,19.25,22.25,19.25
2026-02-05,2026Q1,928,1,172.0,24644.0,24632.0,24662.0,stop,-13.5,-1.125,12.0,4.0,12.5
2026-02-05,2026Q1,942,1,191.8,24646.25,24612.25,24697.25,stop,-35.5,-1.044,34.0,1.75,39.0
2026-02-06,2026Q1,774,-1,129.8,25086.0,25112.75,25045.88,stop,-28.25,-1.056,26.75,3.5,27.75
