date,quarter,tod,dir,exc,entry,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-15,2025Q1,593,-1,158.2,21323.5,21349.0,21285.25,stop,-27.0,-1.059,25.5,35.25,25.5
2025-01-15,2025Q1,639,1,60.0,21382.25,21344.0,21439.62,stop,-39.75,-1.039,38.25,9.0,40.5
2025-01-15,2025Q1,640,-1,155.8,21378.75,21412.0,21328.88,target,49.88,1.5,33.25,50.0,12.5
2025-01-15,2025Q1,780,-1,102.8,21331.25,21369.0,21274.62,stop,-39.25,-1.04,37.75,0.0,43.25
2025-01-15,2025Q1,789,-1,70.0,21344.5,21369.0,21307.75,stop,-26.0,-1.061,24.5,2.5,30.0
2025-01-15,2025Q1,793,1,46.0,21351.5,21315.0,21406.25,timeout,49.0,1.342,36.5,49.5,0.0
2025-01-15,2025Q1,794,-1,70.0,21355.0,21369.0,21334.0,stop,-15.5,-1.107,14.0,1.25,19.5
2025-01-15,2025Q1,796,-1,70.0,21360.5,21369.0,21347.75,stop,-10.0,-1.176,8.5,3.5,14.0
2025-01-15,2025Q1,803,-1,74.5,21371.5,21378.5,21361.0,stop,-8.5,-1.214,7.0,5.25,7.0
2025-01-15,2025Q1,816,-1,76.8,21371.75,21399.75,21329.75,stop,-29.5,-1.054,28.0,5.75,28.25
2025-01-15,2025Q1,820,-1,76.8,21376.0,21399.75,21340.38,stop,-25.25,-1.063,23.75,4.25,24.0
2025-01-15,2025Q1,828,-1,76.8,21378.75,21399.75,21347.25,stop,-22.5,-1.071,21.0,7.0,21.25
2025-01-15,2025Q1,840,-1,74.5,21380.25,21399.75,21351.0,stop,-21.0,-1.077,19.5,3.0,19.75
2025-01-15,2025Q1,842,1,30.0,21390.5,21361.75,21433.62,target,43.12,1.5,28.75,43.25,5.0
2025-01-15,2025Q1,849,-1,55.0,21388.75,21401.0,21370.38,stop,-13.75,-1.122,12.25,3.25,12.25
2025-01-15,2025Q1,854,1,30.0,21400.75,21361.75,21459.25,timeout,36.0,0.923,39.0,38.25,15.25
2025-01-15,2025Q1,860,-1,39.0,21401.75,21407.5,21393.12,target,8.62,1.5,5.75,8.75,0.0
2025-01-15,2025Q1,861,1,30.0,21394.75,21361.75,21444.25,target,49.5,1.5,33.0,49.5,9.25
2025-01-15,2025Q1,862,-1,39.0,21391.0,21407.5,21366.25,stop,-18.0,-1.091,16.5,5.5,20.25
2025-01-15,2025Q1,886,-1,63.8,21416.5,21439.5,21382.0,stop,-24.5,-1.065,23.0,13.25,23.0
2025-01-15,2025Q1,887,1,29.5,21417.5,21402.0,21440.75,target,23.25,1.5,15.5,23.25,14.25
2025-01-15,2025Q1,890,-1,60.0,21407.25,21439.5,21358.88,stop,-33.75,-1.047,32.25,4.0,32.25
2025-01-15,2025Q1,893,1,32.2,21419.25,21399.25,21449.25,target,30.0,1.5,20.0,30.0,6.75
