date,quarter,kind,dir,entry,dist_lvl,level,stop,target,outcome,pnl,R,risk,mfe,mae
2025-01-30,2025Q1,N1,-1,21595.75,26.2,21569.58,21616.25,21565.0,stop,-22.0,-1.073,20.5,1.5,21.0
2025-01-30,2025Q1,N4,1,21598.75,33.0,21631.71,21587.25,21616.0,stop,-13.0,-1.13,11.5,0.5,12.25
2025-01-30,2025Q1,N3,-1,21675.5,49.4,21626.13,21704.0,21632.75,target,42.75,1.5,28.5,43.5,12.25
2025-01-30,2025Q1,N4,-1,21675.5,43.8,21631.71,21704.0,21632.75,target,42.75,1.5,28.5,43.5,12.25
2025-01-31,2025Q1,N3,1,21659.75,46.2,21705.92,21643.75,21683.75,stop,-17.5,-1.094,16.0,0.0,20.0
2025-01-31,2025Q1,N2,1,21665.25,24.5,21689.78,21659.0,21674.62,target,9.38,1.5,6.25,12.75,1.0
2025-01-31,2025Q1,N1,-1,21889.25,97.0,21792.21,21927.5,21831.88,stop,-39.75,-1.039,38.25,4.5,38.25
2025-01-31,2025Q1,N4,-1,21889.25,17.7,21871.5,21927.5,21831.88,stop,-39.75,-1.039,38.25,4.5,38.25
2025-02-03,2025Q1,N0,-1,21456.0,60.4,21395.62,21478.5,21422.25,target,33.75,1.5,22.5,34.75,0.25
2025-02-03,2025Q1,N3,-1,21456.0,207.1,21248.94,21478.5,21422.25,target,33.75,1.5,22.5,34.75,0.25
2025-02-03,2025Q1,N4,-1,21456.0,163.8,21292.23,21478.5,21422.25,target,33.75,1.5,22.5,34.75,0.25
2025-02-03,2025Q1,N2,-1,21489.0,8.8,21480.17,21523.75,21436.88,timeout,28.0,0.806,34.75,37.25,25.25
2025-02-04,2025Q1,N1,-1,21627.5,203.5,21423.97,21667.5,21567.5,stop,-41.5,-1.038,40.0,3.5,41.0
2025-02-04,2025Q1,N2,-1,21627.5,157.6,21469.89,21667.5,21567.5,stop,-41.5,-1.038,40.0,3.5,41.0
2025-02-04,2025Q1,N3,-1,21627.5,111.0,21516.5,21667.5,21567.5,stop,-41.5,-1.038,40.0,3.5,41.0
