Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
49,Exit long,2026-06-16 07:30,X,30955.5,1,619010,100,0.02,110,0.02,-40,-0.01,2450,0.00,1
49,Entry long,2026-06-16 07:29,B=0|T=20260616T1129,30950.5,1,619010,100,0.02,110,0.02,-40,-0.01,2450,0.00,1
50,Exit long,2026-06-16 07:31,X,30945.75,1,619110,-195,-0.03,15,0.00,-270,-0.04,2255,0.00,1
50,Entry long,2026-06-16 07:30,B=1|T=20260616T1130,30955.5,1,619110,-195,-0.03,15,0.00,-270,-0.04,2255,0.00,1
51,Exit long,2026-06-16 09:13,X,30817.75,1,618915,-2560,-0.41,300,0.05,-3215,-0.52,-305,0.00,102
51,Entry long,2026-06-16 07:31,B=0|T=20260616T1131,30945.75,1,618915,-2560,-0.41,300,0.05,-3215,-0.52,-305,0.00,102
52,Exit long,2026-06-16 09:31,X,30785.25,1,616355,-650,-0.11,565,0.09,-1050,-0.17,-955,0.00,18
52,Entry long,2026-06-16 09:13,B=1|T=20260616T1313,30817.75,1,616355,-650,-0.11,565,0.09,-1050,-0.17,-955,0.00,18
53,Exit long,2026-06-16 09:34,X,30791.75,1,615705,130,0.02,420,0.07,-690,-0.11,-825,0.00,3
53,Entry long,2026-06-16 09:31,B=0|T=20260616T1331,30785.25,1,615705,130,0.02,420,0.07,-690,-0.11,-825,0.00,3
54,Exit long,2026-06-16 09:39,X,30781.5,1,615835,-205,-0.03,960,0.16,-235,-0.04,-1030,0.00,5
54,Entry long,2026-06-16 09:34,B=1|T=20260616T1334,30791.75,1,615835,-205,-0.03,960,0.16,-235,-0.04,-1030,0.00,5
55,Exit long,2026-06-16 09:40,X,30820.75,1,615630,785,0.13,1045,0.17,-30,0.00,-245,0.00,1
55,Entry long,2026-06-16 09:39,B=0|T=20260616T1339,30781.5,1,615630,785,0.13,1045,0.17,-30,0.00,-245,0.00,1
56,Exit long,2026-06-16 09:59,X,30806.5,1,616415,-285,-0.05,1365,0.22,-415,-0.07,-530,0.00,19
56,Entry long,2026-06-16 09:40,B=1|T=20260616T1340,30820.75,1,616415,-285,-0.05,1365,0.22,-415,-0.07,-530,0.00,19
57,Exit long,2026-06-16 10:04,X,30830.25,1,616130,475,0.08,650,0.11,-305,-0.05,-55,0.00,5
57,Entry long,2026-06-16 09:59,B=0|T=20260616T1359,30806.5,1,616130,475,0.08,650,0.11,-305,-0.05,-55,0.00,5
58,Exit long,2026-06-16 10:05,X,30809,1,616605,-425,-0.07,140,0.02,-480,-0.08,-480,0.00,1
58,Entry long,2026-06-16 10:04,B=1|T=20260616T1404,30830.25,1,616605,-425,-0.07,140,0.02,-480,-0.08,-480,0.00,1
59,Exit long,2026-06-16 10:07,X,30838.75,1,616180,595,0.10,710,0.12,-125,-0.02,115,0.00,2
59,Entry long,2026-06-16 10:05,B=0|T=20260616T1405,30809,1,616180,595,0.10,710,0.12,-125,-0.02,115,0.00,2
60,Exit long,2026-06-16 10:13,X,30820.75,1,616775,-360,-0.06,395,0.06,-445,-0.07,-245,0.00,6
60,Entry long,2026-06-16 10:07,B=1|T=20260616T1407,30838.75,1,616775,-360,-0.06,395,0.06,-445,-0.07,-245,0.00,6
61,Exit long,2026-06-16 11:05,X,30650.25,1,616415,-3410,-0.55,95,0.02,-5165,-0.84,-3655,0.00,52
61,Entry long,2026-06-16 10:13,B=0|T=20260616T1413,30820.75,1,616415,-3410,-0.55,95,0.02,-5165,-0.84,-3655,0.00,52
62,Exit long,2026-06-16 11:07,X,30624,1,613005,-525,-0.09,75,0.01,-530,-0.09,-4180,0.00,2
62,Entry long,2026-06-16 11:05,B=1|T=20260616T1505,30650.25,1,613005,-525,-0.09,75,0.01,-530,-0.09,-4180,0.00,2
63,Exit long,2026-06-16 11:08,X,30637.25,1,612480,265,0.04,370,0.06,-185,-0.03,-3915,0.00,1
63,Entry long,2026-06-16 11:07,B=0|T=20260616T1507,30624,1,612480,265,0.04,370,0.06,-185,-0.03,-3915,0.00,1
64,Exit long,2026-06-16 11:20,X,30578.5,1,612745,-1175,-0.19,560,0.09,-1305,-0.21,-5090,-0.01,12
64,Entry long,2026-06-16 11:08,B=1|T=20260616T1508,30637.25,1,612745,-1175,-0.19,560,0.09,-1305,-0.21,-5090,-0.01,12
65,Exit long,2026-06-16 11:32,X,30550.25,1,611570,-565,-0.09,750,0.12,-1560,-0.26,-5655,-0.01,12
65,Entry long,2026-06-16 11:20,B=0|T=20260616T1520,30578.5,1,611570,-565,-0.09,750,0.12,-1560,-0.26,-5655,-0.01,12
66,Exit long,2026-06-16 11:37,X,30525.25,1,611005,-500,-0.08,550,0.09,-585,-0.10,-6155,-0.01,5
66,Entry long,2026-06-16 11:32,B=1|T=20260616T1532,30550.25,1,611005,-500,-0.08,550,0.09,-585,-0.10,-6155,-0.01,5
67,Exit long,2026-06-16 11:57,X,30519.25,1,610505,-120,-0.02,200,0.03,-2350,-0.38,-6275,-0.01,20
67,Entry long,2026-06-16 11:37,B=0|T=20260616T1537,30525.25,1,610505,-120,-0.02,200,0.03,-2350,-0.38,-6275,-0.01,20
68,Exit long,2026-06-16 11:58,X,30473.5,1,610385,-915,-0.15,40,0.01,-1075,-0.18,-7190,-0.01,1
68,Entry long,2026-06-16 11:57,B=1|T=20260616T1557,30519.25,1,610385,-915,-0.15,40,0.01,-1075,-0.18,-7190,-0.01,1
69,Exit long,2026-06-16 12:01,X,30524.5,1,609470,1020,0.17,1245,0.20,-195,-0.03,-6170,-0.01,3
69,Entry long,2026-06-16 11:58,B=0|T=20260616T1558,30473.5,1,609470,1020,0.17,1245,0.20,-195,-0.03,-6170,-0.01,3
70,Exit long,2026-06-16 12:31,X,30477.25,1,610490,-945,-0.15,1010,0.17,-970,-0.16,-7115,-0.01,30
70,Entry long,2026-06-16 12:01,B=1|T=20260616T1601,30524.5,1,610490,-945,-0.15,1010,0.17,-970,-0.16,-7115,-0.01,30
71,Exit long,2026-06-16 12:43,X,30509.25,1,609545,640,0.10,700,0.11,-665,-0.11,-6475,-0.01,12
71,Entry long,2026-06-16 12:31,B=0|T=20260616T1631,30477.25,1,609545,640,0.10,700,0.11,-665,-0.11,-6475,-0.01,12
72,Exit long,2026-06-16 12:52,X,30491.75,1,610185,-350,-0.06,315,0.05,-615,-0.10,-6825,-0.01,9
72,Entry long,2026-06-16 12:43,B=1|T=20260616T1643,30509.25,1,610185,-350,-0.06,315,0.05,-615,-0.10,-6825,-0.01,9
73,Exit long,2026-06-16 12:59,X,30496.5,1,609835,95,0.02,170,0.03,-825,-0.14,-6730,-0.01,7
73,Entry long,2026-06-16 12:52,B=0|T=20260616T1652,30491.75,1,609835,95,0.02,170,0.03,-825,-0.14,-6730,-0.01,7
74,Exit long,2026-06-16 13:00,X,30477.5,1,609930,-380,-0.06,20,0.00,-560,-0.09,-7110,-0.01,1
74,Entry long,2026-06-16 12:59,B=1|T=20260616T1659,30496.5,1,609930,-380,-0.06,20,0.00,-560,-0.09,-7110,-0.01,1
75,Exit long,2026-06-16 13:13,X,30494,1,609550,330,0.05,385,0.06,-510,-0.08,-6780,-0.01,13
75,Entry long,2026-06-16 13:00,B=0|T=20260616T1700,30477.5,1,609550,330,0.05,385,0.06,-510,-0.08,-6780,-0.01,13
76,Exit long,2026-06-16 13:14,X,30478.5,1,609880,-310,-0.05,0,0.00,-355,-0.06,-7090,-0.01,1
76,Entry long,2026-06-16 13:13,B=1|T=20260616T1713,30494,1,609880,-310,-0.05,0,0.00,-355,-0.06,-7090,-0.01,1
77,Exit long,2026-06-16 13:42,X,30447,1,609570,-630,-0.10,240,0.04,-1535,-0.25,-7720,-0.01,28
77,Entry long,2026-06-16 13:14,B=0|T=20260616T1714,30478.5,1,609570,-630,-0.10,240,0.04,-1535,-0.25,-7720,-0.01,28
78,Exit long,2026-06-16 14:15,X,30457,1,608940,200,0.03,1480,0.24,-295,-0.05,-7520,-0.01,33
78,Entry long,2026-06-16 13:42,B=1|T=20260616T1742,30447,1,608940,200,0.03,1480,0.24,-295,-0.05,-7520,-0.01,33
79,Exit long,2026-06-16 14:17,X,30463.25,1,609140,125,0.02,160,0.03,-230,-0.04,-7395,-0.01,2
79,Entry long,2026-06-16 14:15,B=0|T=20260616T1815,30457,1,609140,125,0.02,160,0.03,-230,-0.04,-7395,-0.01,2
80,Exit long,2026-06-16 14:19,X,30454.25,1,609265,-180,-0.03,150,0.02,-285,-0.05,-7575,-0.01,2
80,Entry long,2026-06-16 14:17,B=1|T=20260616T1817,30463.25,1,609265,-180,-0.03,150,0.02,-285,-0.05,-7575,-0.01,2
81,Exit long,2026-06-16 14:25,X,30474,1,609085,395,0.06,405,0.07,-135,-0.02,-7180,-0.01,6
81,Entry long,2026-06-16 14:19,B=0|T=20260616T1819,30454.25,1,609085,395,0.06,405,0.07,-135,-0.02,-7180,-0.01,6
82,Exit long,2026-06-16 14:28,X,30462,1,609480,-240,-0.04,225,0.04,-265,-0.04,-7420,-0.01,3
82,Entry long,2026-06-16 14:25,B=1|T=20260616T1825,30474,1,609480,-240,-0.04,225,0.04,-265,-0.04,-7420,-0.01,3
