Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
3214,Exit short,2023-02-15 10:00,1=15583.76|2=15741.87|3=15973.05|4=15178.89|5=15139.39|S=0|T=20230215T1500,15860.75,1,314845,-2370,-0.75,790,0.25,-2390,-0.76,-44585,0.00,1
3214,Entry short,2023-02-15 06:00,1=15601.89|2=15772.79|3=15971.39|4=15173.24|5=15136.6|S=0|T=20230215T1100,15742.25,1,314845,-2370,-0.75,790,0.25,-2390,-0.76,-44585,0.00,1
3215,Exit long,2023-02-15 14:00,1=15576.44|2=15683.86|3=15960.85|4=15187.66|5=15144.61|S=0|T=20230215T1900,15926,1,317215,1305,0.41,1485,0.47,-320,-0.10,-43280,0.00,1
3215,Entry long,2023-02-15 10:00,1=15583.76|2=15741.87|3=15973.05|4=15178.89|5=15139.39|S=0|T=20230215T1500,15860.75,1,317215,1305,0.41,1485,0.47,-320,-0.10,-43280,0.00,1
3216,Exit short,2023-02-15 18:00,1=15657.67|2=15706.23|3=15979.97|4=15204.07|5=15158|S=0|T=20230215T2300,15966.25,1,318520,-805,-0.25,315,0.10,-860,-0.27,-44085,0.00,1
3216,Entry short,2023-02-15 14:00,1=15576.44|2=15683.86|3=15960.85|4=15187.66|5=15144.61|S=0|T=20230215T1900,15926,1,318520,-805,-0.25,315,0.10,-860,-0.27,-44085,0.00,1
3217,Exit long,2023-02-15 22:00,1=15699.17|2=15734.43|3=16001.85|4=15223.52|5=15174.49|S=0|T=20230216T0300,15935.5,1,319325,-615,-0.19,100,0.03,-805,-0.25,-44700,0.00,1
3217,Entry long,2023-02-15 18:00,1=15657.67|2=15706.23|3=15979.97|4=15204.07|5=15158|S=0|T=20230215T2300,15966.25,1,319325,-615,-0.19,100,0.03,-805,-0.25,-44700,0.00,1
3218,Exit short,2023-02-16 02:00,1=15728.68|2=15739.39|3=15994.9|4=15233.32|5=15180.82|S=0|T=20230216T0700,15905.5,1,318710,600,0.19,735,0.23,-540,-0.17,-44100,0.00,1
3218,Entry short,2023-02-15 22:00,1=15699.17|2=15734.43|3=16001.85|4=15223.52|5=15174.49|S=0|T=20230216T0300,15935.5,1,318710,600,0.19,735,0.23,-540,-0.17,-44100,0.00,1
3219,Exit long,2023-02-16 06:00,1=15754.36|2=15753.8|3=16008.16|4=15246|5=15191.58|S=0|T=20230216T1100,15742.75,1,318110,-3255,-1.02,160,0.05,-4610,-1.45,-47355,0.00,1
3219,Entry long,2023-02-16 02:00,1=15728.68|2=15739.39|3=15994.9|4=15233.32|5=15180.82|S=0|T=20230216T0700,15905.5,1,318110,-3255,-1.02,160,0.05,-4610,-1.45,-47355,0.00,1
3220,Exit short,2023-02-16 10:00,1=15728.71|2=15716.64|3=15997.81|4=15241.24|5=15185.14|S=0|T=20230216T1500,15841.5,1,314855,-1975,-0.63,575,0.18,-2600,-0.83,-49330,0.00,1
3220,Entry short,2023-02-16 06:00,1=15754.36|2=15753.8|3=16008.16|4=15246|5=15191.58|S=0|T=20230216T1100,15742.75,1,314855,-1975,-0.63,575,0.18,-2600,-0.83,-49330,0.00,1
3221,Exit long,2023-02-16 14:00,1=16059.54|2=15967.28|3=16161.61|4=15375.86|5=15308.97|S=0|T=20230216T1900,15644.75,1,316830,-3935,-1.24,300,0.09,-4155,-1.31,-53265,-0.01,1
3221,Entry long,2023-02-16 10:00,1=15728.71|2=15716.64|3=15997.81|4=15241.24|5=15185.14|S=0|T=20230216T1500,15841.5,1,316830,-3935,-1.24,300,0.09,-4155,-1.31,-53265,-0.01,1
