Date and time,Type,Signal
2026-05-13 05:15:00,Entry short,1=29711.48|2=29668.1|3=29406.74|4=29678.09|5=29865.29|S=29680.75|T=20260513T0915
2026-05-13 05:45:00,Exit long,1=29682.59|2=29675.96|3=29415.22|4=29680.46|5=29866.59|S=29713.75|T=20260513T0945
2026-05-13 05:30:00,Entry long,1=29701.51|2=29669.93|3=29408.35|4=29677.51|5=29863.8|S=29706.75|T=20260513T0930
2026-05-13 06:00:00,Exit short,1=29699.83|2=29690.08|3=29438.77|4=29684.85|5=29871.05|S=29692.25|T=20260513T1000
2026-05-13 05:45:00,Entry short,1=29682.59|2=29675.96|3=29415.22|4=29680.46|5=29866.59|S=29713.75|T=20260513T0945
2026-05-13 06:15:00,Exit long,1=29703.23|2=29674.85|3=29443.19|4=29685.33|5=29870.19|S=29678.25|T=20260513T1015
2026-05-13 06:00:00,Entry long,1=29699.83|2=29690.08|3=29438.77|4=29684.85|5=29871.05|S=29692.25|T=20260513T1000
2026-05-13 06:30:00,Exit short,1=29706.75|2=29673.08|3=29447.53|4=29684.72|5=29869.21|S=29684.75|T=20260513T1030
2026-05-13 06:15:00,Entry short,1=29703.23|2=29674.85|3=29443.19|4=29685.33|5=29870.19|S=29678.25|T=20260513T1015
2026-05-13 06:45:00,Exit long,1=29709.79|2=29693.51|3=29455.15|4=29686.89|5=29870.89|S=29677.25|T=20260513T1045
2026-05-13 06:30:00,Entry long,1=29706.75|2=29673.08|3=29447.53|4=29684.72|5=29869.21|S=29684.75|T=20260513T1030
2026-05-13 07:00:00,Exit short,1=29722.89|2=29705.8|3=29463.71|4=29689.94|5=29873.57|S=29659.5|T=20260513T1100
2026-05-13 06:45:00,Entry short,1=29709.79|2=29693.51|3=29455.15|4=29686.89|5=29870.89|S=29677.25|T=20260513T1045
2026-05-13 07:15:00,Exit long,1=29722.62|2=29707.49|3=29466.86|4=29687.51|5=29870.77|S=29652.25|T=20260513T1115
2026-05-13 07:00:00,Entry long,1=29722.89|2=29705.8|3=29463.71|4=29689.94|5=29873.57|S=29659.5|T=20260513T1100
2026-05-13 07:30:00,Exit short,1=29722.8|2=29711.19|3=29471.78|4=29687.02|5=29870.63|S=29664|T=20260513T1130
2026-05-13 07:15:00,Entry short,1=29722.62|2=29707.49|3=29466.86|4=29687.51|5=29870.77|S=29652.25|T=20260513T1115
2026-05-13 07:45:00,Exit long,1=29723.28|2=29717.16|3=29479.3|4=29688.55|5=29871.87|S=29662.75|T=20260513T1145
2026-05-13 07:30:00,Entry long,1=29722.8|2=29711.19|3=29471.78|4=29687.02|5=29870.63|S=29664|T=20260513T1130
2026-05-13 08:00:00,Exit short,1=29723.41|2=29720.75|3=29485.83|4=29688.85|5=29871.97|S=29667|T=20260513T1200
2026-05-13 07:45:00,Entry short,1=29723.28|2=29717.16|3=29479.3|4=29688.55|5=29871.87|S=29662.75|T=20260513T1145
2026-05-13 08:15:00,Exit long,1=29738.9|2=29734.11|3=29495.56|4=29695.1|5=29874.85|S=29652.75|T=20260513T1215
2026-05-13 08:00:00,Entry long,1=29723.41|2=29720.75|3=29485.83|4=29688.85|5=29871.97|S=29667|T=20260513T1200
2026-05-13 08:30:00,Exit short,1=29806.32|2=29800.9|3=29540.73|4=29724.33|5=29902.58|S=29540.75|T=20260513T1230
2026-05-13 08:15:00,Entry short,1=29738.9|2=29734.11|3=29495.56|4=29695.1|5=29874.85|S=29652.75|T=20260513T1215
2026-05-13 08:45:00,Exit long,1=29764.63|2=29769.31|3=29514.73|4=29693.57|5=29872.09|S=29529|T=20260513T1245
2026-05-13 08:30:00,Entry long,1=29806.32|2=29800.9|3=29540.73|4=29724.33|5=29902.58|S=29540.75|T=20260513T1230
2026-05-13 09:00:00,Exit short,1=29741.39|2=29757.4|3=29513.19|4=29688.72|5=29867.7|S=29581.5|T=20260513T1300
2026-05-13 08:45:00,Entry short,1=29764.63|2=29769.31|3=29514.73|4=29693.57|5=29872.09|S=29529|T=20260513T1245
2026-05-13 09:15:00,Exit long,1=29733.18|2=29759.75|3=29522.33|4=29692.62|5=29871.94|S=29580.75|T=20260513T1315
2026-05-13 09:00:00,Entry long,1=29741.39|2=29757.4|3=29513.19|4=29688.72|5=29867.7|S=29581.5|T=20260513T1300
2026-05-13 09:30:00,Exit short,1=29765.62|2=29799.59|3=29554.38|4=29714.32|5=29892.25|S=29503.25|T=20260513T1330
2026-05-13 09:15:00,Entry short,1=29733.18|2=29759.75|3=29522.33|4=29692.62|5=29871.94|S=29580.75|T=20260513T1315
2026-05-13 09:45:00,Exit long,1=29740.23|2=29779.24|3=29542.2|4=29697.43|5=29875.61|S=29462|T=20260513T1345
2026-05-13 09:30:00,Entry long,1=29765.62|2=29799.59|3=29554.38|4=29714.32|5=29892.25|S=29503.25|T=20260513T1330
2026-05-13 10:00:00,Exit short,1=29704.81|2=29753.18|3=29532.81|4=29686.35|5=29865.24|S=29465.5|T=20260513T1400
2026-05-13 09:45:00,Entry short,1=29740.23|2=29779.24|3=29542.2|4=29697.43|5=29875.61|S=29462|T=20260513T1345
2026-05-13 10:15:00,Exit long,1=29674.63|2=29737.65|3=29536.44|4=29683.81|5=29863.95|S=29530|T=20260513T1415
2026-05-13 10:00:00,Entry long,1=29704.81|2=29753.18|3=29532.81|4=29686.35|5=29865.24|S=29465.5|T=20260513T1400
2026-05-13 10:30:00,Exit short,1=29654.8|2=29730.12|3=29545.42|4=29686.87|5=29866.99|S=29558|T=20260513T1430
2026-05-13 10:15:00,Entry short,1=29674.63|2=29737.65|3=29536.44|4=29683.81|5=29863.95|S=29530|T=20260513T1415
2026-05-13 10:45:00,Exit long,1=29640.64|2=29713.61|3=29546.38|4=29685.39|5=29866.59|S=29610.25|T=20260513T1445
2026-05-13 10:30:00,Entry long,1=29654.8|2=29730.12|3=29545.42|4=29686.87|5=29866.99|S=29558|T=20260513T1430
2026-05-13 11:00:00,Exit short,1=29634.36|2=29693.61|3=29551.36|4=29687.85|5=29869.06|S=29615.5|T=20260513T1500
2026-05-13 10:45:00,Entry short,1=29640.64|2=29713.61|3=29546.38|4=29685.39|5=29866.59|S=29610.25|T=20260513T1445
2026-05-13 11:15:00,Exit long,1=29679.55|2=29730.44|3=29580.96|4=29707.81|5=29887.17|S=29604.25|T=20260513T1515
2026-05-13 11:00:00,Entry long,1=29634.36|2=29693.61|3=29551.36|4=29687.85|5=29869.06|S=29615.5|T=20260513T1500
2026-05-13 11:30:00,Exit short,1=29645.21|2=29701.77|3=29564.99|4=29687.29|5=29867.76|S=29671.25|T=20260513T1530
2026-05-13 11:15:00,Entry short,1=29679.55|2=29730.44|3=29580.96|4=29707.81|5=29887.17|S=29604.25|T=20260513T1515
2026-05-13 11:45:00,Exit long,1=29653.99|2=29711.86|3=29578.29|4=29695.32|5=29875.44|S=29602.75|T=20260513T1545
2026-05-13 11:30:00,Entry long,1=29645.21|2=29701.77|3=29564.99|4=29687.29|5=29867.76|S=29671.25|T=20260513T1530
2026-05-13 12:00:00,Exit short,1=29626.89|2=29694.43|3=29574.33|4=29687.31|5=29867.86|S=29678.5|T=20260513T1600
2026-05-13 11:45:00,Entry short,1=29653.99|2=29711.86|3=29578.29|4=29695.32|5=29875.44|S=29602.75|T=20260513T1545
2026-05-13 12:15:00,Exit long,1=29615.78|2=29688.84|3=29577.56|4=29685.61|5=29867.75|S=29729.5|T=20260513T1615
2026-05-13 12:00:00,Entry long,1=29626.89|2=29694.43|3=29574.33|4=29687.31|5=29867.86|S=29678.5|T=20260513T1600
2026-05-13 12:30:00,Exit short,1=29634.11|2=29704.52|3=29594.69|4=29692.58|5=29877.7|S=29726.5|T=20260513T1630
2026-05-13 12:15:00,Entry short,1=29615.78|2=29688.84|3=29577.56|4=29685.61|5=29867.75|S=29729.5|T=20260513T1615
2026-05-13 12:45:00,Exit long,1=29624.79|2=29697.44|3=29594.66|4=29687.62|5=29871.97|S=29740.5|T=20260513T1645
2026-05-13 12:30:00,Entry long,1=29634.11|2=29704.52|3=29594.69|4=29692.58|5=29877.7|S=29726.5|T=20260513T1630
2026-05-13 13:00:00,Exit short,1=29637.5|2=29702.51|3=29604.74|4=29691.51|5=29875.94|S=29780.75|T=20260513T1700
2026-05-13 12:45:00,Entry short,1=29624.79|2=29697.44|3=29594.66|4=29687.62|5=29871.97|S=29740.5|T=20260513T1645
2026-05-13 13:15:00,Exit long,1=29656.9|2=29712.33|3=29615.91|4=29696.91|5=29879.84|S=29780|T=20260513T1715
2026-05-13 13:00:00,Entry long,1=29637.5|2=29702.51|3=29604.74|4=29691.51|5=29875.94|S=29780.75|T=20260513T1700
2026-05-13 13:30:00,Exit short,1=29671.68|2=29723.59|3=29624.02|4=29698.57|5=29880.43|S=29773|T=20260513T1730
2026-05-13 13:15:00,Entry short,1=29656.9|2=29712.33|3=29615.91|4=29696.91|5=29879.84|S=29780|T=20260513T1715
2026-05-13 13:45:00,Exit long,1=29684.29|2=29720.59|3=29635.45|4=29699.88|5=29881.49|S=29737|T=20260513T1745
2026-05-13 13:30:00,Entry long,1=29671.68|2=29723.59|3=29624.02|4=29698.57|5=29880.43|S=29773|T=20260513T1730
