Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
530,Entry long,2026-02-11 22:00,B=1|T=20260212T0300,25828,1,516560,-8285,-1.60,2000,0.39,-10390,-2.01,185245,0.19,3
531,Exit long,2026-02-16 02:00,X,25386.5,1,508275,-545,-0.11,1800,0.35,-6535,-1.29,184700,0.18,10
531,Entry long,2026-02-12 10:00,B=0|T=20260212T1500,25413.75,1,508275,-545,-0.11,1800,0.35,-6535,-1.29,184700,0.18,10
532,Exit long,2026-02-16 06:00,X,25276.25,1,507730,-2205,-0.43,45,0.01,-3710,-0.73,182495,0.18,1
532,Entry long,2026-02-16 02:00,B=1|T=20260216T0700,25386.5,1,507730,-2205,-0.43,45,0.01,-3710,-0.73,182495,0.18,1
533,Exit long,2026-02-17 10:00,X,25353.25,1,505525,1540,0.30,2135,0.42,-6375,-1.26,184035,0.18,6
533,Entry long,2026-02-16 06:00,B=0|T=20260216T1100,25276.25,1,505525,1540,0.30,2135,0.42,-6375,-1.26,184035,0.18,6
534,Exit long,2026-02-23 10:00,X,25235.75,1,507065,-2350,-0.46,5890,1.16,-3540,-0.70,181685,0.18,24
534,Entry long,2026-02-17 10:00,B=1|T=20260217T1500,25353.25,1,507065,-2350,-0.46,5890,1.16,-3540,-0.70,181685,0.18,24
535,Exit long,2026-02-23 14:00,X,25294.5,1,504715,1175,0.23,1380,0.27,-975,-0.19,182860,0.18,1
535,Entry long,2026-02-23 10:00,B=0|T=20260223T1500,25235.75,1,504715,1175,0.23,1380,0.27,-975,-0.19,182860,0.18,1
536,Exit long,2026-02-26 10:00,X,25509.75,1,505890,4305,0.85,14170,2.80,-1835,-0.36,187165,0.19,17
536,Entry long,2026-02-23 14:00,B=1|T=20260223T1900,25294.5,1,505890,4305,0.85,14170,2.80,-1835,-0.36,187165,0.19,17
537,Exit long,2026-03-02 10:00,X,25480.75,1,510195,-580,-0.11,1950,0.38,-10490,-2.06,186585,0.19,12
537,Entry long,2026-02-26 10:00,B=0|T=20260226T1500,25509.75,1,510195,-580,-0.11,1950,0.38,-10490,-2.06,186585,0.19,12
538,Exit long,2026-03-02 18:00,X,25369.5,1,509615,-2225,-0.44,2570,0.50,-3320,-0.65,184360,0.18,2
538,Entry long,2026-03-02 10:00,B=1|T=20260302T1500,25480.75,1,509615,-2225,-0.44,2570,0.50,-3320,-0.65,184360,0.18,2
539,Exit long,2026-03-04 10:00,X,25701,1,507390,6630,1.31,7060,1.39,-10185,-2.01,190990,0.19,10
539,Entry long,2026-03-02 18:00,B=0|T=20260302T2300,25369.5,1,507390,6630,1.31,7060,1.39,-10185,-2.01,190990,0.19,10
540,Exit long,2026-03-04 14:00,X,25646.25,1,514020,-1095,-0.21,500,0.10,-2005,-0.39,189895,0.19,1
540,Entry long,2026-03-04 10:00,B=1|T=20260304T1500,25701,1,514020,-1095,-0.21,500,0.10,-2005,-0.39,189895,0.19,1
541,Exit long,2026-03-10 02:00,X,25597.75,1,512925,-970,-0.19,2240,0.44,-22760,-4.44,188925,0.19,21
541,Entry long,2026-03-04 14:00,B=0|T=20260304T1900,25646.25,1,512925,-970,-0.19,2240,0.44,-22760,-4.44,188925,0.19,21
542,Exit long,2026-03-10 06:00,X,25470.5,1,511955,-2545,-0.50,390,0.08,-3950,-0.77,186380,0.19,1
542,Entry long,2026-03-10 02:00,B=1|T=20260310T0600,25597.75,1,511955,-2545,-0.50,390,0.08,-3950,-0.77,186380,0.19,1
