Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
29,Entry long,2021-02-10 06:00,B=0|T=20210210T1100,17108.25,1,342165,405,0.12,565,0.17,-195,-0.06,19935,0.02,2
30,Exit long,2021-02-10 10:00,X,16992,1,342570,-2730,-0.80,365,0.11,-4520,-1.32,17205,0.02,2
30,Entry long,2021-02-10 08:00,B=1|T=20210210T1300,17128.5,1,342570,-2730,-0.80,365,0.11,-4520,-1.32,17205,0.02,2
31,Exit long,2021-02-11 03:00,X,17077.75,1,339840,1715,0.50,1830,0.54,-835,-0.25,18920,0.02,16
31,Entry long,2021-02-10 10:00,B=0|T=20210210T1500,16992,1,339840,1715,0.50,1830,0.54,-835,-0.25,18920,0.02,16
32,Exit long,2021-02-11 09:00,X,17072,1,341555,-115,-0.03,915,0.27,-220,-0.06,18805,0.02,6
32,Entry long,2021-02-11 03:00,B=1|T=20210211T0800,17077.75,1,341555,-115,-0.03,915,0.27,-220,-0.06,18805,0.02,6
33,Exit long,2021-02-11 10:00,X,17093.75,1,341440,435,0.13,1130,0.33,-95,-0.03,19240,0.02,1
33,Entry long,2021-02-11 09:00,B=0|T=20210211T1400,17072,1,341440,435,0.13,1130,0.33,-95,-0.03,19240,0.02,1
34,Exit long,2021-02-11 12:00,X,17069.5,1,341875,-485,-0.14,650,0.19,-1690,-0.49,18755,0.02,2
34,Entry long,2021-02-11 10:00,B=1|T=20210211T1500,17093.75,1,341875,-485,-0.14,650,0.19,-1690,-0.49,18755,0.02,2
35,Exit long,2021-02-11 13:00,X,17080.75,1,341390,225,0.07,645,0.19,-455,-0.13,18980,0.02,1
35,Entry long,2021-02-11 12:00,B=0|T=20210211T1700,17069.5,1,341390,225,0.07,645,0.19,-455,-0.13,18980,0.02,1
36,Exit long,2021-02-11 21:00,X,17091.75,1,341615,220,0.06,920,0.27,-1120,-0.33,19200,0.02,7
36,Entry long,2021-02-11 13:00,B=1|T=20210211T1800,17080.75,1,341615,220,0.06,920,0.27,-1120,-0.33,19200,0.02,7
37,Exit long,2021-02-11 22:00,X,17099.25,1,341835,150,0.04,255,0.07,-55,-0.02,19350,0.02,1
37,Entry long,2021-02-11 21:00,B=0|T=20210212T0200,17091.75,1,341835,150,0.04,255,0.07,-55,-0.02,19350,0.02,1
38,Exit long,2021-02-11 23:00,X,17093.25,1,341985,-120,-0.04,90,0.03,-160,-0.05,19230,0.02,1
38,Entry long,2021-02-11 22:00,B=1|T=20210212T0300,17099.25,1,341985,-120,-0.04,90,0.03,-160,-0.05,19230,0.02,1
39,Exit long,2021-02-12 00:00,X,17101.5,1,341865,165,0.05,195,0.06,-25,-0.01,19395,0.02,1
39,Entry long,2021-02-11 23:00,B=0|T=20210212T0400,17093.25,1,341865,165,0.05,195,0.06,-25,-0.01,19395,0.02,1
40,Exit long,2021-02-12 01:00,X,17096,1,342030,-110,-0.03,25,0.01,-215,-0.06,19285,0.02,1
40,Entry long,2021-02-12 00:00,B=1|T=20210212T0500,17101.5,1,342030,-110,-0.03,25,0.01,-215,-0.06,19285,0.02,1
41,Exit long,2021-02-12 10:00,X,17107.75,1,341920,235,0.07,495,0.14,-1300,-0.38,19520,0.02,9
41,Entry long,2021-02-12 01:00,B=0|T=20210212T0600,17096,1,341920,235,0.07,495,0.14,-1300,-0.38,19520,0.02,9
42,Exit long,2021-02-16 08:00,X,17236.5,1,342155,2575,0.75,3550,1.04,-270,-0.08,22095,0.02,40
42,Entry long,2021-02-12 10:00,B=1|T=20210212T1500,17107.75,1,342155,2575,0.75,3550,1.04,-270,-0.08,22095,0.02,40
43,Exit long,2021-02-19 00:00,X,17001.5,1,344730,-4700,-1.36,475,0.14,-7675,-2.23,17395,0.02,61
43,Entry long,2021-02-16 08:00,B=0|T=20210216T1300,17236.5,1,344730,-4700,-1.36,475,0.14,-7675,-2.23,17395,0.02,61
44,Exit long,2021-02-19 12:00,X,16967.5,1,340030,-680,-0.20,2245,0.66,-1235,-0.36,16715,0.02,12
44,Entry long,2021-02-19 00:00,B=1|T=20210219T0500,17001.5,1,340030,-680,-0.20,2245,0.66,-1235,-0.36,16715,0.02,12
45,Exit long,2021-02-19 13:00,X,16975,1,339350,150,0.04,275,0.08,-960,-0.28,16865,0.02,1
45,Entry long,2021-02-19 12:00,B=0|T=20210219T1700,16967.5,1,339350,150,0.04,275,0.08,-960,-0.28,16865,0.02,1
46,Exit long,2021-02-21 21:00,X,16928.5,1,339500,-930,-0.27,775,0.23,-1245,-0.37,15935,0.02,7
46,Entry long,2021-02-19 13:00,B=1|T=20210219T1800,16975,1,339500,-930,-0.27,775,0.23,-1245,-0.37,15935,0.02,7
47,Exit long,2021-02-23 15:00,X,16572.75,1,338570,-7115,-2.10,440,0.13,-15730,-4.65,8820,0.01,41
47,Entry long,2021-02-21 21:00,B=0|T=20210222T0200,16928.5,1,338570,-7115,-2.10,440,0.13,-15730,-4.65,8820,0.01,41
48,Exit long,2021-02-23 16:00,X,16542.25,1,331455,-610,-0.18,215,0.06,-750,-0.23,8210,0.01,1
48,Entry long,2021-02-23 15:00,B=1|T=20210223T2000,16572.75,1,331455,-610,-0.18,215,0.06,-750,-0.23,8210,0.01,1
49,Exit long,2021-02-23 18:00,X,16554,1,330845,235,0.07,620,0.19,-430,-0.13,8445,0.01,1
49,Entry long,2021-02-23 16:00,B=0|T=20210223T2100,16542.25,1,330845,235,0.07,620,0.19,-430,-0.13,8445,0.01,1
50,Exit long,2021-02-24 00:00,X,16472.75,1,331080,-1625,-0.49,1875,0.57,-2005,-0.61,6820,0.01,6
50,Entry long,2021-02-23 18:00,B=1|T=20210223T2300,16554,1,331080,-1625,-0.49,1875,0.57,-2005,-0.61,6820,0.01,6
51,Exit long,2021-02-24 02:00,X,16518.5,1,329455,915,0.28,1365,0.41,-1220,-0.37,7735,0.01,2
51,Entry long,2021-02-24 00:00,B=0|T=20210224T0500,16472.75,1,329455,915,0.28,1365,0.41,-1220,-0.37,7735,0.01,2
52,Exit long,2021-02-24 09:00,X,16416.5,1,330370,-2040,-0.62,3235,0.98,-2635,-0.80,5695,0.01,7
52,Entry long,2021-02-24 02:00,B=1|T=20210224T0700,16518.5,1,330370,-2040,-0.62,3235,0.98,-2635,-0.80,5695,0.01,7
53,Exit long,2021-02-24 10:00,X,16490.5,1,328330,1480,0.45,1720,0.52,-1475,-0.45,7175,0.01,1
53,Entry long,2021-02-24 09:00,B=0|T=20210224T1400,16416.5,1,328330,1480,0.45,1720,0.52,-1475,-0.45,7175,0.01,1
54,Exit long,2021-02-25 10:00,X,16516.25,1,329810,515,0.16,4960,1.50,-990,-0.30,7690,0.01,23
