Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
4513,Entry long,2023-12-18 14:00,P1=NaN|P5=NaN|PH=19290.23|PD=18691.9|PW=NaN|PM=NaN|T=20231218T1500,19412,1,388240,-750,-0.19,390,0.10,-835,-0.22,-15160,-0.02,1
4514,Exit short,2023-12-18 22:00,P1=NaN|P5=NaN|PH=19331.21|PD=18748.23|PW=NaN|PM=NaN|T=20231218T2300,19383,1,387490,-170,-0.04,125,0.03,-360,-0.09,-15330,-0.02,1
4514,Entry short,2023-12-18 18:00,P1=NaN|P5=NaN|PH=19317.72|PD=18691.9|PW=NaN|PM=NaN|T=20231218T1900,19374.5,1,387490,-170,-0.04,125,0.03,-360,-0.09,-15330,-0.02,1
4515,Exit long,2023-12-19 02:00,P1=NaN|P5=NaN|PH=19344.38|PD=18748.23|PW=NaN|PM=NaN|T=20231219T0300,19382.5,1,387660,-10,0.00,255,0.07,-155,-0.04,-15340,-0.02,1
4515,Entry long,2023-12-18 22:00,P1=NaN|P5=NaN|PH=19331.21|PD=18748.23|PW=NaN|PM=NaN|T=20231218T2300,19383,1,387660,-10,0.00,255,0.07,-155,-0.04,-15340,-0.02,1
4516,Exit short,2023-12-19 06:00,P1=NaN|P5=NaN|PH=19354.66|PD=18748.23|PW=NaN|PM=NaN|T=20231219T0700,19404.5,1,387650,-440,-0.11,100,0.03,-510,-0.13,-15780,-0.02,1
4516,Entry short,2023-12-19 02:00,P1=NaN|P5=NaN|PH=19344.38|PD=18748.23|PW=NaN|PM=NaN|T=20231219T0300,19382.5,1,387650,-440,-0.11,100,0.03,-510,-0.13,-15780,-0.02,1
4517,Exit long,2023-12-19 10:00,P1=NaN|P5=NaN|PH=19367.42|PD=18748.23|PW=NaN|PM=NaN|T=20231219T1100,19438.5,1,388090,680,0.18,970,0.25,-165,-0.04,-15100,-0.02,1
4517,Entry long,2023-12-19 06:00,P1=NaN|P5=NaN|PH=19354.66|PD=18748.23|PW=NaN|PM=NaN|T=20231219T0700,19404.5,1,388090,680,0.18,970,0.25,-165,-0.04,-15100,-0.02,1
4518,Exit short,2023-12-19 14:00,P1=NaN|P5=NaN|PH=19385.14|PD=18748.23|PW=NaN|PM=NaN|T=20231219T1500,19451.25,1,388770,-255,-0.07,535,0.14,-630,-0.16,-15355,-0.02,1
4518,Entry short,2023-12-19 10:00,P1=NaN|P5=NaN|PH=19367.42|PD=18748.23|PW=NaN|PM=NaN|T=20231219T1100,19438.5,1,388770,-255,-0.07,535,0.14,-630,-0.16,-15355,-0.02,1
4519,Exit long,2023-12-19 18:00,P1=NaN|P5=NaN|PH=19401.85|PD=18748.23|PW=NaN|PM=NaN|T=20231219T1900,19481.5,1,389025,605,0.16,715,0.18,-185,-0.05,-14750,-0.01,1
4519,Entry long,2023-12-19 14:00,P1=NaN|P5=NaN|PH=19385.14|PD=18748.23|PW=NaN|PM=NaN|T=20231219T1500,19451.25,1,389025,605,0.16,715,0.18,-185,-0.05,-14750,-0.01,1
4520,Exit short,2023-12-19 22:00,P1=NaN|P5=NaN|PH=19417.93|PD=18782.19|PW=NaN|PM=NaN|T=20231219T2300,19499,1,389630,-350,-0.09,75,0.02,-400,-0.10,-15100,-0.02,1
4520,Entry short,2023-12-19 18:00,P1=NaN|P5=NaN|PH=19401.85|PD=18748.23|PW=NaN|PM=NaN|T=20231219T1900,19481.5,1,389630,-350,-0.09,75,0.02,-400,-0.10,-15100,-0.02,1
4521,Exit long,2023-12-20 02:00,P1=NaN|P5=NaN|PH=19437.95|PD=18782.19|PW=NaN|PM=NaN|T=20231220T0300,19490.25,1,389980,-175,-0.04,90,0.02,-310,-0.08,-15275,-0.02,1
4521,Entry long,2023-12-19 22:00,P1=NaN|P5=NaN|PH=19417.93|PD=18782.19|PW=NaN|PM=NaN|T=20231219T2300,19499,1,389980,-175,-0.04,90,0.02,-310,-0.08,-15275,-0.02,1
4522,Exit short,2023-12-20 06:00,P1=NaN|P5=NaN|PH=19452.35|PD=18782.19|PW=NaN|PM=NaN|T=20231220T0700,19430.75,1,389805,1190,0.31,1415,0.36,-150,-0.04,-14085,-0.01,1
4522,Entry short,2023-12-20 02:00,P1=NaN|P5=NaN|PH=19437.95|PD=18782.19|PW=NaN|PM=NaN|T=20231220T0300,19490.25,1,389805,1190,0.31,1415,0.36,-150,-0.04,-14085,-0.01,1
4523,Exit long,2023-12-20 10:00,P1=NaN|P5=NaN|PH=19447.75|PD=18782.19|PW=NaN|PM=NaN|T=20231220T1100,19474,1,388615,865,0.22,1015,0.26,-200,-0.05,-13220,-0.01,1
4523,Entry long,2023-12-20 06:00,P1=NaN|P5=NaN|PH=19452.35|PD=18782.19|PW=NaN|PM=NaN|T=20231220T0700,19430.75,1,388615,865,0.22,1015,0.26,-200,-0.05,-13220,-0.01,1
4524,Exit short,2023-12-20 14:00,P1=NaN|P5=NaN|PH=19452.39|PD=18782.19|PW=NaN|PM=NaN|T=20231220T1500,19496.75,1,389480,-455,-0.12,150,0.04,-1140,-0.29,-13675,-0.01,1
4524,Entry short,2023-12-20 10:00,P1=NaN|P5=NaN|PH=19447.75|PD=18782.19|PW=NaN|PM=NaN|T=20231220T1100,19474,1,389480,-455,-0.12,150,0.04,-1140,-0.29,-13675,-0.01,1
4525,Exit long,2023-12-20 18:00,P1=NaN|P5=NaN|PH=19451.13|PD=18782.19|PW=NaN|PM=NaN|T=20231220T1900,19247.75,1,389935,-4980,-1.28,75,0.02,-5615,-1.44,-18655,-0.02,1
4525,Entry long,2023-12-20 14:00,P1=NaN|P5=NaN|PH=19452.39|PD=18782.19|PW=NaN|PM=NaN|T=20231220T1500,19496.75,1,389935,-4980,-1.28,75,0.02,-5615,-1.44,-18655,-0.02,1
4526,Exit short,2023-12-20 22:00,P1=NaN|P5=NaN|PH=19410.82|PD=18827.32|PW=NaN|PM=NaN|T=20231220T2300,19277.75,1,384955,-600,-0.16,0,0.00,-685,-0.18,-19255,-0.02,1
4526,Entry short,2023-12-20 18:00,P1=NaN|P5=NaN|PH=19451.13|PD=18782.19|PW=NaN|PM=NaN|T=20231220T1900,19247.75,1,384955,-600,-0.16,0,0.00,-685,-0.18,-19255,-0.02,1
4527,Exit long,2023-12-21 02:00,P1=NaN|P5=NaN|PH=19375.41|PD=18827.32|PW=NaN|PM=NaN|T=20231221T0300,19301.75,1,385555,480,0.12,555,0.14,-15,0.00,-18775,-0.02,1
4527,Entry long,2023-12-20 22:00,P1=NaN|P5=NaN|PH=19410.82|PD=18827.32|PW=NaN|PM=NaN|T=20231220T2300,19277.75,1,385555,480,0.12,555,0.14,-15,0.00,-18775,-0.02,1
4528,Exit short,2023-12-21 06:00,P1=NaN|P5=NaN|PH=19357.69|PD=18827.32|PW=NaN|PM=NaN|T=20231221T0700,19320.75,1,386035,-380,-0.10,40,0.01,-930,-0.24,-19155,-0.02,1
4528,Entry short,2023-12-21 02:00,P1=NaN|P5=NaN|PH=19375.41|PD=18827.32|PW=NaN|PM=NaN|T=20231221T0300,19301.75,1,386035,-380,-0.10,40,0.01,-930,-0.24,-19155,-0.02,1
4529,Exit long,2023-12-21 10:00,P1=NaN|P5=NaN|PH=19350.31|PD=18827.32|PW=NaN|PM=NaN|T=20231221T1100,19351,1,386415,605,0.16,2140,0.55,-60,-0.02,-18550,-0.02,1
4529,Entry long,2023-12-21 06:00,P1=NaN|P5=NaN|PH=19357.69|PD=18827.32|PW=NaN|PM=NaN|T=20231221T0700,19320.75,1,386415,605,0.16,2140,0.55,-60,-0.02,-18550,-0.02,1
4530,Exit short,2023-12-21 14:00,P1=NaN|P5=NaN|PH=19351.37|PD=18827.32|PW=NaN|PM=NaN|T=20231221T1500,19338.5,1,387020,250,0.06,1570,0.41,-795,-0.21,-18300,-0.02,1
4530,Entry short,2023-12-21 10:00,P1=NaN|P5=NaN|PH=19350.31|PD=18827.32|PW=NaN|PM=NaN|T=20231221T1100,19351,1,387020,250,0.06,1570,0.41,-795,-0.21,-18300,-0.02,1
4531,Exit long,2023-12-21 18:00,P1=NaN|P5=NaN|PH=19345.54|PD=18827.32|PW=NaN|PM=NaN|T=20231221T1900,19413.5,1,386770,1500,0.39,1700,0.44,-320,-0.08,-16800,-0.02,1
4531,Entry long,2023-12-21 14:00,P1=NaN|P5=NaN|PH=19351.37|PD=18827.32|PW=NaN|PM=NaN|T=20231221T1500,19338.5,1,386770,1500,0.39,1700,0.44,-320,-0.08,-16800,-0.02,1
4532,Exit short,2023-12-21 22:00,P1=NaN|P5=NaN|PH=19357.32|PD=18870.91|PW=NaN|PM=NaN|T=20231221T2300,19377,1,388270,730,0.19,975,0.25,-5,0.00,-16070,-0.02,1
4532,Entry short,2023-12-21 18:00,P1=NaN|P5=NaN|PH=19345.54|PD=18827.32|PW=NaN|PM=NaN|T=20231221T1900,19413.5,1,388270,730,0.19,975,0.25,-5,0.00,-16070,-0.02,1
4533,Exit long,2023-12-22 02:00,P1=NaN|P5=NaN|PH=19361.69|PD=18870.91|PW=NaN|PM=NaN|T=20231222T0300,19361.25,1,387540,-315,-0.08,60,0.02,-560,-0.14,-16385,-0.02,1
4533,Entry long,2023-12-21 22:00,P1=NaN|P5=NaN|PH=19357.32|PD=18870.91|PW=NaN|PM=NaN|T=20231221T2300,19377,1,387540,-315,-0.08,60,0.02,-560,-0.14,-16385,-0.02,1
4534,Exit short,2023-12-22 06:00,P1=NaN|P5=NaN|PH=19362.1|PD=18870.91|PW=NaN|PM=NaN|T=20231222T0700,19389.75,1,387225,-570,-0.15,105,0.03,-580,-0.15,-16955,-0.02,1
4534,Entry short,2023-12-22 02:00,P1=NaN|P5=NaN|PH=19361.69|PD=18870.91|PW=NaN|PM=NaN|T=20231222T0300,19361.25,1,387225,-570,-0.15,105,0.03,-580,-0.15,-16955,-0.02,1
4535,Exit long,2023-12-22 10:00,P1=NaN|P5=NaN|PH=19366.54|PD=18870.91|PW=NaN|PM=NaN|T=20231222T1100,19482,1,387795,1845,0.48,2185,0.56,-110,-0.03,-15110,-0.02,1
4535,Entry long,2023-12-22 06:00,P1=NaN|P5=NaN|PH=19362.1|PD=18870.91|PW=NaN|PM=NaN|T=20231222T0700,19389.75,1,387795,1845,0.48,2185,0.56,-110,-0.03,-15110,-0.02,1
4536,Exit short,2023-12-22 14:00,P1=NaN|P5=NaN|PH=19388.03|PD=18870.91|PW=NaN|PM=NaN|T=20231222T1500,19461.5,1,389640,410,0.11,1130,0.29,-220,-0.06,-14700,-0.01,1
4536,Entry short,2023-12-22 10:00,P1=NaN|P5=NaN|PH=19366.54|PD=18870.91|PW=NaN|PM=NaN|T=20231222T1100,19482,1,389640,410,0.11,1130,0.29,-220,-0.06,-14700,-0.01,1
4537,Exit long,2023-12-25 18:00,P1=NaN|P5=NaN|PH=19405.13|PD=18870.91|PW=NaN|PM=NaN|T=20231222T1900,19422,1,389230,-790,-0.20,45,0.01,-2160,-0.55,-15490,-0.02,1
4537,Entry long,2023-12-22 14:00,P1=NaN|P5=NaN|PH=19388.03|PD=18870.91|PW=NaN|PM=NaN|T=20231222T1500,19461.5,1,389230,-790,-0.20,45,0.01,-2160,-0.55,-15490,-0.02,1
4538,Exit short,2023-12-25 22:00,P1=NaN|P5=NaN|PH=19412.15|PD=18918.77|PW=NaN|PM=NaN|T=20231225T2300,19463.25,1,388440,-825,-0.21,0,0.00,-930,-0.24,-16315,-0.02,1
4538,Entry short,2023-12-25 18:00,P1=NaN|P5=NaN|PH=19405.13|PD=18870.91|PW=NaN|PM=NaN|T=20231222T1900,19422,1,388440,-825,-0.21,0,0.00,-930,-0.24,-16315,-0.02,1
4539,Exit long,2023-12-26 02:00,P1=NaN|P5=NaN|PH=19425.51|PD=18918.77|PW=NaN|PM=NaN|T=20231226T0300,19483.5,1,389265,405,0.10,460,0.12,0,0.00,-15910,-0.02,1
4539,Entry long,2023-12-25 22:00,P1=NaN|P5=NaN|PH=19412.15|PD=18918.77|PW=NaN|PM=NaN|T=20231225T2300,19463.25,1,389265,405,0.10,460,0.12,0,0.00,-15910,-0.02,1
4540,Exit short,2023-12-26 06:00,P1=NaN|P5=NaN|PH=19440.5|PD=18918.77|PW=NaN|PM=NaN|T=20231226T0700,19473,1,389670,210,0.05,460,0.12,-225,-0.06,-15700,-0.02,1
4540,Entry short,2023-12-26 02:00,P1=NaN|P5=NaN|PH=19425.51|PD=18918.77|PW=NaN|PM=NaN|T=20231226T0300,19483.5,1,389670,210,0.05,460,0.12,-225,-0.06,-15700,-0.02,1
4541,Exit long,2023-12-26 10:00,P1=NaN|P5=NaN|PH=19448.62|PD=18918.77|PW=NaN|PM=NaN|T=20231226T1100,19498.5,1,389460,510,0.13,730,0.19,-615,-0.16,-15190,-0.02,1
4541,Entry long,2023-12-26 06:00,P1=NaN|P5=NaN|PH=19440.5|PD=18918.77|PW=NaN|PM=NaN|T=20231226T0700,19473,1,389460,510,0.13,730,0.19,-615,-0.16,-15190,-0.02,1
4542,Exit short,2023-12-26 14:00,P1=NaN|P5=NaN|PH=19457.68|PD=18918.77|PW=NaN|PM=NaN|T=20231226T1500,19506.75,1,389970,-165,-0.04,370,0.09,-470,-0.12,-15355,-0.02,1
4542,Entry short,2023-12-26 10:00,P1=NaN|P5=NaN|PH=19448.62|PD=18918.77|PW=NaN|PM=NaN|T=20231226T1100,19498.5,1,389970,-165,-0.04,370,0.09,-470,-0.12,-15355,-0.02,1
4543,Exit long,2023-12-26 18:00,P1=NaN|P5=NaN|PH=19471.84|PD=18918.77|PW=NaN|PM=NaN|T=20231226T1900,19547.75,1,390135,820,0.21,1240,0.32,-50,-0.01,-14535,-0.01,1
4543,Entry long,2023-12-26 14:00,P1=NaN|P5=NaN|PH=19457.68|PD=18918.77|PW=NaN|PM=NaN|T=20231226T1500,19506.75,1,390135,820,0.21,1240,0.32,-50,-0.01,-14535,-0.01,1
4544,Exit short,2023-12-26 22:00,P1=NaN|P5=NaN|PH=19486.5|PD=18965.34|PW=NaN|PM=NaN|T=20231226T2300,19537.5,1,390955,205,0.05,320,0.08,-250,-0.06,-14330,-0.01,1
4544,Entry short,2023-12-26 18:00,P1=NaN|P5=NaN|PH=19471.84|PD=18918.77|PW=NaN|PM=NaN|T=20231226T1900,19547.75,1,390955,205,0.05,320,0.08,-250,-0.06,-14330,-0.01,1
4545,Exit long,2023-12-27 02:00,P1=NaN|P5=NaN|PH=19499.61|PD=18965.34|PW=NaN|PM=NaN|T=20231227T0300,19549,1,390750,230,0.06,350,0.09,-120,-0.03,-14100,-0.01,1
