trade_date,year,dow,month,tdom,tdom_rev,atr14_prior,opex_week,opex_friday,quarter_opex,half_day,pre_holiday,post_holiday,fomc_proxy,spike1400,spike0830,seg_rth_full,seg_am1_0930_1030,seg_am2_0930_1100,seg_open15,seg_mid_1100_1400,seg_pm_1400_1600,seg_lasthr_1500_1600,seg_pre30_1500_1530,seg_close30_1530_1600,seg_pre15_1545_1600,seg_fomc30_1400_1430,seg_fomc60_1400_1500,seg_on_sess_1800_0930,seg_rel830_0830_0930,seg_half_0930_1300,seg_gap
2022-08-30,2022,1,8,22,-2,280.98214285714283,False,False,False,False,False,False,False,0.8565831225569096,0.33849620602437347,-202.5,-154.0,-209.29999999999927,-61.29999999999927,-56.70000000000073,63.5,52.79999999999927,26.799999999999272,26.0,19.799999999999272,8.299999999999272,10.700000000000728,59.0,-11.5,-251.70000000000073,68.75
2022-08-31,2022,2,8,23,-1,279.8928571428572,False,False,False,False,False,False,False,0.5975936769523036,0.29757725954359604,-151.29999999999927,-50.29999999999927,-93.29999999999927,23.0,-33.400000000001455,-24.599999999998545,2.2000000000007276,49.20000000000073,-47.0,-74.0,6.0,-26.799999999999272,84.29999999999927,-0.7000000000007276,-102.5,123.75
2022-09-01,2022,3,9,1,-22,276.0892857142857,False,False,False,False,False,False,False,1.0478759072747572,0.7169138804225397,102.0,-23.599999999998545,-129.29999999999927,19.0,37.5,193.79999999999927,88.0,8.200000000000728,79.79999999999927,61.0,98.0,105.79999999999927,-108.70000000000073,-36.400000000001455,-146.0,-109.25
2022-09-02,2022,4,9,2,-21,276.8392857142857,False,False,False,False,False,False,False,0.9709130473357585,1.970478774322791,-271.5,35.0,17.700000000000728,-75.0,-305.40000000000146,16.200000000000728,-25.799999999999272,-39.599999999998545,13.799999999999272,57.0,47.70000000000073,42.0,81.0,5.0,-161.0,119.5
2022-09-05,2022,0,9,3,-20,291.875,False,False,False,True,False,False,False,,0.6837934876810697,,39.5,33.29999999999927,25.299999999999272,,,,,,,,,2.0,38.29999999999927,,2.5
2022-09-06,2022,1,9,4,-19,297.5576923076923,False,False,False,False,False,False,False,0.8548108283868568,0.1842643989740969,-148.79999999999927,-177.0,-69.79999999999927,-67.29999999999927,-70.79999999999927,-8.200000000000728,-4.200000000000728,4.299999999999272,-8.5,-26.0,21.599999999998545,-4.0,33.599999999998545,-3.0,-104.29999999999927,-7.75
2022-09-07,2022,2,9,5,-18,301.3076923076923,False,False,False,False,False,False,False,1.3327546603839315,0.2938477617756992,214.5,49.29999999999927,33.70000000000073,63.29999999999927,135.0,45.79999999999927,-13.0,27.0,-40.0,-20.0,37.79999999999927,58.79999999999927,27.0,42.0,113.70000000000073,18.0
2022-09-08,2022,3,9,6,-17,318.2307692307692,False,False,False,False,False,False,False,0.6699050515580248,0.5109161154426897,195.20000000000073,108.20000000000073,222.20000000000073,76.0,-95.0,68.0,72.0,19.599999999998545,52.400000000001455,81.20000000000073,6.599999999998545,-4.0,-132.20000000000073,-106.0,84.5,-86.25
2022-09-09,2022,4,9,7,-16,315.0,False,False,False,False,False,False,False,0.8359450022425041,0.3549815234169709,153.5,85.0,134.5,16.200000000000728,14.0,5.0,10.299999999999272,22.0,-11.700000000000728,-24.0,11.5,-5.299999999999272,95.0,-10.799999999999272,130.5,90.5
2022-09-12,2022,0,9,8,-15,309.78846153846155,True,False,False,False,False,False,False,0.6092854293093672,0.3289376981710518,93.70000000000073,77.0,47.400000000001455,24.400000000001455,32.599999999998545,13.700000000000728,43.5,8.799999999999272,34.70000000000073,19.0,-41.79999999999927,-29.799999999999272,,41.29999999999927,55.400000000001455,
