trade_date,year,dow,roll_day,atr14_prior,prior_rth_close,gap,rth_open,rth_close,rth_high,rth_low,rth_high_min,rth_low_min,rth_vol,rth_ret,prior_sym,sym,p0930,p1000,p1030,p1100,p1130,p1200,p1230,p1300,p1330,p1400,p1430,p1500,p1515,p1530,p1545,p1600
2025-07-24,2025,3,0,193.92857142857142,23305.75,84.75,23390.5,23369.75,23424.5,23298.25,1525,1013,344915,-20.75,NQU5,NQU5,23390.5,23349.5,23337.5,23383.0,23381.75,23378.25,23352.0,23370.0,23394.5,23387.25,23419.5,23403.5,23411.5,23417.0,23392.25,23369.75
2025-07-25,2025,4,0,190.89285714285714,23369.75,-14.0,23355.75,23420.25,23476.0,23330.75,1231,0938,307271,64.5,NQU5,NQU5,23355.75,23402.0,23406.25,23399.25,23422.5,23423.5,23469.5,23451.0,23448.25,23440.0,23455.5,23444.5,23451.0,23444.25,23438.75,23420.25
2025-07-28,2025,0,0,187.14285714285714,23420.25,67.5,23487.75,23499.0,23529.0,23436.75,1008,1120,327271,11.25,NQU5,NQU5,23487.75,23523.0,23499.5,23490.75,23482.5,23485.5,23488.0,23485.75,23474.0,23456.5,23459.5,23463.25,23455.0,23461.25,23463.5,23499.0
2025-07-29,2025,1,0,186.21428571428572,23499.0,121.75,23620.75,23457.75,23652.5,23421.25,0938,1539,451931,-163.0,NQU5,NQU5,23620.75,23584.75,23566.0,23541.75,23474.5,23510.75,23485.75,23506.0,23510.25,23492.75,23485.25,23478.5,23480.25,23461.0,23455.0,23457.75
2025-07-30,2025,2,0,187.10714285714286,23457.75,11.0,23468.75,23492.75,23589.5,23356.5,1436,1500,411988,24.0,NQU5,NQU5,23468.75,23471.75,23520.75,23524.0,23489.75,23523.25,23534.25,23534.75,23526.25,23553.25,23553.75,23389.25,23450.0,23411.0,23412.75,23492.75
2025-07-31,2025,3,0,190.26785714285714,23492.75,206.25,23699.0,23369.25,23752.0,23305.5,0930,1416,583606,-329.75,NQU5,NQU5,23699.0,23673.25,23650.25,23555.0,23540.5,23590.25,23605.75,23564.75,23439.0,23407.25,23424.0,23439.25,23399.75,23389.5,23400.25,23369.25
2025-08-01,2025,4,0,210.83928571428572,23369.25,-328.5,23040.75,22884.25,23095.75,22775.0,0931,1409,580734,-156.5,NQU5,NQU5,23040.75,22827.75,22989.0,22919.75,22905.75,23015.75,23004.5,22885.25,22876.0,22848.0,22899.25,22860.75,22877.25,22874.0,22887.25,22884.25
2025-08-04,2025,0,0,237.26785714285714,22884.25,214.5,23098.75,23296.0,23308.75,23088.75,1600,0931,331289,197.25,NQU5,NQU5,23098.75,23252.75,23235.75,23196.25,23206.75,23261.5,23266.5,23272.5,23283.0,23273.75,23263.0,23267.75,23277.25,23264.25,23270.0,23296.0
2025-08-05,2025,1,0,253.41071428571428,23296.0,9.75,23305.75,23132.25,23397.25,23113.5,0948,1141,428872,-173.5,NQU5,NQU5,23305.75,23355.5,23281.5,23164.0,23168.0,23160.5,23199.75,23180.75,23213.0,23243.25,23159.5,23147.25,23148.75,23171.0,23151.5,23132.25
2025-08-06,2025,2,0,254.78571428571428,23132.25,34.75,23167.0,23410.25,23445.25,23148.5,1533,0940,402618,243.25,NQU5,NQU5,23167.0,23220.0,23195.75,23287.25,23331.5,23359.5,23358.75,23381.75,23373.25,23380.0,23422.5,23417.75,23419.25,23430.0,23419.75,23410.25
