date,n_bars,day_range,absmove_5m,absmove_15m,absmove_30m,absmove_60m,absmove_30m_rth
2021-07-04,360,25.599999999998545,1.0,2.5,3.0,1.4,
2021-07-05,1140,49.5,1.5,2.8,3.2,7.0,
2021-07-06,1380,172.59999999999854,2.5,5.0,5.0,9.3,19.8
2021-07-07,1380,157.59999999999854,2.8,5.2,6.8,5.35,16.45
2021-07-08,1380,253.70000000000073,5.0,9.0,15.3,20.5,27.4
2021-07-09,1020,169.79999999999927,3.5,5.2,8.4,16.0,8.75
2021-07-11,360,49.5,1.6,4.0,3.5,2.0,
2021-07-12,1379,103.5,2.6,3.7,5.3,9.15,6.55
2021-07-13,1380,200.29999999999927,2.3,4.5,7.3,16.5,24.1
2021-07-14,1379,154.79999999999927,3.2,6.0,8.8,16.55,22.1
2021-07-15,1380,254.59999999999854,4.0,8.8,9.5,12.85,28.9
2021-07-16,1020,213.5,4.3,6.5,10.3,17.2,21.2
2021-07-18,360,70.70000000000073,3.5,4.7,11.0,19.0,
2021-07-19,1380,222.5,5.5,9.7,9.2,19.15,17.75
2021-07-20,1380,265.7000000000007,4.0,6.0,9.4,16.35,17.7
2021-07-21,1380,187.79999999999927,3.0,5.3,6.8,10.95,7.05
2021-07-22,1380,168.59999999999854,2.3,3.7,5.6,12.4,11.75
2021-07-23,1020,183.0,2.6,5.3,4.8,9.35,9.9
2021-07-25,360,51.70000000000073,1.8,3.8,5.3,10.7,
2021-07-26,1378,95.20000000000073,2.4,4.5,5.7,12.0,10.6
2021-07-27,1380,357.2999999999993,3.5,6.8,12.2,15.75,35.6
2021-07-28,1380,181.29999999999927,3.8,6.4,12.4,16.7,26.25
2021-07-29,1380,263.0,3.7,6.5,11.3,15.1,13.4
2021-07-30,1020,168.79999999999927,4.0,6.0,10.2,16.4,13.25
2021-08-01,360,66.20000000000073,2.0,4.4,8.6,13.8,
2021-08-02,1380,124.0,2.7,4.0,5.2,5.15,18.55
2021-08-03,1380,201.0,2.3,3.3,4.8,8.25,14.3
2021-08-04,1380,111.0,2.5,3.2,6.0,5.0,18.35
2021-08-05,1380,103.29999999999927,1.7,2.8,4.8,4.1,10.05
2021-08-06,1020,121.29999999999927,2.3,3.5,6.0,7.75,11.4
2021-08-08,360,92.0,2.0,3.6,5.8,12.3,
2021-08-09,1380,103.0,2.0,3.3,4.6,7.2,7.55
2021-08-10,1380,162.70000000000073,2.0,3.0,5.0,6.7,12.95
2021-08-11,1380,156.0,2.0,4.0,6.7,9.7,14.2
2021-08-12,1379,149.29999999999927,2.0,2.8,4.3,6.1,9.0
2021-08-13,1020,86.59999999999854,2.0,2.6,5.3,10.85,3.9
2021-08-15,360,29.799999999999272,1.0,2.3,4.3,4.0,
2021-08-16,1380,221.79999999999927,2.0,4.5,4.8,8.5,19.0
2021-08-17,1380,218.79999999999927,3.2,6.0,8.8,14.65,31.1
2021-08-18,1380,230.70000000000073,3.0,4.7,8.5,8.5,14.3
2021-08-19,1380,288.5,4.6,8.7,12.8,20.55,31.9
2021-08-20,1020,249.0,4.2,9.7,10.6,11.65,12.5
2021-08-22,360,64.0,1.6,3.0,4.7,8.5,
2021-08-23,1380,220.70000000000073,1.8,3.0,5.0,5.0,10.15
2021-08-24,1380,74.5,2.0,3.5,4.5,4.65,12.35
2021-08-25,1380,79.0,2.0,3.3,4.7,8.3,7.15
2021-08-26,1380,109.79999999999927,2.3,3.5,7.5,9.75,13.2
2021-08-27,1020,163.79999999999927,2.2,3.2,8.5,5.8,12.4
