date,year,prev_close,prev_range,day_open,clow15,chigh15,entry15,clow20,chigh20,entry20,clow30,chigh30,entry30,exit1545
2021-04-29,2021,16852.0,104.25,16998.25,16967.25,17017.0,16978.75,16962.0,17017.0,16968.25,16905.75,17017.0,16922.25,16917.5
2021-04-30,2021,16911.25,242.25,16809.25,16796.75,16849.0,16829.75,16796.75,16852.5,16840.0,16796.75,16864.75,16863.5,16796.5
2021-05-03,2021,16817.25,131.75,16871.25,16811.25,16872.5,16823.25,16807.25,16872.5,16826.0,16807.25,16872.5,16830.25,16749.5
2021-05-04,2021,16746.75,175.5,16639.5,16550.25,16652.75,16550.75,16532.5,16652.75,16546.5,16491.5,16652.75,16499.75,16429.0
2021-05-05,2021,16499.5,315.75,16585.5,16560.75,16621.75,16599.25,16560.75,16621.75,16582.0,16546.25,16621.75,16552.75,16464.75
2021-05-06,2021,16450.25,202.75,16441.0,16380.75,16465.25,16428.5,16380.75,16465.25,16429.75,16380.75,16465.25,16383.75,16499.0
2021-05-07,2021,16552.75,215.0,16670.75,16617.75,16696.75,16659.75,16617.75,16709.25,16702.75,16617.75,16710.75,16679.75,16679.0
2021-05-10,2021,16662.75,149.0,16606.0,16491.25,16614.0,16509.0,16491.25,16614.0,16518.75,16469.5,16614.0,16492.5,16366.75
2021-05-11,2021,16312.5,305.25,16069.5,16041.0,16183.0,16173.0,16041.0,16183.0,16145.0,16041.0,16228.0,16227.25,16279.25
2021-05-12,2021,16300.25,291.0,16089.0,16077.5,16174.0,16135.0,16077.5,16187.75,16161.5,16077.5,16187.75,16113.75,15982.25
2021-05-13,2021,15954.75,271.75,16077.25,16066.75,16124.5,16075.0,16043.0,16124.5,16046.25,16043.0,16124.5,16115.0,16115.25
2021-05-14,2021,16053.75,226.5,16188.25,16165.0,16214.0,16179.25,16165.0,16214.0,16176.75,16165.0,16224.75,16223.5,16347.0
2021-05-17,2021,16340.75,217.5,16269.75,16219.5,16297.75,16266.0,16219.5,16299.25,16275.0,16219.5,16299.25,16241.25,16229.5
2021-05-18,2021,16262.0,160.25,16301.25,16269.5,16318.25,16285.25,16267.0,16318.25,16280.75,16256.25,16318.25,16283.75,16245.5
2021-05-19,2021,16169.5,192.75,15940.75,15925.75,16021.5,16015.5,15925.75,16024.25,16000.75,15925.75,16033.75,15998.25,16128.75
2021-05-20,2021,16186.75,273.5,16248.25,16237.5,16349.0,16332.25,16237.5,16355.0,16341.5,16237.5,16355.0,16340.75,16462.0
2021-05-21,2021,16442.75,241.5,16508.0,16456.25,16526.25,16457.5,16440.75,16526.25,16464.0,16440.75,16526.25,16499.25,16369.5
2021-05-24,2021,16365.25,174.25,16465.25,16449.75,16539.5,16529.25,16449.75,16539.5,16527.25,16449.75,16539.5,16535.5,16615.25
2021-05-25,2021,16593.75,192.5,16657.5,16627.25,16688.75,16644.25,16627.25,16688.75,16637.75,16607.25,16688.75,16607.75,16605.5
2021-05-26,2021,16612.5,125.75,16642.0,16628.25,16665.0,16636.75,16623.25,16665.0,16626.25,16618.25,16665.0,16627.0,16648.25
2021-05-27,2021,16658.0,68.75,16641.5,16609.0,16651.5,16619.0,16600.25,16651.5,16607.75,16600.25,16651.5,16611.75,16617.5
2021-05-28,2021,16608.5,76.75,16659.75,16652.0,16696.0,16683.5,16652.0,16696.0,16665.25,16652.0,16696.0,16678.5,16672.25
2021-05-31,2021,16646.75,81.5,16634.0,16625.0,16636.25,16627.75,16623.0,16636.25,16624.25,16622.75,16636.25,16629.0,16611.0
2021-06-01,2021,16611.0,28.5,16708.5,16696.25,16729.25,16709.5,16688.0,16729.25,16692.5,16661.75,16729.25,16678.75,16615.75
2021-06-02,2021,16607.25,180.75,16623.25,16608.0,16644.25,16639.0,16608.0,16661.0,16656.5,16608.0,16664.75,16635.25,16607.75
2021-06-03,2021,16630.5,109.5,16511.75,16445.25,16526.0,16445.25,16419.0,16526.0,16423.25,16418.5,16526.0,16453.25,16484.25
2021-06-04,2021,16484.5,147.25,16566.25,16561.75,16639.0,16632.75,16561.75,16650.75,16648.25,16561.75,16661.0,16655.0,16725.5
2021-06-07,2021,16722.75,178.25,16694.5,16677.0,16720.75,16695.0,16677.0,16720.75,16712.25,16677.0,16720.75,16711.0,16742.75
2021-06-08,2021,16758.75,96.0,16835.0,16819.25,16873.5,16866.75,16819.25,16873.5,16848.75,16787.75,16873.5,16795.75,16773.5
2021-06-09,2021,16765.25,175.5,16827.25,16815.0,16847.0,16839.25,16815.0,16860.5,16825.0,16799.5,16860.5,16828.75,16769.0
2021-06-10,2021,16772.0,95.75,16787.25,16767.5,16878.75,16873.5,16767.5,16903.75,16898.5,16767.5,16921.0,16900.5,16895.75
2021-06-11,2021,16916.0,153.5,16916.25,16897.5,16929.25,16917.5,16897.5,16934.0,16929.75,16897.5,16941.75,16924.0,16924.5
2021-06-14,2021,16950.75,65.0,16953.5,16903.0,16953.5,16947.75,16903.0,16978.5,16978.0,16903.0,16983.5,16967.25,17020.5
2021-06-15,2021,17069.5,166.5,17056.0,17009.75,17059.25,17047.25,17009.75,17062.0,17058.0,17009.75,17068.5,17043.5,16977.25
2021-06-16,2021,16973.25,121.75,16996.25,16988.5,17020.0,17011.5,16988.5,17022.5,17018.25,16988.5,17033.5,17025.75,16943.5
2021-06-17,2021,16921.75,265.5,16880.25,16878.0,16965.0,16935.75,16878.0,16965.0,16949.5,16878.0,16979.5,16971.0,17129.75
2021-06-18,2021,17102.25,267.0,17026.5,16990.5,17077.5,17060.5,16990.5,17077.5,17046.0,16990.5,17077.5,17043.25,17031.5
2021-06-21,2021,16987.75,121.5,16998.0,16904.5,17018.25,16957.0,16904.5,17018.25,16948.25,16904.5,17018.25,17003.25,17056.25
2021-06-22,2021,17074.25,185.5,17066.0,17053.5,17122.75,17072.5,17053.5,17122.75,17075.0,17053.5,17122.75,17089.0,17207.0
2021-06-23,2021,17203.75,171.75,17204.0,17200.0,17245.5,17239.75,17200.0,17246.5,17234.0,17200.0,17257.75,17251.25,17214.0
2021-06-24,2021,17209.0,84.0,17295.75,17290.0,17332.25,17318.5,17290.0,17332.25,17321.5,17290.0,17332.25,17322.75,17296.25
2021-06-25,2021,17300.25,94.75,17325.5,17307.5,17336.5,17330.25,17307.5,17336.5,17312.25,17275.25,17336.5,17287.25,17274.0
2021-06-28,2021,17284.75,77.25,17340.0,17336.75,17404.5,17396.25,17336.75,17404.5,17396.75,17336.75,17404.5,17397.75,17453.75
2021-06-29,2021,17457.25,129.0,17451.75,17416.5,17470.75,17467.0,17416.5,17475.5,17463.0,17416.5,17475.5,17460.0,17505.25
2021-06-30,2021,17510.0,96.25,17504.75,17470.5,17515.25,17503.0,17470.5,17518.5,17510.25,17465.75,17518.5,17481.25,17509.5
2021-07-01,2021,17489.5,58.5,17473.75,17461.25,17510.5,17497.75,17461.25,17516.0,17500.5,17461.25,17516.0,17488.5,17475.5
2021-07-02,2021,17493.75,99.0,17575.0,17565.25,17606.5,17596.75,17565.25,17610.75,17610.5,17565.25,17611.25,17599.25,17659.0
2021-07-05,2021,17660.75,109.75,17650.0,17642.0,17650.5,17643.75,17639.75,17650.5,17641.75,17638.5,17650.5,17641.25,17639.25
2021-07-06,2021,17639.25,15.25,17686.5,17684.0,17719.75,17696.5,17684.0,17719.75,17708.0,17684.0,17719.75,17699.25,17728.5
2021-07-07,2021,17722.5,164.75,17817.25,17763.5,17829.75,17798.25,17763.5,17829.75,17787.25,17763.5,17829.75,17782.0,17752.75
2021-07-08,2021,17748.25,157.5,17540.0,17514.25,17587.5,17537.0,17486.5,17587.5,17488.5,17486.5,17587.5,17583.75,17638.25
2021-07-09,2021,17668.75,214.5,17639.5,17614.0,17668.25,17650.25,17614.0,17671.0,17662.5,17614.0,17671.0,17658.25,17752.0
2021-07-12,2021,17756.25,164.0,17816.75,17770.0,17834.5,17801.5,17770.0,17834.5,17776.0,17761.0,17834.5,17775.0,17805.0
2021-07-13,2021,17814.5,86.25,17799.0,17788.25,17827.5,17815.5,17788.25,17846.5,17846.0,17788.25,17865.5,17860.0,17830.75
