i,epoch,et_date,trade_date,year,et_min,side,E,atr,sym,arr3,arr5,arr10,arr15,eff10,accel,dep_bars,fresh_bars,rv60,brk0_t,brk5_t,ret_p35_t,maxret_prebrk5,maxret_t,hold_p20_b0,hold_p20_b5,hold_p35_b0,hold_p35_b5,hold_p50_b0,hold_p50_b5,hold_a15_b0,hold_a15_b5,hold_a25_b0,hold_a25_b5,burst30,burst60
846125,1684374000,2023-05-17,2023-05-18,2023,1300,-1,13628.5,170.48214285714286,NQM3,0.0322614433853566,0.046925735833246,0.0351943018749345,0.0627631716769708,0.526315789473617,0.0103348346775601,240,40,0.38009846024931,1,0,0,26.0,99,0,1,0,0,0,0,0,1,0,0,0.01466429244788939,0.023462867916623022
846199,1684378440,2023-05-17,2023-05-18,2023,1374,1,13646.0,170.48214285714286,NQM3,0.0175971509374672,0.0322614433853566,0.0410600188540902,0.0539645962082372,0.6790123456791344,-0.0004189797842254,240,148,0.3020844244265427,1,12,0,2.7999999999992724,1,0,0,0,0,0,0,0,0,0,0,0.01613072169267833,0.019063580182256207
846224,1684379940,2023-05-17,2023-05-18,2023,1399,1,13654.5,170.48214285714286,NQM3,0.0322614433853566,0.0410600188540902,0.0322614433853566,0.033434586781192,0.5853658536583959,0.0093851471666477,240,13,0.296218707447387,0,0,0,13.299999999999272,47,0,0,0,0,0,0,0,0,0,0,0.01613072169267833,0.019063580182256207
846348,1684387380,2023-05-18,2023-05-18,2023,83,-1,13640.0,170.48214285714286,NQM3,0.0305017282916141,0.0498585943228239,0.0175971509374672,0.0293285848957787,0.0821917808219553,0.0084913236269717,240,222,0.3319995810202072,15,89,0,5.0,4,0,0,0,0,0,0,0,0,0,0,0.01613072169267833,0.020530009427045144
846372,1684388820,2023-05-18,2023-05-18,2023,107,-1,13637.5,170.48214285714286,NQM3,0.0158374358437248,0.0193568660312097,0.0193568660312097,0.0393003037603478,0.1960784313726049,0.0022345588492062,240,9,0.3630878810097711,5,65,0,5.0,37,0,0,0,0,0,0,0,0,0,0,0.011731433958311511,0.01613072169267833
846403,1684390680,2023-05-18,2023-05-18,2023,138,-1,13636.2,170.48214285714286,NQM3,0.010558290562476,0.0293285848957787,0.0193568660312097,0.0193568660312097,0.2584269662921165,0.0003072518417638,240,26,0.3490101602597888,25,0,107,39.79999999999927,113,0,1,0,1,0,0,0,1,0,0,0.01613072169267833,0.020530009427045144
846428,1684392180,2023-05-18,2023-05-18,2023,163,-1,13635.2,170.48214285714286,NQM3,0.0134911490520539,0.0193568660312097,0.0152508641457964,0.0310882999895212,0.1428571428571428,0.0011172794246031,240,25,0.3572221640305727,9,0,82,40.79999999999927,88,0,1,0,1,0,0,0,1,0,0,0.01466429244788939,0.01466429244788939
846456,1684393860,2023-05-18,2023-05-18,2023,191,1,13652.0,170.48214285714286,NQM3,0.0516183094165663,0.0645228867707133,0.0791871792186027,0.1143814810935372,0.65,0.01229007367061,240,232,0.425851052686742,1,7,0,2.7999999999992724,5,0,0,0,0,0,0,0,0,0,0,0.030795014140567716,0.04545930658845711
846484,1684395540,2023-05-18,2023-05-18,2023,219,1,13658.2,170.48214285714286,NQM3,0.0351943018749345,0.0480988792290814,0.0158374358437248,0.0645228867707133,0.1299435028248123,0.013714604936975,240,21,0.533193673405288,21,21,0,11.200000000000728,17,0,0,0,0,0,0,0,0,0,0,0.020530009427045144,0.027862155650989838
846505,1684396800,2023-05-18,2023-05-18,2023,240,1,13664.5,170.48214285714286,NQM3,0.0909186131769142,0.083879752801923,0.0615900282811354,0.0721483188436115,0.3725490196078431,0.0325407632415069,240,21,0.652267728082103,4,5,0,7.0,2,0,0,0,0,0,0,0,0,0,0,0.03519430187493453,0.06159002828113543
846659,1684406040,2023-05-18,2023-05-18,2023,394,1,13675.0,170.48214285714286,NQM3,0.0457525924374106,0.0351943018749345,0.0457525924374106,0.0457525924374106,0.6347826086957897,0.0142732446492775,240,143,0.3173352885723605,5,13,0,5.5,3,0,0,0,0,0,0,0,0,0,0,0.019063580182256207,0.02492929716141196
