sm,n,mean_r,std_r,mabs_r,tstat,mean_2021,mean_2022,mean_2023,mean_2024,mean_2025,mean_2026,et
68,1410,-0.049007092198557305,4.0352352010272075,2.298510638297871,-0.45603653541486555,0.08803088803082904,0.05000000000007614,-0.07248062015499927,-0.22625482625482063,-0.052325581395306534,-0.11864406779654851,19:08
69,1409,-0.0726046841731926,3.526211547610531,2.1688431511710364,-0.7728794745338949,-0.12945736434110502,0.0019379844961522324,-0.0678294573644116,-0.10694980694979571,-0.11937984496129389,0.05593220338981818,19:09
70,1409,0.1814762242725549,3.596428570055689,2.307806955287449,1.8941038743850978,0.125193798449666,0.17170542635658634,0.010077519379839322,0.04362934362935487,0.3794573643411473,0.5703389830508413,19:10
71,1410,-0.004468085106392784,3.6433580733163824,2.1819148936170185,-0.04604994722750673,-0.1498069498069751,-0.14147286821712476,0.12170542635663709,0.07760617760618603,0.10697674418604088,-0.08559322033900155,19:11
72,1410,-0.0051063829787265005,3.4127611202455843,2.157588652482257,-0.05618456847960952,-0.06872586872582377,-0.08798449612396332,0.060077519379844964,0.19227799227790518,-0.24147286821709374,0.256779661016943,19:12
73,1410,-0.08276595744679355,3.4246096441386595,2.0677304964539136,-0.9075075030094093,-0.076061776061821,-0.12945736434111912,-0.2341085271317322,-0.16447876447873078,0.07131782945741229,0.17796610169497692,19:13
74,1408,0.033025568181794925,3.412838635283302,2.0347301136363467,0.3631080447239615,0.011583011583039676,0.1054263565891642,-0.01673151750983804,0.019305019305019305,0.08599221789878456,-0.05508474576274269,19:14
75,1408,-0.027840909090901856,3.854720452918042,2.469602272727281,-0.2710140781678187,-0.1691119691119382,-0.1375968992247921,0.10428015564203467,0.02586872586871463,0.0011673151750944452,0.05338983050846841,19:15
76,1410,-0.2290780141843791,4.078891154548162,2.397446808510611,-2.1088750547467856,-0.3768339768339853,-0.45697674418606626,-0.028682170542598997,-0.03474903474899261,-0.3534883720929556,0.0008474576270754816,19:16
77,1410,0.02539007092198014,3.795539658829198,2.1781560283687846,0.2511886065248806,-0.01814671814674905,0.21124031007751937,0.010852713178305854,0.2552123552123777,-0.24069767441865542,-0.17627118644064096,19:17
78,1406,-0.018634423897577135,3.375397534997931,2.0921763869132204,-0.20700636633377906,0.002713178294548262,0.025968992248093035,-0.056420233462992554,-0.008139534883757592,-0.2466926070038684,0.3932203389830323,19:18
79,1405,-0.05437722419929188,3.9022801601691004,2.072597864768691,-0.5223201142043187,0.059689922480639895,-0.48139534883716983,0.08710937499995453,0.18643410852712614,-0.18793774319072942,0.08728813559330667,19:19
80,1409,0.1192334989354281,3.6440769067914562,2.2576295244854636,1.2281919630770581,0.08571428571431662,0.08372093023251019,0.290272373540907,-0.12123552123552686,0.4224806201551516,-0.2372881355933745,19:20
81,1409,-0.0663591199432428,3.3594485486381966,2.070901348474024,-0.7414606716407688,0.04573643410856661,0.05930232558132203,0.03527131782938122,0.20231660231663603,-0.4263565891473855,-0.6110169491524067,19:21
82,1409,-0.12143364088006349,3.8448229323537886,2.169127040454233,-1.1855453437902574,0.07015503875959968,-0.07015503875962788,-0.09147286821706273,-0.17451737451737734,-0.14767441860460323,-0.5440677966102682,19:22
83,1410,-0.05801418439716777,3.370785463077752,2.105531914893575,-0.6462679742580144,0.07027027027024499,-0.13449612403101058,0.031007751937984496,-0.0277992277992587,-0.015503875968978148,-0.5262711864406348,19:23
84,1410,0.07347517730498415,3.879270967887084,2.0458156028368992,0.7112136493503168,0.023938223938226748,0.24573643410854687,-0.05775193798440306,0.2795366795366711,-0.04496124031007188,-0.10084745762713097,19:24
85,1410,0.014680851063799343,3.7374571423698972,2.1762411347517756,0.14749746893038782,0.04594594594596561,0.37674418604644394,0.015891472868183213,-0.31003861003862127,0.12868217054253978,-0.3847457627118151,19:25
