name,family,h,dir,n,mean,median,q25,q75,wr,hit100,hit150,hit200,cond_minus_uncond_raw,dir_edge_vs_base,note
R5_tlt_dump_long,rates,3,1,615,13.471138211382113,12.25,-33.375,51.875,0.5788617886178862,0.2845528455284553,0.21138211382113822,0.17560975609756097,2.3632800242476097,2.3632800242476097,TLT 3d dump -> yields up growth -> long(test)
D1_dxy_r5_topdecile,dollar,3,-1,699,-13.707081545064378,-8.0,-53.75,37.125,0.43776824034334766,0.3190271816881259,0.2117310443490701,0.16165951359084407,2.5992233579298745,-2.5992233579298745,DXY 5d ret top 10% (dollar spike) -> headwind -> short
D2_dxy_r3_topdecile,dollar,3,-1,695,-11.770503597122302,-7.5,-59.75,39.25,0.4546762589928058,0.3064748201438849,0.21294964028776978,0.17410071942446043,0.6626454099877979,-0.6626454099877979,DXY 3d spike -> short
D3_dxy_z_high,dollar,3,-1,1146,2.787958115183246,-5.5,-54.75,58.875,0.4712041884816754,0.36300174520069806,0.26352530541012215,0.21029668411867364,-13.89581630231775,13.89581630231775,DXY z>1.5 -> short
D4_dxy_r5_botdecile_long,dollar,3,1,681,8.235917767988253,9.5,-40.0,55.75,0.5682819383259912,0.3010279001468429,0.2290748898678414,0.1762114537444934,-2.8719404191462505,-2.8719404191462505,DXY falling (easing) -> long
V1_vix_up_nq_up,vol,3,-1,1160,1.4885775862068966,-8.125,-48.5,36.9375,0.44310344827586207,0.2655172413793103,0.2025862068965517,0.15862068965517243,-12.596435773341401,12.596435773341401,VIX rising while NQ rising (no confirm) -> pullback -> short
V2_vix_spike,vol,3,-1,726,-18.112258953168045,-9.25,-70.625,54.625,0.46005509641873277,0.384297520661157,0.28512396694214875,0.2231404958677686,7.004400766033541,-7.004400766033541,VIX 5d spike top 10% -> short
V3_vix_up_nq_up_strong,vol,3,-1,189,2.378306878306878,-17.0,-63.75,43.0,0.43386243386243384,0.32275132275132273,0.25925925925925924,0.18518518518518517,-13.486165065441382,13.486165065441382,strong price-vol divergence -> short
V4_vix_high,vol,3,-1,758,-28.723284960422163,-17.0,-98.1875,58.3125,0.4261213720316623,0.4129287598944591,0.3007915567282322,0.23218997361477572,17.61542677328766,-17.61542677328766,VIX in top decile of 1y -> short(test)
V5_vix_low_long,vol,3,1,1340,9.409701492537314,7.0,-25.5,33.5625,0.5611940298507463,0.1865671641791045,0.13432835820895522,0.10298507462686567,-1.6981566945971895,-1.6981566945971895,VIX bottom decile -> calm -> long(test)
B1_iwm_vs_spy_neg,breadth,3,-1,676,-23.018491124260354,-22.0,-72.0,36.8125,0.39201183431952663,0.3047337278106509,0.21597633136094674,0.1760355029585799,11.91063293712585,-11.91063293712585,small caps lagging (bottom 10%) -> breadth deteriorating -> short
B2_iwm_vs_nq_neg,breadth,3,-1,674,-7.516320474777448,-11.75,-52.4375,45.875,0.43768545994065283,0.2952522255192878,0.21216617210682492,0.16913946587537093,-3.5915377123570558,3.5915377123570558,IWM lagging NQ (bottom10) -> narrow breadth -> short
B3_iwm_r10_weak,breadth,3,-1,693,-18.248196248196248,-10.5,-68.5,48.5,0.4458874458874459,0.3621933621933622,0.2857142857142857,0.22366522366522368,7.140338061061744,-7.140338061061744,IWM 10d weak -> short
B4_iwm_vs_spy_pos_long,breadth,3,1,659,7.263520485584218,9.0,-38.125,55.0,0.5720789074355084,0.2852807283763278,0.22003034901365706,0.16843702579666162,-3.8443377015502858,-3.8443377015502858,small caps leading -> broad risk-on -> long
X1_riskoff_top10,composite,3,-1,701,-25.807417974322398,-12.5,-76.0,39.25,0.43366619115549215,0.32952924393723254,0.23823109843081314,0.18830242510699002,14.699559787187894,-14.699559787187894,macro stress composite top 10% -> short
X2_riskoff_top5,composite,3,-1,360,-16.905555555555555,-14.125,-80.5625,51.1875,0.43333333333333335,0.3638888888888889,0.26666666666666666,0.21666666666666667,5.797697368421051,-5.797697368421051,macro stress composite top 5% -> short
X3_riskoff_z2,composite,3,-1,245,-28.211224489795917,-14.25,-72.25,50.75,0.43673469387755104,0.3510204081632653,0.2612244897959184,0.21224489795918366,17.103366302661414,-17.103366302661414,composite z>2 -> short
X4_riskoff_bot10_long,composite,3,1,654,21.291529051987766,15.75,-35.5,56.4375,0.5902140672782875,0.28134556574923547,0.20030581039755352,0.1559633027522936,10.183670864853262,10.183670864853262,risk-on composite (bottom10) -> long
M1_gld_up_short,xasset,3,-1,571,0.16943957968476359,-12.0,-67.0,42.625,0.4308231173380035,0.3572679509632224,0.28371278458844135,0.2171628721541156,-11.277297766819267,11.277297766819267,gold spike (fear bid) -> short
M2_gld_vs_spy,xasset,3,-1,596,-22.339345637583893,-13.375,-92.9375,52.5625,0.4463087248322148,0.39093959731543626,0.32046979865771813,0.25838926174496646,11.23148745044939,-11.23148745044939,gold outperforming equity strongly -> risk-off -> short
M3_btc_weak_short,xasset,3,-1,358,-23.850558659217878,-29.25,-144.125,60.5625,0.39385474860335196,0.4720670391061452,0.39385474860335196,0.3268156424581006,12.742700472083374,-12.742700472083374,BTC 5d weak (risk appetite off) -> short
M4_btc_strong_long,xasset,3,1,379,15.651715039577837,14.0,-46.625,83.75,0.5857519788918206,0.39313984168865435,0.287598944591029,0.21899736147757257,4.543856852443334,4.543856852443334,BTC 5d strong (risk-on) -> long
M5_nq_z20_low_meanrev,xasset,3,1,300,54.23886666666667,15.5,-34.5625,101.6875,0.5766666666666667,0.44,0.32,0.2633333333333333,43.13100847953216,43.13100847953216,NQ 2std below 20d mean -> mean-revert long
M6_nq_z20_high_meanrev,xasset,3,-1,336,-5.665922619047619,-10.625,-42.0625,25.5625,0.4107142857142857,0.24107142857142858,0.17857142857142858,0.13392857142857142,-5.441935568086885,5.441935568086885,NQ 2std above 20d mean -> mean-revert short
C1_hyg_r5_botdecile,credit,5,-1,515,-40.26067961165049,-27.5,-143.625,60.75,0.4155339805825243,0.5203883495145631,0.4174757281553398,0.34368932038834954,21.369702717821884,-21.369702717821884,HYG 5d ret in bottom 10% -> credit stress -> short
C2_hyglqd_r5_botdecile,credit,5,-1,485,-57.33092783505155,-41.25,-160.75,42.75,0.3670103092783505,0.44536082474226807,0.3402061855670103,0.24948453608247423,38.439950941222946,-38.439950941222946,HY/IG ratio 5d in bottom 10% (spread widening) -> short
C3_hyg_vs_spy_neg,credit,5,-1,502,-37.97559760956175,-17.375,-105.0,58.75,0.4203187250996016,0.4243027888446215,0.31673306772908366,0.2549800796812749,19.08462071573315,-19.08462071573315,credit lagging equity (bottom 10%) -> short
C4_hyglqd_z_low,credit,5,-1,684,-62.85197368421053,-36.0,-159.0,49.25,0.3845029239766082,0.4415204678362573,0.3201754385964912,0.23830409356725146,43.96099679038193,-43.96099679038193,HY/IG ratio z<-1.5 -> short
C5_hyg_r10_botdecile,credit,5,-1,553,-4.768535262206148,-18.0,-111.5,74.0,0.4430379746835443,0.5081374321880651,0.4050632911392405,0.32730560578661844,-14.122441631622456,14.122441631622456,HYG 10d ret bottom 10% -> short
C6_hyg_r5_topdecile_long,credit,5,1,457,54.05142231947484,31.75,-47.5,130.0,0.6280087527352297,0.48577680525164113,0.3851203501094092,0.3150984682713348,35.16044542564623,35.16044542564623,HYG 5d ret top 10% -> risk-on -> long
R1_corr_pos_bondsdown,rates,5,-1,1652,-20.333535108958838,-19.0,-71.3125,35.5625,0.3916464891041162,0.32990314769975787,0.25,0.20944309927360774,1.4425582151302336,-1.4425582151302336,stock-bond corr>0 & bonds falling -> risk-parity unwind -> short
