trade_date,year,dow,regime,fh_prog,fh_loc,fh_net,fh_rng,fh_open,fh_close,fh_high,fh_low,atr14_prior,gap,on_range,rod_drift,rod_mfe_up,rod_mfe_dn,rod_close,pm_texture,pm_drift,fh_dir
2021-01-19,2021,1,CHOP,0.1837,0.3508,-13.3,72.4,12896.5,12883.2,12930.2,12857.8,209.23076923076923,82.5,138.25,101.8,123.3,34.0,12985.0,DRIFT_UP,29.8,-1
2021-01-20,2021,2,ONEWAY_UP,0.7966,0.9333,93.2,117.0,13137.0,13230.2,13238.0,13121.0,215.82692307692307,152.0,121.5,55.3,96.8,25.0,13285.5,DRIFT_UP,18.3,1
2021-01-21,2021,3,SWEEP_REVERT_BULL,0.2492,0.8515,23.5,94.3,13340.0,13363.5,13377.5,13283.2,232.80769230769232,54.5,104.0,33.7,60.0,47.7,13397.2,DRIFT_UP,37.0,1
2021-01-22,2021,4,CHOP,0.0031,0.3156,0.2,64.0,13347.8,13348.0,13391.8,13327.8,235.94230769230768,-49.5,102.0,7.2,49.0,25.0,13355.2,CHOP,-2.3,1
2021-01-25,2021,0,BTD,0.3197,0.3504,18.7,58.5,13497.8,13516.5,13554.5,13496.0,210.15384615384616,142.5,139.25,-42.0,7.3,327.5,13474.5,DRIFT_UP,55.7,1
2021-01-26,2021,1,SWEEP_REVERT_BEAR,0.0971,0.7087,-8.0,82.4,13493.2,13485.2,13509.2,13426.8,223.65384615384616,18.75,116.75,-0.4,47.8,30.0,13484.8,CHOP,4.8,-1
2021-01-27,2021,2,CHOP,0.1878,0.8122,-41.0,218.3,13389.5,13348.5,13389.5,13171.2,208.25,-95.25,234.5,-228.7,34.7,327.5,13119.8,DRIFT_DOWN,-198.4,-1
2021-01-28,2021,3,BTD,0.5345,0.7135,80.6,150.8,13155.2,13235.8,13279.0,13128.2,227.71153846153845,35.5,283.0,-50.0,158.2,62.6,13185.8,TREND_DOWN,-182.2,1
2021-01-29,2021,4,CHOP,0.195,0.9025,31.0,159.0,13110.5,13141.5,13157.0,12998.0,250.96153846153845,-75.25,254.5,-227.7,15.7,312.5,12913.8,DRIFT_UP,57.3,1
2021-02-01,2021,0,CHOP,0.228,0.8356,30.5,133.8,13051.5,13082.0,13104.0,12970.2,260.61538461538464,137.75,356.75,148.5,189.5,40.5,13230.5,DRIFT_DOWN,-24.5,1
2021-02-02,2021,1,BTD,0.3416,0.4195,31.6,92.5,13352.2,13383.8,13437.5,13345.0,287.7307692307692,121.75,148.0,64.7,109.7,0.6,13448.5,CHOP,-12.3,1
2021-02-03,2021,2,ONEWAY_DOWN,0.8704,0.024,-134.3,154.3,13531.5,13397.2,13547.8,13393.5,293.9423076923077,83.0,108.75,-8.4,99.8,10.4,13388.8,TREND_DOWN,-92.7,-1
2021-02-04,2021,3,SWEEP_REVERT_BEAR,0.3959,0.2511,-35.0,88.4,13449.0,13414.0,13480.2,13391.8,297.78846153846155,60.25,118.25,136.5,138.5,11.0,13550.5,TREND_UP,71.3,-1
2021-02-05,2021,4,STR,0.5834,0.3731,-43.0,73.7,13590.0,13547.0,13593.2,13519.5,299.28846153846155,39.5,90.5,49.5,91.5,17.0,13596.5,DRIFT_DOWN,-34.5,-1
2021-02-08,2021,0,SWEEP_REVERT_BEAR,0.3223,0.2326,-19.4,60.2,13666.2,13646.8,13693.0,13632.8,286.4107142857143,69.75,82.0,38.0,39.4,50.8,13684.8,TREND_UP,49.3,-1
2021-02-09,2021,1,ONEWAY_UP,0.8354,0.8426,69.0,82.6,13645.8,13714.8,13727.8,13645.2,279.35714285714283,-39.0,64.0,-34.3,20.4,53.0,13680.5,DRIFT_DOWN,-13.3,1
2021-02-10,2021,2,ONEWAY_DOWN,0.6672,0.2367,-133.3,199.8,13742.8,13609.5,13762.0,13562.2,264.44642857142856,62.25,90.25,40.5,85.0,92.7,13650.0,DRIFT_UP,23.5,-1
2021-02-11,2021,3,SWEEP_REVERT_BEAR,0.1884,0.4313,-10.7,56.8,13717.2,13706.5,13738.8,13682.0,272.4642857142857,67.25,112.25,19.3,37.3,82.0,13725.8,DRIFT_UP,40.8,-1
2021-02-12,2021,4,CHOP,0.0945,0.6535,-6.0,63.5,13693.5,13687.5,13709.5,13646.0,274.55357142857144,-32.25,78.75,116.5,122.7,23.3,13804.0,TREND_UP,62.0,-1
2021-02-16,2021,1,SWEEP_REVERT_BULL,0.4982,0.9246,28.4,57.0,13835.8,13864.2,13868.5,13811.5,268.4423076923077,-36.25,69.25,-99.7,11.3,148.2,13764.5,DRIFT_DOWN,-24.5,1
2021-02-17,2021,2,STR,0.329,0.1678,-35.3,107.3,13638.5,13603.2,13692.5,13585.2,239.1346153846154,-126.0,158.75,96.3,107.3,60.2,13699.5,TREND_UP,65.0,-1
2021-02-18,2021,3,STR,0.4286,0.2205,-48.0,112.0,13544.2,13496.2,13583.5,13471.5,220.23076923076923,-155.25,197.0,141.6,173.3,28.2,13637.8,TREND_UP,81.0,-1
2021-02-19,2021,4,STR,0.5704,0.3592,-40.5,71.0,13695.5,13655.0,13700.5,13629.5,212.25,57.75,179.0,-76.8,44.8,120.2,13578.2,CHOP,-5.0,-1
2021-02-22,2021,0,STR,0.3014,0.1888,-32.4,107.5,13391.2,13358.8,13446.0,13338.5,185.32692307692307,-187.0,264.5,-131.8,27.0,140.3,13227.0,TREND_DOWN,-110.5,-1
2021-02-23,2021,1,SWEEP_REVERT_BULL,0.0905,0.9908,24.5,270.8,13001.0,13025.5,13028.0,12757.2,196.67307692307693,-226.0,389.25,162.5,231.7,140.5,13188.0,TREND_UP,287.0,1
2021-02-24,2021,2,SWEEP_REVERT_BULL,0.0349,0.7445,5.7,163.2,13073.8,13079.5,13121.2,12958.0,225.96153846153845,-114.25,268.5,215.7,229.5,39.0,13295.2,TREND_UP,87.7,1
2021-02-25,2021,3,CHOP,0.1662,0.1858,-28.0,168.5,13180.8,13152.8,13290.0,13121.5,237.01923076923077,-114.5,207.75,-326.6,16.0,388.8,12826.2,CHOP,-25.0,-1
2021-02-26,2021,4,SWEEP_REVERT_BEAR,0.6857,0.0314,-192.0,280.0,12952.8,12760.8,13032.0,12752.0,273.2307692307692,126.5,318.5,132.4,328.7,2.8,12893.2,TREND_DOWN,-104.0,-1
2021-03-01,2021,0,BTD,0.349,0.891,37.8,108.3,13099.2,13137.0,13148.8,13040.5,298.63461538461536,206.0,186.75,137.2,150.0,10.5,13274.2,TREND_UP,69.4,1
2021-03-02,2021,1,ONEWAY_DOWN,0.9557,0.0068,-140.3,146.8,13297.5,13157.2,13303.0,13156.2,317.0576923076923,23.25,166.5,-99.0,55.0,109.0,13058.2,TREND_DOWN,-109.8,-1
2021-03-03,2021,2,ONEWAY_DOWN,0.7256,0.1034,-166.3,229.2,13012.8,12846.5,13052.0,12822.8,319.1730769230769,-45.5,227.75,-165.7,123.7,171.3,12680.8,TREND_DOWN,-134.7,-1
2021-03-04,2021,3,SWEEP_REVERT_BEAR,0.2623,0.3443,-67.2,256.2,12664.2,12597.0,12765.0,12508.8,348.8269230769231,-16.5,197.5,-125.8,200.0,290.5,12471.2,CHOP,-12.8,-1
2021-03-05,2021,4,ONEWAY_DOWN,0.8735,0.0376,-227.8,260.8,12582.8,12355.0,12606.0,12345.2,373.9230769230769,111.5,328.0,306.5,342.8,147.8,12661.5,DRIFT_UP,139.0,-1
2021-03-08,2021,0,BTD,0.2849,0.9151,49.0,172.0,12635.2,12684.2,12698.8,12526.8,382.25,-26.25,385.25,-383.7,31.6,402.4,12300.5,TREND_DOWN,-223.7,1
2021-03-09,2021,1,ONEWAY_UP,0.7799,0.9027,141.0,180.8,12609.2,12750.2,12767.8,12587.0,403.32142857142856,308.75,291.25,36.8,117.3,66.2,12787.0,CHOP,12.0,1
2021-03-10,2021,2,ONEWAY_DOWN,0.8956,0.043,-170.8,190.7,12967.8,12797.0,12979.5,12788.8,424.7142857142857,180.75,290.25,-44.8,62.5,77.0,12752.2,TREND_DOWN,-75.0,-1
2021-03-11,2021,3,CHOP,0.0138,0.4265,1.3,94.5,12951.5,12952.8,13007.0,12912.5,427.2142857142857,199.25,289.75,93.7,166.4,0.6,13046.5,DRIFT_DOWN,-28.0,1
2021-03-12,2021,4,STR,0.5042,0.2331,-66.2,131.3,12871.0,12804.8,12905.5,12774.2,441.55357142857144,-175.5,309.25,132.4,139.0,36.6,12937.2,TREND_UP,64.0,-1
2021-03-15,2021,0,CHOP,0.1605,0.3811,-16.0,99.7,12941.5,12925.5,12987.2,12887.5,435.57142857142856,,137.5,142.7,149.0,54.3,13068.2,TREND_UP,117.0,-1
2021-03-16,2021,1,ONEWAY_UP,0.7823,1.0,99.2,126.8,13159.8,13259.0,13259.0,13132.2,408.76785714285717,91.5,119.75,-120.2,28.2,181.8,13138.8,DRIFT_DOWN,-73.0,1
2021-03-17,2021,2,SWEEP_REVERT_BULL,0.2939,0.8184,40.8,138.8,13007.0,13047.8,13073.0,12934.2,400.76785714285717,-131.75,206.25,145.2,223.2,109.0,13193.0,TREND_UP,230.2,1
2021-03-18,2021,3,CHOP,0.2169,0.3855,-23.3,107.4,12979.5,12956.2,13022.2,12914.8,382.69642857142856,-213.5,322.75,-174.2,52.3,194.2,12782.0,DRIFT_DOWN,-118.2,-1
2021-03-19,2021,4,CHOP,0.0167,0.587,-2.6,155.7,12775.8,12773.2,12837.5,12681.8,388.25,-6.25,184.75,64.3,118.0,41.7,12837.5,TREND_DOWN,-41.3,-1
2021-03-22,2021,0,ONEWAY_UP,0.875,0.8789,90.3,103.2,12928.2,13018.5,13031.0,12927.8,379.375,90.75,175.0,52.3,138.5,8.7,13070.8,TREND_DOWN,-79.4,1
2021-03-23,2021,1,SWEEP_REVERT_BEAR,0.0952,0.6548,-8.0,84.0,13113.5,13105.5,13134.5,13050.5,385.69642857142856,42.75,118.25,-100.5,66.5,126.5,13005.0,TREND_DOWN,-114.8,-1
2021-03-24,2021,2,ONEWAY_DOWN,0.7763,0.215,-125.3,161.4,13070.8,12945.5,13072.2,12910.8,362.57142857142856,65.75,129.0,-155.5,103.0,157.3,12790.0,TREND_DOWN,-144.8,-1
2021-03-25,2021,3,SWEEP_REVERT_BULL,0.1754,0.3691,26.0,148.2,12717.5,12743.5,12837.0,12688.8,353.0357142857143,-72.5,166.5,29.0,78.0,133.7,12772.5,CHOP,21.3,1
2021-03-26,2021,4,ONEWAY_UP,0.6255,0.7176,63.8,102.0,12763.2,12827.0,12855.8,12753.8,335.8392857142857,-9.25,204.75,135.0,148.0,126.0,12962.0,DRIFT_UP,134.0,1
2021-03-29,2021,0,SWEEP_REVERT_BEAR,0.6585,0.1151,-107.0,162.5,12941.2,12834.2,12978.0,12815.5,322.92857142857144,-20.75,168.25,122.0,168.8,6.2,12956.2,CHOP,-11.8,-1
2021-03-30,2021,1,STR,0.4521,0.4163,-50.5,111.7,12873.5,12823.0,12888.2,12776.5,298.2142857142857,-82.75,149.0,72.2,93.2,10.2,12895.2,DRIFT_UP,45.4,-1
2021-03-31,2021,2,ONEWAY_UP,0.7177,0.8185,106.8,148.8,12968.0,13074.8,13101.8,12953.0,292.30357142857144,72.75,122.25,9.7,83.2,4.8,13084.5,DRIFT_DOWN,-47.0,1
2021-04-01,2021,3,ONEWAY_UP,0.7132,0.8579,55.2,77.4,13253.0,13308.2,13319.2,13241.8,285.5,168.5,170.75,6.0,13.3,48.2,13314.2,DRIFT_UP,17.4,1
2021-04-05,2021,0,ONEWAY_UP,0.879,0.9695,95.2,108.3,13419.0,13514.2,13517.5,13409.2,278.67857142857144,104.75,129.0,67.6,100.8,7.4,13581.8,CHOP,11.8,1
2021-04-06,2021,1,BTD,0.2797,0.6716,20.7,74.0,13567.8,13588.5,13612.8,13538.8,286.35714285714283,-14.0,98.0,-17.0,66.5,43.3,13571.5,DRIFT_DOWN,-43.7,1
2021-04-07,2021,2,SWEEP_REVERT_BULL,0.6057,0.9885,63.3,104.5,13552.5,13615.8,13617.0,13512.5,278.625,-19.0,77.75,-11.0,25.2,55.0,13604.8,DRIFT_UP,29.8,1
2021-04-08,2021,3,SWEEP_REVERT_BEAR,0.3197,0.2315,-20.3,63.5,13726.5,13706.2,13755.0,13691.5,263.75,121.75,128.25,43.6,46.0,10.0,13749.8,TREND_UP,24.8,-1
2021-04-09,2021,4,BTD,0.3266,0.6791,29.0,88.8,13689.5,13718.5,13747.0,13658.2,237.64285714285714,-60.25,193.5,110.7,121.3,23.7,13829.2,TREND_UP,56.7,1
2021-04-12,2021,0,CHOP,0.097,0.5299,-6.5,67.0,13784.5,13778.0,13809.5,13742.5,236.0,-44.75,64.5,34.0,50.8,46.0,13812.0,CHOP,-4.8,-1
2021-04-13,2021,1,BTD,0.589,0.7159,48.3,82.0,13877.2,13925.5,13948.8,13866.8,216.83928571428572,65.25,123.25,50.0,68.5,41.5,13975.5,TREND_UP,71.5,1
2021-04-14,2021,2,ONEWAY_DOWN,0.8465,0.0775,-61.2,72.3,13983.0,13921.8,13988.5,13916.2,218.85714285714286,7.5,71.5,-113.3,36.2,149.0,13808.5,TREND_DOWN,-104.0,-1
2021-04-15,2021,3,ONEWAY_UP,0.9033,0.994,59.8,66.2,13929.0,13988.8,13989.2,13923.0,211.66071428571428,120.5,155.75,27.2,45.4,45.6,14016.0,CHOP,7.2,1
2021-04-16,2021,4,STR,0.4859,0.5141,-41.3,85.0,14038.8,13997.5,14038.8,13953.8,211.32142857142858,22.75,106.75,33.7,43.5,18.0,14031.2,CHOP,7.7,-1
2021-04-19,2021,0,STR,0.2852,0.3203,-35.0,122.7,13964.8,13929.8,14013.2,13890.5,197.60714285714286,-66.5,106.25,-25.8,19.2,108.8,13904.0,TREND_UP,54.5,-1
2021-04-20,2021,1,CHOP,0.1221,0.4049,9.5,77.8,13874.0,13883.5,13929.8,13852.0,200.16071428571428,-30.0,119.75,-84.0,1.0,164.3,13799.5,DRIFT_UP,21.0,1
2021-04-21,2021,2,SWEEP_REVERT_BULL,0.5702,0.9545,69.0,121.0,13747.0,13816.0,13821.5,13700.5,200.66071428571428,-52.5,78.75,102.8,110.5,47.8,13918.8,TREND_UP,81.0,1
2021-04-22,2021,3,SWEEP_REVERT_BULL,0.1562,0.8672,10.0,64.0,13901.0,13911.0,13919.5,13855.5,195.39285714285714,-17.75,60.0,-160.5,33.8,209.2,13750.5,TREND_DOWN,-187.5,1
2021-04-23,2021,4,ONEWAY_UP,0.7364,0.7429,56.7,77.0,13776.5,13833.2,13853.0,13776.0,196.23214285714286,26.0,54.0,91.8,147.8,8.2,13925.0,DRIFT_DOWN,-26.2,1
2021-04-26,2021,0,BTD,0.2972,0.7864,19.2,64.6,13933.8,13953.0,13966.8,13902.2,191.46428571428572,8.75,78.75,61.0,73.2,8.5,14014.0,DRIFT_UP,31.8,1
2021-04-27,2021,1,STR,0.5608,0.3553,-65.5,116.8,14025.0,13959.5,14034.8,13918.0,193.60714285714286,11.0,42.25,-8.0,24.5,47.0,13951.5,DRIFT_DOWN,-9.7,-1
2021-04-28,2021,2,SWEEP_REVERT_BULL,0.1016,0.6702,9.7,95.5,13939.8,13949.5,13981.0,13885.5,194.25,-11.75,74.5,-53.7,32.7,71.5,13895.8,CHOP,-22.2,1
2021-04-29,2021,3,ONEWAY_DOWN,0.7035,0.1615,-98.0,139.3,14042.0,13944.0,14060.8,13921.5,191.73214285714286,146.25,111.5,11.0,36.8,125.5,13955.0,TREND_UP,71.5,-1
2021-04-30,2021,4,ONEWAY_UP,0.8798,0.9981,93.0,105.7,13853.0,13946.0,13946.2,13840.5,195.44642857142858,-102.0,128.75,-85.0,10.8,121.0,13861.0,DRIFT_DOWN,-29.0,1
2021-05-03,2021,0,CHOP,0.1057,0.7689,10.2,96.5,13915.0,13925.2,13947.5,13851.0,198.07142857142858,54.0,71.75,-134.7,11.6,153.2,13790.5,CHOP,-0.7,1
2021-05-04,2021,1,ONEWAY_DOWN,0.6752,0.2595,-137.4,203.5,13683.2,13545.8,13696.5,13493.0,194.80357142857142,-107.25,142.25,-2.6,0.2,165.0,13543.2,TREND_UP,132.7,-1
2021-05-05,2021,2,SWEEP_REVERT_BEAR,0.3478,0.3859,-47.4,136.3,13629.2,13581.8,13665.5,13529.2,205.91071428571428,86.0,145.5,-87.8,49.7,119.0,13494.0,DRIFT_DOWN,-76.5,-1
2021-05-06,2021,3,STR,0.5516,0.2471,-66.3,120.2,13484.8,13418.5,13509.0,13388.8,202.89285714285714,-9.25,119.5,178.0,185.3,11.0,13596.5,CHOP,34.3,-1
2021-05-07,2021,4,BTD,0.4295,0.7852,64.0,149.0,13714.5,13778.5,13810.5,13661.5,210.625,118.0,229.75,-72.0,23.0,116.3,13706.5,DRIFT_DOWN,-33.5,1
2021-05-10,2021,0,ONEWAY_DOWN,0.8663,0.0823,-134.8,155.6,13649.8,13515.0,13657.8,13502.2,210.51785714285714,-56.75,115.5,-158.8,28.2,162.5,13356.2,TREND_DOWN,-141.8,-1
2021-05-11,2021,1,BTD,0.2863,0.4325,55.6,194.2,13113.2,13168.8,13279.0,13084.8,223.73214285714286,-243.0,279.25,175.2,207.0,42.8,13344.0,TREND_UP,70.5,1
2021-05-12,2021,2,CHOP,0.2073,0.0294,-26.8,129.3,13132.8,13106.0,13231.5,13102.2,229.76785714285714,-211.25,261.5,-107.5,16.5,146.2,12998.5,DRIFT_DOWN,-49.0,-1
2021-05-13,2021,3,BTD,0.4583,0.7276,58.2,127.0,13121.0,13179.2,13213.8,13086.8,240.41071428571428,122.5,220.5,-81.7,44.6,182.0,13097.5,CHOP,25.3,1
2021-05-14,2021,4,BTD,0.5689,0.8004,57.0,100.2,13232.0,13289.0,13309.0,13208.8,245.03571428571428,134.5,189.5,95.5,137.2,3.0,13384.5,DRIFT_UP,23.7,1
2021-05-17,2021,0,STR,0.3289,0.3915,-34.7,105.5,13313.5,13278.8,13343.0,13237.5,258.92857142857144,-71.0,147.5,27.0,49.7,96.0,13305.8,DRIFT_UP,70.3,-1
2021-05-18,2021,1,BTD,0.4509,0.9964,37.2,82.5,13345.0,13382.2,13382.5,13300.0,268.0892857142857,39.25,142.25,-169.0,14.3,178.4,13213.2,TREND_DOWN,-144.6,1
2021-05-19,2021,2,ONEWAY_UP,0.8314,0.9474,107.5,129.3,12984.5,13092.0,13098.8,12969.5,276.9642857142857,-228.75,268.75,138.5,151.0,48.0,13230.5,DRIFT_UP,80.0,1
2021-05-20,2021,3,ONEWAY_UP,0.9126,0.9893,128.5,140.8,13292.0,13420.5,13422.0,13281.2,280.05357142857144,61.5,146.75,66.0,102.3,5.3,13486.5,DRIFT_UP,19.3,1
2021-05-21,2021,4,SWEEP_REVERT_BEAR,0.7532,0.0532,-70.8,94.0,13551.8,13481.0,13570.0,13476.0,296.8392857142857,65.25,77.0,-72.0,26.5,85.2,13409.0,CHOP,-13.0,-1
2021-05-24,2021,0,ONEWAY_UP,0.8625,0.9696,124.8,144.7,13509.0,13633.8,13638.2,13493.5,296.75,100.0,163.75,3.7,52.2,6.0,13637.5,CHOP,-1.5,1
2021-05-25,2021,1,STR,0.3375,0.3068,-29.7,88.0,13701.2,13671.5,13732.5,13644.5,290.875,63.75,106.75,-15.3,15.0,64.7,13656.2,DRIFT_UP,16.7,-1
2021-05-26,2021,2,SWEEP_REVERT_BULL,0.2027,0.767,10.7,52.8,13685.8,13696.5,13708.8,13656.0,285.82142857142856,29.5,65.0,5.3,28.3,20.7,13701.8,CHOP,-9.2,1
2021-05-27,2021,3,CHOP,0.1684,0.8763,9.8,58.2,13685.2,13695.0,13702.2,13644.0,275.64285714285717,-16.5,97.0,-42.8,25.8,48.2,13652.2,TREND_DOWN,-50.6,1
2021-05-28,2021,4,SWEEP_REVERT_BEAR,0.1258,0.0728,-5.7,45.3,13703.5,13697.8,13739.8,13694.5,266.4107142857143,51.25,63.25,-7.3,65.7,15.8,13690.5,TREND_DOWN,-66.0,-1
2021-06-01,2021,1,SWEEP_REVERT_BEAR,0.6082,0.2476,-87.7,144.2,13752.2,13664.5,13773.0,13628.8,240.03846153846155,97.5,101.75,-13.5,28.7,72.3,13651.0,CHOP,-13.2,-1
2021-06-02,2021,2,BTD,0.5644,0.8325,32.0,56.7,13667.0,13699.0,13708.5,13651.8,223.78846153846155,16.0,59.75,-24.8,13.8,95.8,13674.2,CHOP,4.4,1
2021-06-03,2021,3,STR,0.3745,0.4926,-40.3,107.6,13555.5,13515.2,13569.8,13462.2,208.46153846153845,-118.75,196.75,13.0,94.3,35.0,13528.2,TREND_DOWN,-50.8,-1
2021-06-04,2021,4,ONEWAY_UP,0.7928,0.8238,115.2,145.3,13610.0,13725.2,13750.8,13605.5,200.01923076923077,81.75,149.5,41.3,58.6,3.2,13766.5,CHOP,6.3,1
2021-06-07,2021,0,CHOP,0.0385,0.4558,-2.0,52.0,13738.2,13736.2,13764.5,13712.5,203.8846153846154,-28.25,93.25,66.3,72.3,19.2,13802.5,DRIFT_UP,44.5,-1
2021-06-08,2021,1,SWEEP_REVERT_BEAR,0.5403,0.053,-51.0,94.4,13878.8,13827.8,13917.2,13822.8,195.30769230769232,76.25,111.25,-18.8,10.7,86.0,13809.0,DRIFT_DOWN,-13.2,-1
2021-06-09,2021,2,SWEEP_REVERT_BEAR,0.1709,0.4089,-13.5,79.0,13871.0,13857.5,13904.2,13825.2,186.59615384615384,62.0,74.0,-41.7,18.7,49.0,13815.8,TREND_DOWN,-52.0,-1
2021-06-10,2021,3,ONEWAY_UP,0.6784,0.8073,104.2,153.6,13831.0,13935.2,13964.8,13811.2,165.73076923076923,15.25,125.5,24.6,28.8,109.4,13959.8,DRIFT_UP,15.6,1
2021-06-14,2021,0,CHOP,0.1081,0.5193,-8.7,80.5,14007.5,13998.8,14037.5,13957.0,150.3846153846154,21.25,53.25,124.7,124.7,17.0,14123.5,TREND_UP,83.0,-1
2021-06-15,2021,1,ONEWAY_DOWN,0.7463,0.0672,-50.0,67.0,14110.0,14060.0,14122.5,14055.5,153.03846153846155,-13.5,58.0,-32.8,15.0,59.2,14027.2,CHOP,-11.0,-1
2021-06-16,2021,2,BTD,0.5966,0.7411,31.8,53.3,14050.2,14082.0,14095.8,14042.5,159.34615384615384,23.0,37.25,-106.2,1.8,251.8,13975.8,CHOP,-41.2,1
2021-06-17,2021,3,ONEWAY_UP,0.9532,0.9666,156.8,164.5,13934.2,14091.0,14096.5,13932.0,172.03846153846155,-41.5,99.25,65.2,108.0,31.0,14156.2,DRIFT_UP,50.2,1
2021-06-18,2021,4,SWEEP_REVERT_BULL,0.2989,0.7126,26.0,87.0,14080.5,14106.5,14131.5,14044.5,191.76923076923077,-75.75,153.75,-64.7,18.5,96.5,14041.8,DRIFT_DOWN,-40.4,1
2021-06-21,2021,0,CHOP,0.1118,0.6628,-13.5,120.7,14052.0,14038.5,14079.2,13958.5,191.98214285714286,10.25,143.0,89.7,105.5,4.7,14128.2,DRIFT_UP,21.0,-1
2021-06-22,2021,1,ONEWAY_UP,0.6782,0.8586,47.0,69.3,14120.0,14167.0,14176.8,14107.5,192.32142857142858,-8.25,112.5,90.8,112.2,20.5,14257.8,DRIFT_UP,36.6,1
2021-06-23,2021,2,ONEWAY_UP,0.6877,0.7524,42.5,61.8,14258.0,14300.5,14315.8,14254.0,199.69642857142858,0.25,74.75,-37.5,0.3,68.7,14263.0,CHOP,2.0,1
2021-06-24,2021,3,ONEWAY_UP,0.8908,0.9882,53.0,59.5,14349.8,14402.8,14403.5,14344.0,188.16071428571428,86.75,88.75,-48.6,19.2,75.6,14354.2,DRIFT_DOWN,-15.6,1
2021-06-25,2021,4,CHOP,0.1591,0.6986,-12.3,77.3,14379.5,14367.2,14390.5,14313.2,176.44642857142858,25.25,62.25,-28.4,5.6,49.4,14338.8,CHOP,0.8,-1
2021-06-28,2021,0,ONEWAY_UP,0.7763,0.8114,70.8,91.2,14394.0,14464.8,14482.0,14390.8,173.875,55.25,63.25,46.4,55.0,9.8,14511.2,TREND_UP,37.4,1
2021-06-29,2021,1,SWEEP_REVERT_BEAR,0.1492,0.4492,-8.8,59.0,14505.8,14497.0,14529.5,14470.5,174.66071428571428,-5.5,44.75,67.0,69.8,4.2,14564.0,DRIFT_UP,13.5,-1
2021-06-30,2021,2,CHOP,0.1252,0.6148,-6.6,52.7,14558.8,14552.2,14572.5,14519.8,174.46428571428572,-5.25,71.5,-8.7,24.6,34.0,14543.5,CHOP,4.0,-1
2021-07-01,2021,3,CHOP,0.0806,0.4,5.0,62.0,14527.8,14532.8,14570.0,14508.0,163.14285714285714,-15.75,108.0,15.0,20.4,61.8,14547.8,TREND_UP,52.3,1
