et_hhmm,mean,count,std,t,med_abs,vshare,mean_pts
45,0.00011723833991074962,1318,0.007895907732716742,0.5390453457512557,0.003526326904655353,9.498229977947427e-05,0.06866464339908952
46,0.00012886910428128165,1319,0.007440669023279644,0.6290124204119317,0.0034339229968782517,8.626031668449974e-05,0.03070507960576194
47,-2.5428562171652662e-05,1318,0.007085658892226385,-0.13028645518321616,0.0033657396683022325,8.278650887804348e-05,-0.03319423368740516
48,7.359914459320965e-05,1319,0.007220077130157877,0.3702144172816564,0.0033914728682170547,8.461625153948643e-05,0.054018195602729344
49,-9.373867614119761e-05,1317,0.006684860178153751,-0.5088846784873301,0.003174397512308888,8.052085518554446e-05,-0.008542141230068337
50,2.684324852678994e-05,1317,0.008242437125083331,0.1181877097208836,0.003758137037782699,9.09292514555422e-05,0.013287775246772968
51,0.0001010399023202553,1319,0.007510654037187997,0.48858210682308184,0.003640776699029126,8.577765164630545e-05,0.0075815011372251705
52,0.00010523130374212875,1319,0.007171919427468943,0.5328830997832485,0.0034727389988589573,8.283498025508962e-05,0.00265352539802881
53,-0.00018067585664720653,1317,0.0071377545396471235,-0.9186104912666765,0.003352691133329341,8.370257517085888e-05,-0.08409263477600608
54,-0.0001564612709587965,1318,0.0064609328250140536,-0.8791628601741228,0.003109733373579272,7.98998097387114e-05,-0.0627845220030349
55,0.0001177797517240638,1319,0.007095867247297112,0.6028198580228903,0.003465188186373814,8.733874446125058e-05,0.032600454890068235
56,9.753968473825038e-05,1318,0.006928937481040918,0.5110606110910101,0.0035663031669540125,8.637672884271996e-05,0.00625948406676783
57,-0.00034942658030318545,1319,0.006601098180116394,-1.9224813860680035,0.0034883720930232558,8.010834052620581e-05,-0.10993176648976498
58,8.736494377601406e-06,1318,0.006945557560986505,0.04566545529548332,0.003299361798244308,8.418245482839782e-05,-0.0034142640364188165
59,-7.454337560122415e-05,1318,0.006709867334541749,-0.40332284959416725,0.003369581885284677,8.688417203494304e-05,-0.032435508345978754
100,9.939612184652848e-05,1319,0.01301310999836926,0.2774027337993156,0.005321761912559358,0.00018296309926345094,0.08074298711144806
101,0.00021074887869998023,1319,0.010812352339427268,0.7078927767871435,0.005335075398769665,0.00014017696738618073,0.023692191053828658
102,0.000166690243523056,1319,0.011058871465629956,0.5474213967609975,0.005055976886962802,0.0001287297822787694,0.05667172100075815
103,-0.00020354144943840463,1319,0.008990471088923969,-0.8222290408082715,0.004689260375749825,0.00011581718757105265,-0.10064442759666414
104,0.0008429471122794673,1319,0.00951974224169135,3.2158629743045517,0.004794285993835917,0.00011193690634048215,0.27293404094010615
105,-0.00024855606267097446,1319,0.010415112508672105,-0.8667279319415235,0.0051483206668301055,0.00012522116575981558,-0.0356330553449583
106,-8.913264944015321e-06,1319,0.009606345441409404,-0.03369775854188276,0.004826073331244124,0.00011911639081228865,0.05742987111448067
107,-0.0002469863859966141,1319,0.009132272077160412,-0.9822376370501841,0.004800156739811912,0.00011315294035302746,-0.07221379833206976
108,3.482382110726638e-05,1319,0.009106983932055708,0.1388750571261753,0.004581382469918945,0.0001104542348692972,0.02577710386656558
109,-0.0002686039631398587,1319,0.008647030541376341,-1.128152528422304,0.004191616766467066,0.00011085694457054524,-0.0763836239575436
110,-6.134620010406107e-05,1319,0.00971624245540004,-0.22930404779304087,0.00468384074941452,0.00012258127728472873,-0.03677028051554208
111,5.589116198336682e-05,1319,0.00934973829893667,0.21710312834476547,0.004795278495020288,0.00011343571912580198,0.05344958301743745
112,-0.00020200795953437598,1319,0.00868320882290676,-0.8449103577301693,0.004391891891891892,0.00011056233388042894,-0.04397270659590599
113,9.062077430865689e-05,1319,0.008317142261163498,0.3957090988823637,0.004294039464267457,0.00010606914929502704,0.000758150113722517
114,8.325231333914801e-05,1319,0.00804913968872054,0.3756377611927921,0.004190863916661677,0.00010209068505559916,0.022175890826383625
115,0.0006511240242751105,1319,0.01086488943962286,2.1765106976997477,0.004674197317901063,0.0001244514026296739,0.2092494313874147
116,-3.8971763662480566e-05,1318,0.008863609778645217,-0.15962361327411367,0.0044897794220880765,0.0001127901054808699,-0.05557663125948407
117,3.8921092417611286e-05,1318,0.008387431174587467,0.16846657904739995,0.004318771592271927,0.00010272090429940433,0.002655538694992413
118,-2.808928890952291e-05,1319,0.008613697067073213,-0.11843322313966631,0.0041033156255724495,0.00010238814819461933,-0.0024639878695981803
119,0.00021135023935778656,1319,0.008958385183637074,0.8568314717432884,0.0039041970117876723,0.00010109044499436022,0.06766489764973464
120,0.0004433324364561671,1319,0.0087972985694238,1.8302169528243104,0.004469630457338973,0.00011161534784136007,0.12376800606520091
121,-0.00016757825833605008,1318,0.009051795546052056,-0.6721104403112885,0.004318253382423391,0.00010639349551651014,-0.08744309559939302
122,-0.0003396315391741294,1319,0.008349927509489001,-1.4772285954946602,0.00423728813559322,0.00010368524818569466,-0.12585291887793784
123,-0.00016527312025502828,1318,0.008502387450248788,-0.7056982489372303,0.00414898899196837,0.00010188770272734296,-0.07094081942336875
124,-6.331973490300436e-05,1319,0.008283853742177712,-0.27760613730086914,0.004452308921742109,0.00010155475040110162,-0.04492039423805914
125,-0.00023750466359478837,1319,0.00910678177675719,-0.94717365451418,0.004537205081669692,0.00011032606109746269,-0.12793783169067474
126,-0.00015132560327123988,1318,0.008582071564262788,-0.640144454140999,0.00439784866659722,0.00010509885692992019,-0.08782245827010622
127,-0.00013996734384248165,1319,0.008714379427724007,-0.5833277719650147,0.00414569144210838,0.00010244466216542974,-0.035253980288097043
128,0.00024177488869213593,1319,0.00886836211386038,0.9901253318010496,0.004237031656679376,0.00010335764837722857,0.07695223654283548
129,8.390066383895976e-05,1319,0.008905155845074886,0.34217342002023027,0.004607991573958263,0.00011046017106300488,0.0822592873388931
130,0.0011150879511970609,1319,0.012127630421806866,3.339300997356775,0.005876111972578145,0.0001774677742540387,0.33908263836239577
131,-0.00030528940585078943,1319,0.01015134890664098,-1.0922206330893385,0.005126953125,0.00013480375457531577,-0.14044730856709628
132,-0.0002854637732453439,1319,0.009932689208944776,-1.0437741885885146,0.005017125765835304,0.00012491482035275367,-0.16205458680818802
133,-7.44744830300253e-05,1319,0.009670300243789896,-0.2796983708146989,0.004800369259173783,0.00011717523516100661,0.003032600454890068
134,-0.00019299461358976303,1318,0.009256533113216297,-0.7569279362837565,0.004539968852925359,0.00011484911843973093,-0.051593323216995446
135,-3.5191029464203255e-06,1319,0.010199640353311803,-0.012530532030407694,0.004671961556430621,0.00012398233365664866,-0.009097801364670205
136,-0.00020109493750428806,1319,0.00954682968355156,-0.7650051529830384,0.004975775828204792,0.0001169496353504143,-0.07808946171341925
137,-0.00027562204610646635,1319,0.009281566695045767,-1.0784873623761833,0.004548408057179988,0.00011311798360911687,-0.09969673995451099
138,-5.1224397377554056e-05,1319,0.009046768088927465,-0.20563914912863218,0.004517950786607504,0.00011556182807071675,-0.05307050796057619
139,-8.372175905306367e-05,1318,0.009045533895997333,-0.3360174597933521,0.004471781172456789,0.00010984329529951596,0.015174506828528073
140,0.0002486019459477762,1319,0.010145790969271483,0.8898995991134236,0.005017367811655731,0.00012846752268790186,0.04909021986353298
141,0.0005079586262075772,1318,0.009488584443215905,1.9435003275232974,0.004547929258669184,0.00011728185629425725,0.20352807283763277
142,0.00023664162327217852,1319,0.008832470753406124,0.9730414154421744,0.004535411094313292,0.00011037829990090829,0.0900303260045489
143,0.00015036417918685386,1319,0.008652079380265177,0.6311699157296456,0.004430811179277437,0.00010401383634541393,0.02312357846853677
144,-0.00034745039150799835,1319,0.008400526243503759,-1.5021341175773621,0.0044566117017890115,0.00010701348664157526,-0.13589840788476118
145,-0.00019583302672597754,1319,0.010071915166166377,-0.7061488804502294,0.005204580030426775,0.00012890822790163957,-0.06387414708112206
146,-0.00035614588643931034,1319,0.009174213922689231,-1.4098777850811381,0.004406406236759597,0.00011413955121487149,-0.12585291887793784
147,-0.000426514195485104,1319,0.00926743114850245,-1.6714620471520656,0.004431501645986326,0.00010813894065272832,-0.14840788476118272
148,0.00010535728886210268,1319,0.009353729063293502,0.4090743020873449,0.004406032875783766,0.00010837994662805296,-0.011940864291129644
149,0.00014650283525975832,1319,0.009162271986924559,0.5807179463007022,0.00426812585499316,0.00010765109983137817,0.027482941622441245
150,0.0002023899962183945,1319,0.010058207110534385,0.730787089135033,0.0052088177843921495,0.00012609653965004578,0.04643669446550417
151,0.00010554974857303058,1319,0.01062429312837172,0.36081082304157613,0.004950049500495005,0.00012496091334504548,0.094579226686884
152,0.00024079130346602381,1319,0.009302539307635886,0.9400732213141956,0.004542542659134587,0.00011569578685625438,0.06103108415466262
153,-8.028398943782177e-05,1319,0.009212952662646795,-0.3164845423598638,0.004542136426311948,0.00011026557794895141,-0.001326762699014405
154,-3.259605826170232e-06,1319,0.008491140811237795,-0.013941883203867104,0.004376025631007267,0.00010727491539554894,0.02141774071266111
155,0.00018716071680875237,1319,0.009262213561780561,0.7338753612500738,0.004742986865574834,0.00012149792017796156,0.052312357846853674
156,-8.709044842614694e-05,1319,0.00889510454199681,-0.35558371903612457,0.0044566117017890115,0.00011427721008160423,-0.0032221379833206974
157,0.00022950654903449602,1319,0.008910264447553048,0.9354635863091445,0.004314329738058552,0.00011063725190414329,0.049848369977255495
158,0.0004604432369670048,1318,0.008827126613858682,1.893714251246138,0.004409371705035455,0.00011074596764912988,0.1422610015174507
159,6.68848701411016e-05,1319,0.009187158199293081,0.26440465151190995,0.004859761177450708,0.00012319895466079167,0.03620166793025019
200,-0.0012728233357503366,1319,0.016156873252025073,-2.8611011291436865,0.008946401469765955,0.000300716222983788,-0.3606899166034875
201,-0.00040518501838581643,1319,0.014341258077507005,-1.0260972546043974,0.00802190106322022,0.00023273102035062477,-0.0718347232752085
202,6.505934090246704e-05,1319,0.013156452145427712,0.17959459683970147,0.007189811010682005,0.00020456699861397414,0.07714177407126611
203,-0.0002767371290134794,1319,0.01201821470474922,-0.8362764566733125,0.006780839780926715,0.00019396988903970023,-0.09969673995451099
204,-0.00034037273104043264,1319,0.01240973687551115,-0.9961267065433361,0.005930807248764415,0.0001816638612321778,-0.128316906747536
205,-0.00010477879145658518,1319,0.012691011113669597,-0.29984689657257646,0.006855882634960207,0.00019368630267477293,0.010803639120545869
206,0.0006379520293764825,1319,0.0129882389836777,1.7838574645501728,0.0067106051527861,0.00018290528040919722,0.3121683093252464
207,0.00032753400947982126,1319,0.01151620091333911,1.0329268492624823,0.006185794764166576,0.00016830779680360376,0.16357088703563305
208,-0.0003217509999608264,1319,0.010970823776406081,-1.065131096293106,0.005662921348314607,0.0001596662401133515,-0.06918119787717968
209,-0.0006566454219396274,1319,0.010916167802427486,-2.1846562699740466,0.005642885933091495,0.00015600330220938037,-0.1870735405610311
210,-0.00023561526190069032,1319,0.011651129706904597,-0.7344424640424976,0.006070592316364583,0.00016776484920774442,-0.03449583017437453
211,9.953232589861687e-05,1319,0.011606254837058612,0.311454384182008,0.005728386357627567,0.00016510360633696346,0.05060652009097801
212,0.0003215418426824711,1319,0.01090682496773182,1.0706845858839857,0.005362957287875886,0.0001598882581900096,0.1281273692191054
213,0.0004319963330181002,1319,0.010241596655772973,1.5319154282901581,0.005588993981083405,0.0001497211811492564,0.09950720242608037
214,0.00026099090118697406,1319,0.010736417256112372,0.8828529719968493,0.00533739992375143,0.0001496388140981772,0.09950720242608037
215,-0.0002713237527328224,1319,0.011988882772795648,-0.8219236922630465,0.0063393164405643795,0.00018021367713579923,-0.04852160727824109
216,0.0004074318337222906,1319,0.01397876577628997,1.0585430578108077,0.006227793524691605,0.00016770146804470553,0.07865807429871115
217,1.201530358896439e-05,1319,0.011259919675794101,0.03875447463662402,0.005534690650326151,0.0001579777199638403,-0.009097801364670205
218,8.581497499144449e-05,1319,0.010951624502843598,0.28458167632990333,0.005731832139201637,0.00015632929169223325,-0.028051554207733132
219,0.0006582661197337405,1319,0.010114132664634441,2.3637157819685064,0.005101421110166404,0.00014847368223727483,0.16338134950720243
220,0.0008564892362829146,1319,0.011441522635049469,2.7186949663886986,0.005973545726070261,0.00017352386314665582,0.29909021986353296
221,-0.00025598023207297265,1319,0.011473231754682432,-0.8102948151539625,0.005607544696500747,0.00016141515798904485,-0.04814253222137983
222,-6.376110833818394e-05,1319,0.010446101302011799,-0.2216787287693849,0.00552423900789177,0.00015209272010461973,-0.043214556482183475
223,-0.00015923686592703444,1319,0.011568360282318947,-0.49991274999518637,0.005286701911346076,0.0001470879922274013,-0.039234268385140256
224,0.0005007026100756839,1319,0.01037241384229257,1.7531634867611425,0.00548195523069895,0.0001508711971265391,0.2247915087187263
