date,pin,pin_oi,spot10,pin_d10,pin_d12,pin_d14,pin_d15,pin_d1545,pin_d16,p_m5_d10,p_m5_d12,p_m5_d14,p_m5_d15,p_m5_d1545,p_m5_d16,p_p5_d10,p_p5_d12,p_p5_d14,p_p5_d15,p_p5_d1545,p_p5_d16,p_m2_d10,p_m2_d12,p_m2_d14,p_m2_d15,p_m2_d1545,p_m2_d16,p_p2_d10,p_p2_d12,p_p2_d14,p_p2_d15,p_p2_d1545,p_p2_d16,p_round_d10,p_round_d12,p_round_d14,p_round_d15,p_round_d1545,p_round_d16,exp_class,year,dte0_oi,oiterc
2023-10-24,364.0,17992,358.69,1.4803869636733678,1.519417881736315,1.8428169171150612,1.4817809250327574,1.2601410688895653,1.340990827734256,0.08642560428224993,0.1254565223451974,0.4488555577239437,0.08781956564163979,0.13382029050155236,0.052970531656861844,2.8743483230644853,2.913379241127433,3.236778276506179,2.8757422844238754,2.654102428280683,2.7349521871253732,0.9228024199169205,0.961833337979868,1.2852323733586144,0.9241963812763104,0.7025565251331183,0.7834062839778089,2.037971507429815,2.077002425492762,2.4004014608715085,2.0393654687892044,1.8177256126460124,1.898575371490703,0.36521787616047346,0.40424879422342097,0.7276478296021672,0.3666118375198633,0.14497198137667117,0.2258217402213617,daily,2023,282528,midOI
2023-10-25,365.0,39725,354.53,2.9532056525540935,3.4468169125320927,4.089921868389135,4.129410769187372,4.140693312272589,4.143513948043888,1.5428877669026677,2.0364990268806666,2.6796039827377096,2.7190928835359456,2.7303754266211624,2.733196062392463,4.363523538205519,4.857134798183519,5.500239754040561,5.539728654838797,5.551011197924014,5.553831833695315,2.3890784982935234,2.8826897582715225,3.5257947141285646,3.565283614926801,3.576566158012018,3.5793867937833186,3.5173328068146636,4.010944066792663,4.654049022649706,4.693537923447941,4.704820466533159,4.707641102304459,0.13256988125124172,0.6261811412292408,1.2692860970862834,1.3087749978845196,1.3200575409697366,1.322878176741037,daily,2023,314866,hiOI
2023-10-26,347.0,14132,346.95,0.014411298457994343,0.4525147715809175,0.7522697795071375,0.09655569966853425,0.9857328145265934,0.9655569966854078,1.4267185473411124,0.9886150742181891,0.6888600662919689,1.3445741461305722,0.4553970312725131,0.47557284911369857,1.455541144257101,1.893644617380024,2.193399625306244,1.5376855454676408,2.4268626603257,2.4066868424845143,0.5620406398616482,0.12393716673872514,0.17581784118749494,0.4798962386511084,0.4092808762069508,0.3891050583657653,0.590863236777637,1.0289667099005602,1.3287217178267803,0.6730076379881769,1.562184752846236,1.5420089350050505,0.5620406398616482,0.12393716673872514,0.17581784118749494,0.4798962386511084,0.4092808762069508,0.3891050583657653,daily,2023,281043,loOI
2023-10-27,340.0,39268,346.96,2.0059949273691435,2.308623472446389,1.4122665436937911,1.2883329490431255,1.2162785335485438,1.5621397279225318,3.447083237260774,3.7497117823380193,2.8533548535854214,2.7294212589347557,2.6573668434401743,3.003228037814162,0.5649066174775131,0.8675351625547587,0.02882176619783916,0.15275536084850494,0.22480977634308646,0.12105141803090153,2.5824302513257953,2.885058796403041,1.988701867650443,1.8647682729997772,1.792713857505196,2.138575051879184,1.4295596034124913,1.732188148489737,0.8358312197371389,0.7118976250864731,0.6398432095918917,0.9857044039658795,0.5649066174775131,0.8675351625547587,0.02882176619783916,0.15275536084850494,0.22480977634308646,0.12105141803090153,weekly_fri,2023,716293,hiOI
2023-10-30,350.0,20061,349.9,0.02857959416976929,0.40868819662760986,0.19719919977136258,0.12289225492998196,0.09145470134323898,0.24006859102600028,1.4004001143183702,1.0202915118605298,1.2317805087167768,1.3060874535581575,1.3375250071449007,1.1889111174621392,1.457559302657909,1.8376679051157494,1.6261789082595024,1.5518719634181215,1.5204344098313787,1.66904829951414,0.5430122892254865,0.16290368676764597,0.3743926836238932,0.4486996284652739,0.4801371820520169,0.33152329236925554,0.6001714775650252,0.9802800800228656,0.7687910831666185,0.6944841383252378,0.6630465847384948,0.8116604744212561,0.02857959416976929,0.40868819662760986,0.19719919977136258,0.12289225492998196,0.09145470134323898,0.24006859102600028,daily,2023,279752,midOI
2023-10-31,350.0,21850,347.33,0.7687213888808959,0.2533613566348992,0.1813836984999843,0.23320761235712503,0.22457029338092668,0.2591195692856872,0.6708317738174026,1.1861918060633994,1.6209368611982828,1.6727607750554236,1.664123456079225,1.6986727319839856,2.2082745515791946,1.6929145193331978,1.2581694641983143,1.2063455503411735,1.2149828693173719,1.1804335934126113,0.1929001238015766,0.3224599084444202,0.7572049635793037,0.8090288774364444,0.800391558460246,0.8349408343650065,1.3445426539602154,0.8291826217142186,0.3944375665793351,0.3426136527221944,0.3512509716983927,0.3167016957936322,0.6708317738174026,1.1861918060633994,1.6209368611982828,1.6727607750554236,1.664123456079225,1.6986727319839856,daily,2023,388685,hiOI
2023-11-01,355.0,16652,352.37,0.7463745494792393,0.3150097908448544,0.36041660754320226,0.022703408349173903,0.5817748389477002,0.5931265431222792,0.672588472344412,1.1039532309787967,1.058546414280449,1.441666430172825,2.0007378607713515,2.0120895649459305,2.1653375713028904,1.7339728126685057,1.7793796293668533,1.3962596134744774,0.837188182875951,0.825836478701372,0.17878934074977876,0.2525754178846061,0.20716860118625827,0.5902886170786343,1.1493600476771608,1.1607117518517396,1.3139597582086997,0.8825949995743149,0.9280018162726629,0.5448818003802867,0.01418963021823974,0.025541334392818624,0.672588472344412,1.1039532309787967,1.058546414280449,1.441666430172825,2.0007378607713515,2.0120895649459305,daily,2023,276883,midOI
2023-11-02,355.0,13421,361.43,1.7790443516033552,1.9422848131035004,2.299200398417398,2.3296350607309897,2.3185679107987704,2.3351686356970913,3.1624380931300684,3.325678554630214,3.6825941399441113,3.713028802257703,3.7019616523254832,3.7185623772238046,0.3956506100766419,0.5588910715767871,0.9158066568906849,0.9462413192042763,0.9351741692720569,0.9517748941703781,2.3324018482140407,2.495642309714186,2.8525578950280837,2.8829925573416753,2.8719254074094556,2.888526132307777,1.2256868549926698,1.388927316492815,1.745842901806713,1.7762775641203044,1.7652104141880849,1.7818111390864062,0.3956506100766419,0.5588910715767871,0.9158066568906849,0.9462413192042763,0.9351741692720569,0.9517748941703781,daily,2023,276440,loOI
2023-11-03,360.0,47927,366.54,1.784252741856283,1.904294210727347,2.215310743711465,2.3626343645986863,2.2016696677033867,2.10891035084848,3.148360342663835,3.2684018115348987,3.579418344519017,3.7267419654062377,3.565777268510938,3.4730179516560313,0.42014514104873146,0.5401866099197954,0.8512031429039134,0.9985267637911346,0.8375620668958349,0.7448027500409281,2.329895782179304,2.4499372510503674,2.7609537840344855,2.908277404921707,2.747312708026407,2.6545533911715005,1.2386097015332624,1.3586511704043263,1.6696677033884444,1.8169913242756655,1.6560266273803657,1.5632673105254593,0.42014514104873146,0.5401866099197954,0.8512031429039134,0.9985267637911346,0.8375620668958349,0.7448027500409281,weekly_fri,2023,921530,hiOI
2023-11-06,369.0,16863,368.8,0.054229934924075004,0.002711496746201438,0.36605206073753327,0.11659436008676974,0.15048806941431855,0.05965292841649329,1.3015184381778773,1.3530368763557508,0.989696312364419,1.2391540130151824,1.2052603036876337,1.4154013015184457,1.409978308026027,1.3584598698481536,1.7218004338394857,1.472342733188722,1.5062364425162706,1.296095444685459,0.48806941431670586,0.5395878524945795,0.17624728850324764,0.4257049891540111,0.39181127982646236,0.6019522776572742,0.5965292841648558,0.5450108459869824,0.9083514099783141,0.6588937093275506,0.6927874186550995,0.4826464208242876,0.32537960954446543,0.2738611713665919,0.6372017353579237,0.3877440347071602,0.421637744034709,0.21149674620389713,daily,2023,276033,midOI
